今日上市公司业绩公布备忘录
　　新浪财经讯 05月11日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00981 中芯国际 第一季业绩
　　08005 裕兴科技 第一季业绩
　　08011 百田石油 第一季业绩
　　08016 中华数据广播 第一季业绩
　　08019 皓文控股 第一季业绩
　　08022 彩娱集团 第一季业绩
　　08032 快意节能 第一季业绩
　　08043 年代国际控股 第一季业绩
　　08045 南大苏富特 第一季业绩
　　08058 罗欣药业 中期业绩
　　08061 光亚 第一季业绩
　　08071 中国金属资源-新 第一季业绩
　　08076 新利软件 第一季业绩
　　08096 博软 第一季业绩
　　08102 上海复旦 第一季业绩
　　08108 名家国际 第一季业绩
　　08117 中国基础资源 第一季业绩
　　08155 南华置地 第一季业绩
　　08163 中建资源 第一季业绩
　　08197 东北虎药业 第一季业绩
　　08199 威高股份 第一季业绩
　　08228 慧峰集团 第一季业绩
　　08230 东江环保 第一季业绩
　　08249 屹东电子 第一季业绩
　　08250 中国天然投资 第三季业绩
　　08251 上海栋华 第一季业绩
　　08253 天元铝业 第一季业绩
　　08270 中国联盛 第一季业绩
　　08277 物美商业 第一季业绩
　　08298 安捷利实业 第一季业绩
　　08348 滨海泰达物流 第一季业绩

