物流行业相关概念股一览
　　新浪财经讯 以下我们为投资者总结的物流概念股一览：
　　代 码 股票简称
　　000022　深赤湾A
　　000088　盐田港A
　　000089　深圳机场
　　000099　中信海直
　　000429　粤高速A
　　000828　东莞控股
　　000900　现代投资
　　000905　厦门港务
　　000916　华北高速
　　002024　苏宁电器
　　002040　南京港
　　600004　白云机场
　　600009　上海机场
　　600012　皖通高速
　　600020　中原高速
　　600026　中海发展
　　600029　南方航空
　　600033　福建高速
　　600115　东方航空
　　600125　铁龙物流
　　600190　锦州港
　　600221　海南航空
　　600269　赣粤高速
　　600270　外运发展
　　600317　营口港
　　600377　宁沪高速
　　600428　中远航运
　　600548　深高速
　　600561　江西长运
　　600611　大众交通
　　600708　海博股份
　　600717　天津港
　　600787　中储股份
　　600896　中海海盛
欢迎发表评论  我要评论

