欧佩克原油周四涨0.35美元 报每桶82.36美元
　　新浪财经讯 北京时间4月23日下午消息，欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油(86.00,0.16,0.19%)参考价格周四(4月22日)报每桶82.36美元，该价格周三(4月21日)为每桶82.01美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚Es Sider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：
　　4月22日  82.36美元/桶
　　4月21日  82.01美元/桶
　　4月20日  81.83美元/桶
　　4月19日  80.89美元/桶
　　4月16日  82.86美元/桶
　　4月15日  83.28美元/桶
　　4月14日  82.63美元/桶
　　4月13日  81.52美元/桶
　　4月12日  82.20美元/桶
　　4月9日   81.97美元/桶
　　4月8日   81.65美元/桶
　　4月7日   82.41美元/桶
　　4月6日   82.59美元/桶
　　4月5日   81.31美元/桶
　　4月1日   79.93美元/桶
　　3月31日  78.70美元/桶
　　3月30日  78.21美元/桶
　　3月29日  77.77美元/桶
　　3月26日  76.80美元/桶
　　(黄媛)

