AH溢指跌0.07至100.15 两地股价趋近一致
　　新浪财经讯 06月17日消息，AH股两地市场表现不一，AH股中H股上涨个股33只，A股则20只。其中中海发展(1138-HK)涨5.38%，东方电气(600875-CN)涨2.69%，两个分别位列H、A股涨幅之首。恒生AH股A指数涨0.17%，报1814.75；恒生AH股H指数涨0.16%，报1962.50。
　　恒指今日造好，高开140点后，早段曾升至20,201，但未能企稳此水平，其后受内地股市转跌影响，恒指中午前升幅收窄，一度回落至20,078，午后于20,100点之上徘徊，尾市曾升至20,157，最终恒指收报20,138，升76点，成交488亿港元。
　　恒生AH溢高开回落后至平盘位置震荡整理，全天报收于100.15，跌0.07或0.07%。
　　A股方面，传闻政府出文规范药品定价，拖累医药股普跌。其中海正药业(600267-CN)跌停，益佰制药(600594-CN)暴跌9.95%；双鹭药业(002038-CN)报道9.90%；安科生物(300009-CN)报道9.68%；同仁堂(600085-CN)、华兰生物(002007-CN)、康恩贝(600572-CN)、康缘药业(600557-CN)重挫逾6%。
　　H股方面，国寿(2628-HK)升0.72%，工行(1398-HK)走低0.86%，建行(0939-HK)升0.32%，中石油(0857-HK)升0.11%，中石化(0386-HK)跌0.16%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国人寿(601628-CN;2628-HK)-----(-27.67%)
　　招商银行(600036-CN;3968-HK)-----(-26.50%)
　　中国平安(601318-CN;2318-HK)-----(-22.09%)
　　工商银行(601398-CN;1398-HK)-----(-19.01%)
　　中国铁建(601186-CN;1186-HK)-----(-16.14%)
　　建设银行(601939-CN;0939-HK)-----(-15.00%)
　　中国神华(601088-CN;1088-HK)-----(-14.84%)
　　交通银行(601328-CN;3328-HK)-----(-13.68%)
　　鞍钢股份(000898-CN;0347-HK)-----(-12.95%)
　　民生银行(600016-CN;1988-HK)-----(-11.47%)

