3月22日美股专家坐堂实录
　　3月22日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	老王，DNB什么时候卖掉合适呢，成本70.8，谢谢！！(2010-03-22 21:23:14)　　专家[aries高]答： 	DNB日?上行??目前?有?，下??力75.0附近。(2010-03-22 21:36:29)
　　匿名问： 	王老师 帮我看看EBAY 后市怎么样？有点利润能不能留(2010-03-22 21:30:12)　　专家[aries高]答： 	新浪?友大家好，?周 warren王有事，?周我坐堂，下周再到他。(2010-03-22 21:33:55)
　　[手机用户]问： 	老师好！广州友谊套十个点！怎么办啊！(2010-03-22 21:36:13)　　专家[aries高]答： 	短期是弱?整理，??支?22.6附近。(2010-03-22 21:41:32)
　　bigbrown26问： 	高参，帮我分析snss,snv可以介入了吗？谢谢(2010-03-22 21:39:41)　　专家[aries高]答： 	SNSS日?是震?下跌，??低?股不建??注。 SNV可以?注3.0附近的支?。(2010-03-22 21:44:36)
　　匿名问： 	高老师，请您看看600761，后市会补上周线的24元左右缺口？(2010-03-22 21:39:44)　　专家[aries高]答： 	600761,24？近?月?有???位。(2010-03-22 21:52:53)
　　匿名问： 	俺不幸成为FUQI受害者中的一员！TSL YGE AIG现在能不能买进(2010-03-22 21:41:58)　　专家[aries高]答： 	TSL,YGE都是太?能，??一?就可以了，短期太?能板?我?向于下跌空?有限，但是也不??太多，可以考?短?。 AIG目前是拉升后的整理，技?上有些呈牛?，短期可以?注放量上?的??，我?向看?。?人??。(2010-03-22 21:49:44)
　　匿名问： 	高生，palm，什么价位入场比较好呢，谢谢(2010-03-22 21:43:58)　　专家[aries高]答： 	因?PALM季??果不如人意，而且目前市??期不佳，短期不要介入。(2010-03-22 21:45:35)
　　匿名问： 	高老师，您好。。问一下；金风科技002202是否可以继续持有。。谢谢了。(2010-03-22 21:44:46)　　专家[aries高]答： 	200202近期?量整理，支?31.75附近。(2010-03-22 21:54:01)
　　匿名问： 	请教老师，drys和solf的走势。thanks。(2010-03-22 21:45:20)　　专家[aries高]答： 	DRYS日??在是在???中，支?5.3附近，我是?得下行空?比?有限。 SOLF日?在???中，不要急於介入。(2010-03-22 22:03:26)
　　匿名问： 	老师，请帮我分析一下HERO以及油价的走势，谢谢！(2010-03-22 21:46:07)　　专家[aries高]答： 	原油走??周?看?是??震?走?，逢低可以介入。 HERO支?3.57附近，可以等等。(2010-03-22 21:59:11)
　　匿名问： 	老大，请分析CHK,谢谢。(2010-03-22 21:46:20)　　专家[aries高]答： 	CHK目前的下行???有?，可以?注22.15附近的支?(2010-03-22 21:57:05)
　　匿名问： 	高老师，您好，可以请您帮我看看SOL 如何？ 谢谢啦！(2010-03-22 21:47:34)　　专家[aries高]答： 	SOL震?下行，下?支?4.35位置，如果在位置止跌，可以考?(2010-03-22 22:01:32)
　　匿名问： 	sir how about sr thanks(2010-03-22 21:48:34)　　专家[aries高]答： 	SR日?在下行?中，支?4.7附近。(2010-03-22 22:07:33)
　　匿名问： 	sir how do you thing c,can i buy now(2010-03-22 21:53:17)　　专家[aries高]答： 	C目前?於反?后的整理中，支?3.82附近。花旗目前我的看法是，逢低可以?，警惕追高。(2010-03-22 22:09:19)
　　匿名问： 	老高：给看看600593大连圣亚14.10成本怎么操作？谢谢了。(2010-03-22 21:54:35)　　专家[aries高]答： 	大?圣?高位??整理，支?12.13，可以???部低吸高?。(2010-03-22 22:10:16)
　　匿名问： 	高老师，现在美元和美股什么关系啊？是不是正比？ 现在黄金大跌，美元和美股都涨啊(2010-03-22 21:56:34)　　专家[aries高]答： 	??的情?是，熊市中多呈反比，牛市中多呈正比，整理的?候就不一定，?然?是??情?。(2010-03-22 22:11:41)
　　匿名问： 	BZH可持有吗？(2010-03-22 21:57:03)　　专家[aries高]答： 	BZH可以?注4.0附近的支?，周?看，???是??震?的行情。(2010-03-22 22:13:17)
