3月15日美股专家坐堂实录
　　3月15日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	老师，C会不会调整回去？您认为短期调整后还会进一步上升吗？谢谢您(2010-03-15 20:38:50)　　专家[曾文俊]答： 	花旗经过上周的上涨 ，加之美股也逐步来到前期高点。有调整的需求。我们需要对明天美联储会议进行进一步的分析。(2010-03-15 21:18:24)
　　匿名问： 	老师DRYS 怎么走啊(2010-03-15 21:02:29)　　专家[曾文俊]答： 	drys在6块上下已经有近1年，暂时还未形成明确的上下趋势。(2010-03-15 21:20:42)
　　匿名问： 	曾老师您好啊！终于等到您了！ 帮忙看看000522白云山A吧，15元深套之中啊！该怎么办啊？好乱哦。会不会继续下跌还是持有呢？万分感激！！ 还有对于A股的走势您有什么看法。(2010-03-15 21:24:32)　　专家[曾文俊]答： 	白云山在去年10月的甲流行情中爆炒，随后展开了漫长的调整。现价已经回到了半年线。这类强势股会有反复的炒做，因此现价可持有等待再次炒做的机会。我对A股的看法是走势短期大体平衡，并在逐步酝酿走出新一波中级的行情。(2010-03-15 21:29:16)
　　匿名问： 	601919可长期持有吗？(2010-03-15 21:28:29)　　专家[曾文俊]答： 	如有耐心，长期持有，会有厚报。(2010-03-15 21:31:09)
　　匿名问： 	老师，asia怎么看 (2010-03-15 21:34:19)　　专家[曾文俊]答： 	亚信在前期的题材刺激下有一波大涨，不过形成了30块位置的较大压力。这次的反弹也在这个位置有所走弱。大盘的后市也需要观察明天的美联储会议。(2010-03-15 21:39:09)
　　匿名问： 	曾老师，您好！又盼到您坐堂了！首先感谢您2月26号对000759(成本10.3)的指点！近期分别在11.2元、10.7元和今天的10.2元进行加仓，现已重仓。请教老师：短期如何操作？支撑和压力位在哪？ 再次感谢！谢谢！！！(2010-03-15 21:35:51)　　专家[曾文俊]答： 	哎，我当时建议“：12就是压力区域，11.8减仓是可以的选择。”26号到11.75，之后还到了11.79，这都是减仓的机会。之后跌穿了11.2就向今天的10.2支撑了。现在的10块区域就是支撑，建议还是先持有吧。(2010-03-15 21:44:32)
　　匿名问： 	老师 ATVI 市盈率那么高 还有投资价值吗。 还有对美国大盘怎么看。 这周 ，回调么。。 (2010-03-15 21:36:05)　　专家[曾文俊]答： 	市盈率是静态的，星际2已经BETA测试，要看更为长远的发展。美股大盘先等周二的美联储会议吧。(2010-03-15 21:47:56)
　　匿名问： 	尊敬的曾老师您好！看您的解答受益匪浅！烦请您解答下风电、智能电网概念的600290华仪电气可否长期持有？现在的压力位和支撑位是多少？多谢！(2010-03-15 21:36:09)　　专家[曾文俊]答： 	从去年2月已经盘整至今，可继续持有。后续应会有炒做机会。现在的压力18，支撑14。(2010-03-15 21:49:43)
　　匿名问： 	曾老师，我现在发现600489中金的图形是所有A股最难看的！深套啊，怎么办呢？还有没有机会到回65元呢？(2010-03-15 21:48:15)　　专家[曾文俊]答： 	从目前的情况看，机会较小。恐怕要寄希望于庄家自救了。(2010-03-15 21:51:46)
　　匿名问： 	老师，您好！就目前的价位，中国远洋和中海发展，你更看好哪家公司？谢谢！(2010-03-15 21:51:36)　　专家[曾文俊]答： 	二者没有实质的区别，业务类似。(2010-03-15 21:59:16)
　　匿名问： 	How about Geta?(2010-03-15 21:53:20)　　专家[曾文俊]答： 	7分钱的股票，不建议参与。(2010-03-15 21:55:54)
　　[手机用户]问： 	老师，000798成本9元，后市如何操作？(2010-03-15 21:54:50)　　专家[曾文俊]答： 	仍然保持了强势的状况。现在的价格不上不下，还是持有吧。如果7.5可考虑补仓。(2010-03-15 22:01:31)
　　匿名问： 	请帮忙分析一下00300吧， 问过好多次了，能否介入，谢谢(2010-03-15 21:56:21)　　专家[曾文俊]答： 	300指数？？长期投资可分批介入。(2010-03-15 22:02:15)
　　匿名问： 	600549如何(2010-03-15 21:57:19)　　专家[曾文俊]答： 	目前A股的资源股因市场对调控的担忧，仍然弱势。(2010-03-15 22:03:52)
　　匿名问： 	老师，您好！您怎么看待三大保险股AH股的倒挂呢？(2010-03-15 21:59:23)　　专家[曾文俊]答： 	这个问题好阿。长期看，这种情况就是投资的好机会。短期看，说明国内市场参与者目前对后市过于悲观。(2010-03-15 22:05:27)
　　匿名问： 	曾老师，您好！请教您对CAEI的看法，谢谢！(2010-03-15 22:00:03)　　专家[曾文俊]答： 	走势非常疲弱，且在1美元上下。不建议进行投资操作。(2010-03-15 22:10:24)
　　匿名问： 	曾大帅，给您敬礼！“近期对经济复苏的信心在增强。因此有力支撑位置是需要积极关注的。” 请教大帅：600489和600547的近期支撑和压力位置是多少？请指示！谢谢！谢谢！谢谢！！！(2010-03-15 22:04:45)　　专家[曾文俊]答： 	经济的复苏，会削弱黄金的避险需求。所以可能两金不是很好的选择阿。(2010-03-15 22:20:26)
　　匿名问： 	曾老师对于美元怎么看？这两天和黄金都是同涨同跌啊！实物黄金一般在什么地方(大陆)买安全可靠啊？(2010-03-15 22:05:21)　　专家[曾文俊]答： 	最近美元指数从78到80更多的是对调整的恐惧带来的现金避险需求。黄金和美元就呈现了同样的步调。实物金应该在银行有买吧。(2010-03-15 22:21:47)
　　匿名问： 	老师SVN怎么看。现在？(2010-03-15 22:05:50)　　专家[曾文俊]答： 	7天连锁刚刚上市不久，现在创下了新低，建议观望。(2010-03-15 22:23:34)
　　匿名问： 	曾老师，您好！ 非常感激您前期的指点！600536(成本24.49)短期如何操作？压力和支撑是多少？再次感谢！谢谢！！！(2010-03-15 22:07:04)　　专家[曾文俊]答： 	一直在和你一起跟踪这只股票了，呵呵。观点未变，仍然是22－28区间。(2010-03-15 22:25:25)
　　andrewjwj问：  	曾老师，帮忙看一下飞鹤乳业(ADY)，我是22.5的成本，后市如何操作，谢谢(2010-03-15 22:08:10)　　专家[曾文俊]答： 	20块是较为有力的支撑，可暂持有。不过如果破位，建议考虑止损问题，短期走势较差。(2010-03-15 22:27:07)
