11月7日香港股市盘前重要消息一览
　　11月7日香港股市盘前重要消息一览：
　　新股上市
　　02962 顺龙控股股权 N/A N/A
　　15184 汇丰渣打二零八购 0.36 77.77
　　15185 恒指渣打二零四G 0.15 21，600.00
　　15186 汇丰瑞银二零四沽 0.33 58.95
　　15187 和黄瑞银二零四沽 0.16 54.95
　　15188 国信瑞银二零五购 0.30 5.38
　　15189 美高麦银二零五购 0.29 15.00
　　15190 神华法巴二零六购 0.48 41.00
　　15191 兖煤法巴二零七购 0.31 22.88
　　15192 A中摩通二一零购 0.15 12.30
　　15193 A中摩通二零七购 0.15 11.70
　　68880 恒指美林二五牛D 0.25 18，400.00
　　68881 恒指汇丰二十牛A 0.25 17，488.00
　　68882 恒指汇丰二十牛B 0.25 17，888.00
　　68883 恒指瑞银二二牛M 0.25 19，100.00
　　68884 恒指瑞银二四牛F 0.25 18，800.00
　　68885 恒指瑞银二四牛D 0.25 19，700.00
　　68886 中企麦银二五牛A 0.25 9，500.00
　　68887 中企麦银二五熊B 0.25 11，200.00
　　68888 恒指瑞银二六熊Q 0.25 22，200.00
　　68889 恒指瑞银二七熊G 0.25 22，700.00
　　68890 海油瑞银二六熊A 0.27 17.68
　　68891 恒指瑞银二二熊S 0.25 20，400.00
　　68892 恒指瑞银二四熊M 0.25 20，100.00
　　68893 恒指法巴二三牛H 0.25 18，900.00
　　68894 恒指法巴二三牛Q 0.25 19，100.00
　　68895 恒指法巴二三熊R 0.25 20，200.00
　　68896 恒指法巴二三熊P 0.25 20，400.00
　　68897 中寿瑞银二六牛D 0.25 18.38
　　业绩公布
　　种类
　　00005 汇丰控股 第三季度业绩
　　00011 恒生银行 第三季度业绩
　　00880 澳博控股 第一季度业绩
　　00981 中芯国际 第一季度业绩
　　08006 中华网 第三季度业绩
　　08008 新意网集团 第一季度业绩
　　08026 长达科技 中期业绩
　　08048 志鸿科技 第三季度业绩
　　08068 新宇国际 第三季度业绩
　　08086 易宝 第一季度业绩
　　08092 ITE HOLDINGS 第三季度业绩
　　08203 凯顺能源 第三季度业绩
　　08206 神通电信服务 中期业绩
　　08325 奥思知集团控股 中期业绩
　　08356 进业控股 中期业绩
　　派息备忘 (除净日)
　　金额 派息日 种类
　　08008 新意网集团 港元： 6.62 仙 2011/11/18 末期股息
　　证券到期日
　　11453 A中美林一十一A
　　11539 招行美林一十一沽
　　11540 江铜法兴一十一购
　　11543 中化法兴一十一购
　　11544 中化法兴一十一A
　　11559 和黄麦银一十一沽
　　11560 中重麦银一十一购
　　11561 重银麦银一十一购
　　11577 汇丰法兴一十一A
　　11591 紫金美林一十一购
　　11596 A中法兴一十一A
　　11696 和黄法兴一十一购
　　11723 腾讯荷合一十一A
　　12607 腾讯瑞信一十一沽
　　12620 腾讯瑞银一十一A
　　12713 联想瑞信一十一购
　　13498 中移比联一十一B
　　22348 平安瑞信一十一B
　　24388 远洋德银一十一购
　　24690 百盛麦银一十一购
　　24850 平安巴银一十一沽
　　24883 平安摩通一十一沽
　　24915 A中巴银一十一A
　　24983 A中瑞信一十一A
　　25260 港交德银一十一购
　　26282 港交中银一十一购
　　27377 金隅荷合一十一购
　　28039 东风中银一十一购
　　28327 长实德银一十一沽
　　28377 腾讯法巴一十一购
　　28553 远洋中银一十一购
　　29072 中交高盛一十一购
　　29422 腾讯苏皇一十一沽
　　29520 海田高盛一十一购
　　29628 长实法兴一十一沽
　　29930 中移法巴一十一购
　　64058 农行瑞银一甲熊A
　　64204 友邦瑞银一甲牛B
　　64366 中海瑞银一甲牛A
　　64714 腾讯瑞银一甲牛B
　　64814 汇丰瑞银一甲熊C
　　除牌日
　　11546 永利麦银一十一购
　　11549 友邦比联一十一沽
　　11624 A中瑞银一十一A
　　13577 农行瑞信一十一购
　　18235 中移荷合一十一购
　　19454 平安法巴一十一购
　　24086 江铜法巴一十一购
　　24708 A中野村一十一购
　　25918 平安中银一十一购
　　26557 长实比联一十一沽
　　26581 长实麦银一十一沽
　　27124 A中高盛一十一购
　　28185 中银麦银一十一购
　　28395 长实法巴一十一沽
　　28496 澳博荷合一十一购
　　28607 A中美林一十一购
　　29060 中寿渣打一十一购
　　29069 A中苏皇一十一购
　　29161 A中德银一十一购
　　67856 A中瑞银二三熊A
　　68674 中寿瑞银二五熊C
　　68747 A中汇丰二六熊E
　　68766 农行汇丰二十熊B
　　68823 恒指麦银二五熊D
　　68854 恒指瑞银二二熊D
　　68856 恒指瑞银二五熊W
　　68857 恒指瑞银二二牛N
　　68858 恒指瑞银二三牛O
　　68866 中寿瑞银二七熊B
　　68869 恒指法巴二三牛N
　　68870 恒指法巴二三牛O
　　68871 恒指法巴二三牛G
　　68876 恒指摩通二三牛H

