今日上市公司业绩公布备忘录
　　新浪财经讯 03月30日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00012 恒基地产 末期业绩
　　00013 和记黄埔 末期业绩
　　00079 世纪建业 末期业绩
　　00097 恒基发展 末期业绩
　　00116 周生生 末期业绩
　　00127 华人置业 末期业绩
　　00131 卓能(集团) 中期业绩
　　00159 华南投资 末期业绩
　　00197 亨泰 中期业绩
　　00200 新濠国际发展 末期业绩
　　00230 五矿建设 末期业绩
　　00265 南华集团 末期业绩
　　00281 川河集团 末期业绩
　　00299 中讯软件 末期业绩
　　00317 广州广船国际股份 末期业绩
　　00323 马鞍山钢铁股份 末期业绩
　　00358 江西铜业股份 末期业绩
　　00360 新焦点 末期业绩
　　00399 联合基因集团 中期业绩
　　00422 越南制造加工出口 末期业绩
　　00512 远大医药 末期业绩
　　00552 中国通信服务 末期业绩
　　00554 汉思能源 末期业绩
　　00559 华艺矿业 中期业绩
　　00563 中新地产集团 末期业绩
　　00573 稻香控股 末期业绩
　　00589 宝姿 末期业绩
　　00606 中国粮油控股 末期业绩
　　00619 南华金融 末期业绩
　　00633 中国全通 末期业绩
　　00643 恒富控股 末期业绩
　　00653 卓悦控股 末期业绩
　　00706 银创控股 末期业绩
　　00839 天大石油管材 末期业绩
　　00903 冠捷科技 末期业绩
　　00913 合一投资 末期业绩
　　00916 龙源电力 末期业绩
　　00929 IPE集团 末期业绩
　　00966 中国太平 末期业绩
　　00980 联华超市 末期业绩
　　00982 卓智控股 末期业绩
　　00983 瑞安建业 末期业绩
　　00988 楼东俊安资源 末期业绩
　　01108 洛阳玻璃股份 末期业绩
　　01199 中远太平洋 末期业绩
　　01628 禹洲地产 末期业绩
　　02005 利君国际 末期业绩
　　02007 碧桂园 末期业绩
　　02010 瑞年国际 末期业绩
　　02348 东瑞制药 末期业绩
　　02689 玖龙纸业 中期业绩
　　02883 中海油田服务 末期业绩
　　02899 紫金矿业 末期业绩
　　03328 交通银行 末期业绩
　　03339 中国龙工 末期业绩
　　03366 华侨城(亚洲) 末期业绩
　　03389 亨得利 末期业绩
　　03393 威胜集团 末期业绩
　　03928 郑州燃气 末期业绩
　　08049 吉林长龙药业 末期业绩
　　08108 名家国际 末期业绩
　　08123 首华财经网络 末期业绩
　　08188 牡丹汽车 末期业绩
　　08233 中国基建港口 末期业绩
　　08236 宝德科技集团 末期业绩
　　08253 天元铝业 末期业绩
　　08301 明华科技 末期业绩

