6月7日美股专家坐堂实录
　　6月7日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	What is the support level of UNG? I would like to buy somw UNG. When is the best point to buy it? (2010-06-07 19:49:21)　　专家[aries高]答： 	UNG支?7.79，短期是放量突破，可以依??支?操作。(2010-06-07 21:36:24)
　　匿名问： 	请问老师， 今天c 股3.85 可以入么？(2010-06-07 20:36:11)　　专家[aries高]答： 	位置可以，但是市????境目前不好，短期仍然呈弱?。(2010-06-07 21:34:03)
　　匿名问： 	How about uso,ung? Can I buy now? Thanks(2010-06-07 20:37:21)　　专家[aries高]答： 	新浪?友大家好，UNG近期放量突破，短期??看?(2010-06-07 21:29:56)
　　匿名问： 	高老师， BAC 和 GE 怎样看？买进价和压力位？ 您好像没对此2股发表过什么建议，有老了，谢谢！(2010-06-07 20:48:30)　　专家[aries高]答： 	BAC，GE走?略强於大?，?是比??健的???股，如果大?反?，他??出???反?，短期大?呈弱?，不太?合看多(2010-06-07 21:41:21)
　　匿名问： 	FAS 21.70 这个价钱做短线能入么？ 老师？(2010-06-07 20:59:31)　　专家[aries高]答： 	FAS我的想法是，?在介入，短期可以被套，但是中期?，?是不?位置。(2010-06-07 21:32:37)
　　匿名问： 	帅哥老师早，请给看看A股的紫鑫药业和美股的RIG,谢谢。(2010-06-07 21:07:38)　　专家[aries高]答： 	RIG日?弱??有?，短期可以???望，??板?近期??走?比??，短期??仍然可能持?。(2010-06-07 21:37:47)
　　匿名问： 	aries how about mpel ank ldk thanks(2010-06-07 21:28:09)　　专家[aries高]答： 	MPEL如果有??再到3.4附近，可以考?介入。LDK?於太?能板?，不看好。(2010-06-07 21:43:00)
　　匿名问： 	老师：我的煤炭股(A股)-了20%，后市怎么看呀。能分析一下吗，万分感谢！(2010-06-07 21:34:40)　　专家[aries高]答： 	?在大?走?很弱，套了20%也是比?正常，料短期弱?不?改?。(2010-06-07 21:44:52)
　　[手机用户]问： 	老师您好：请您帮我看看600526菲达环保，成本是18.2元，后市该如何操作！要割肉吗？谢谢！(2010-06-07 21:37:46)　　专家[aries高]答： 	近期大?呈弱?，?股今本和大?同步，能不能反?很大程度取?于大?。(2010-06-07 21:48:55)
　　匿名问： 	sir how about bx ank fig thanks(2010-06-07 21:38:07)　　专家[aries高]答： 	BX,FIG目前都呈弱?，短期不妨?望(2010-06-07 21:51:03)
　　匿名问： 	老师，SOLF 8.03 的成本，现在该怎么办呢？好象有许多人认为很快就会有下一波下跌，您怎样看呢？(2010-06-07 21:39:29)　　专家[aries高]答： 	SOLF近期走?略???，如果大?出??歇性反?，那?解套??不大。(2010-06-07 21:53:47)
　　匿名问： 	tie， 执掌点和压力点是多少？ 后期如何？谢谢·老师！　　(2010-06-07 21:41:48)　　专家[aries高]答： 	TIE近期走?比???，短期支?16.9，?力18.15附近。(2010-06-07 22:00:54)
　　匿名问： 	高老师A股怎么样啊？会击穿2400吗？现在是否可以进场(2010-06-07 21:43:53)　　专家[aries高]答： 	跌破2400，有可能，?在如果?值投?，可以逐步介入，如果是短?交易，??不多。(2010-06-07 21:55:22)
