中海油连升3天后回软 可留意认购21775
　　相关窝轮选择：
　　中海油认购21775/行使价$13.38/10年10月到期
　　中海油认沽22603/行使价$13.18/10年12月到期
　　中石化认购17127/行使价$6.58/10年12月到期
　　中石化认沽18745/行使价$6.88/10年10月到期
　　恒指牛熊证选择：
　　恒指牛证62864/收回价20,000点/行使价19,500点/10年10月到期(极进取选择)
　　恒指牛证62933/收回价19,800点/行使价19,100点/10年10月到期(进取选择)
　　恒指牛证62436/收回价19,700点/行使价19,200点/10年11月到期(贴价选择)
　　恒指牛证62490/收回价19,400点/行使价18,900点/10年10月到期(敏感度高)
　　恒指牛证62350/收回价19,200点/行使价18,700点/10年9月到期(收回价远)
　　恒指牛证62532/收回价19,000点/行使价18,400点/10年12月到期(价格较低)
　　恒指熊证62991/收回价20,500点/行使价21,000点/10年12月到期(极进取选择)
　　恒指熊证62767/收回价20,900点/行使价21,400点/10年11月到期(敏感度高)
　　恒指熊证61706/收回价21,000点/行使价21,500点/10年8月到期
　　恒指熊证61761/收回价21,100点/行使价21,600点/10年11月到期(活跃选择)
　　恒指熊证61768/收回价21,200点/行使价21,800点/10年12月到期(价格较低、收回价稍远)
　　恒指熊证61692/收回价21,300点/行使价21,800点/10年8月到期(收回价稍远)

