恒生AH溢指跌1.20至97.43点 AH股普遍反弹
　　新浪财经讯 11月18日消息，今日AH股指反弹，沪指高开后一度震荡回落，其后回升并收于2850点之上；恒指震荡走高，午后持续向好涨幅扩大。恒生AH溢指震荡走低，因H股反弹幅度普遍大于A股，指数盘中高见99.75，低见97.23，全日报收于97.43，跌1.20或1.22%，指数显示A股股价整体比H股股价折价2.57%。
　　A股止跌企稳早盘高开，近期跌幅较大的煤炭、有色、等板块积极护盘，特别是权重股集体止跌企稳，深成指重上12,000点关口，午后两市延续震荡走高，煤炭、有色等板块领涨，但市场的人气依然不足，股指反弹的幅度有限；最后，上证综指沪指报2,865.45点，上涨26.59点或0.94%；深成指报12,146.14点，上涨228.65点或1.92%，两市成交额共计2384亿元。
　　恒指今日上扬，恒指高开223点23,437点，之后持续上升，中午收报23,530，升315点；午后港股再度上升，尾市更升逾400点，最终恒指全日收报23,637，升422点或1.82%；国企指数升292点或2.27%，收报13,168，成交额923.6亿元。
　　AH股中A股和H股普遍出现反弹，在63只可比的AH中，A股有52只上涨，H股61只上涨。隔夜美元指数回落，加上A股近日急跌后空头势力得到大幅宣泄，资源等周期类股企稳反弹推动了指数；不过短线紧缩担忧并未消散，爱尔兰的问题亦未定论，A股涨幅未能进一步扩大；H股中能源设备股、矿业股、医药股表现较好，另外银行股也出现反弹，整体涨幅大于A股，从而拖累了AH溢指下跌。AH股中出现倒挂的个股有19只，A股较H股折价两成个股至5只。恒生AH股A指数涨0.92%，报1980.97；恒生AH股H指数涨2.34%，报2271.27。
　　中国平安(601318-CN)上涨1.30%；中国人寿(601628-CN)上涨1.13%；建设银行(601939-CN)上涨0.21%；中国银行(601988-CN)上涨0.30%；工商银行(601398-CN)停牌；招商银行(600036-CN)上涨0.37%；交通银行(601328-CN)上涨0.70%。
　　中国人寿(2628-HK)涨1.63%，工商银行(1398-HK)涨2.59%，建设银行(0939-HK)涨2.67%，中国石油(0857-HK)涨0.53%，中国石化(0386-HK)涨0.84%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-26.90%)
　　中国平安(601318-CN;2318-HK)-----(-26.10%)
　　招商银行(600036-CN;3968-HK)-----(-25.10%)
　　建设银行(601939-CN;0939-HK)-----(-23.29%)
　　中国人寿(601628-CN;2628-HK)-----(-20.62%)
　　交通银行(601328-CN;3328-HK)-----(-19.94%)
　　鞍钢股份(000898-CN;0347-HK)-----(-16.11%)
　　海螺水泥(600585-CN;0914-HK)-----(-15.96%)
　　民生银行(600016-CN;1988-HK)-----(-14.14%)
　　中国铁建(601186-CN;1186-HK)-----(-14.00%)
　　

