AH溢指跌至117点 钢铁H股暴炒马钢转倒挂
　　新浪财经讯 12月11日消息，A+H股中，A股跌多升少，但H股却大多反弹收高；恒生AH股溢价指数跌1.15点至116.91点，本周累计只小幅收窄0.26点；今日收市后倒挂个股增至六只。
　　最新经济数据出炉，显示国内经济复苏进程稳固迈进，通胀也仅现苗头未成趋势；但深沪A股短暂冲高后却后继乏力，显示于周末前增仓意愿不足；股指震荡回落后全天更微幅倒跌0.2%。港股早市则更多响应外围企稳因素，H股指数在连跌四日后一度显著反弹，但午后显承接乏力，全日收市只小涨0.8%，离50日线仍缺临门一脚。全日A股部分成交略减至约160亿元(人民币，A股下同)；H股部分成交则微增至约166亿元(港元，H股下同)。
　　受益于新增信贷高预期且环比增加，及抗通胀题材；银行股一度两地齐步造好，但午后持股积极性减弱，收市呈A跌H升局面。同步获准于越南开设分支机构的工商银行(601398-CN;01398-HK)及建设银行(601939-CN;00939-HK)，A股微跌0.19%及0.17%，H股则涨0.62%及0.74%；最新AH股溢价率(考虑最新汇率因素：1港元兑换0.88093元人民币)各自为-7.95%及0.07%。权重油股亦H涨A跌，拉近两市价差率；但保险股则两市走弱。
　　钢铁股投资人气受涨价消息鼓动，因国内钢铁业龙头宝钢上调明年1月起的钢价，幅度优于市场预期，令市场憧憬钢价可持续上扬。马钢股份(600808-CN;00323-HK)及重庆钢铁(601005-CN;01053-HK)A股升1.97%及0.33%，H股更大涨9.96%及8.97%；前者两市估值差距因而丧失正溢价，转而倒挂1.53%，后者价差则仍高至121%。鞍钢股份(000898-CN;00347-HK)H股亦抢高7.13%，借冲高回落倒跌0.38%的A股疲态，将AH溢价率缩小至只有1.36%，显示两市估值差距已相当小；而且新晋两市价差率最低十大个股。
　　油气服务供应、航空、煤炭、海运、机械、通信设备及建材类H股也普遍于周末来临前见资金建仓；但A股则至个别发挥，助长了今日两市价差率的收窄。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国人寿(601628-CN;02628-HK)------(-8.47%)
　　工商银行(601398-CN;01398-HK)------(-7.95%)
　　中国平安(601318-CN;02318-HK)------(-7.45%)
　　招商银行(600036-CN;03968-HK)------(-3.14%)
　　马钢股份(600808-CN;00323-HK)------(-1.53%)
　　民生银行(600016-CN;01988-HK)------(-1.50%)
　　建设银行(601939-CN;00939-HK)--------0.07%
　　青岛啤酒(600600-CN;00168-HK)--------0.56%
　　鞍钢股份(000898-CN;00347-HK)--------1.36%
　　中国神华(601088-CN;01088-HK)--------4.54%

