5月28日美股专家坐堂实录
　　5月28日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　网友[匿名]问： 请老师分析近期FIG的走势，及建议是持有谢谢！(2009-05-28 12:25:08)　　专家[曾文俊]答： 对冲基金公司，走势完全同于金融类。先持有。(2009-05-28 12:25:08)
　　网友[匿名]问： How about SBLK? thanks!(2009-05-28 20:09:14)　　专家[曾文俊]答： 干散货航运公司，看看BDI就知道持有即可。(2009-05-28 20:09:14)
　　网友[匿名]问： 曾老师端午节好！!请您帮小妹看看600702沱牌曲酒，下周开盘介入做个短线，可以吗？(2009-05-28 20:51:04)　　专家[曾文俊]答： 纯短线操作，注意不追高即可考虑。(2009-05-28 20:51:04)
　　网友[匿名]问： Hi, Wejun: The oil price soars ew high. Could I trade on WH at current price? By the way, why the divident of WH is so high? 0.75 or 0.45 per ADR this year? Thanks。(2009-05-28 20:52:27)　　专家[曾文俊]答： 中国概念的小市值股票波动都不太规律。所以看好油价去做该股可以，不过注意介入时机，不要看大涨就追。他为啥分这多我就不知道咯。(2009-05-28 20:52:27)
　　网友[匿名]问： 老师，请教：BDI5月大幅上升，可是DRYS涨幅不大，为什么？现在可以介入等待补涨吗？(2009-05-28 21:11:57)　　专家[曾文俊]答： DRYS前段第三次卖股给股价造成了颇大的压力。从活跃度考虑，前面那位朋友问的那个航运股似乎更表现直接。(2009-05-28 21:11:57)
　　网友[匿名]问： 曾老师，你好。请问600500最近盘了比较久了，是否可以买入？(2009-05-28 21:16:39)　　专家[曾文俊]答： 走势非常疲软，现在还是不参与好。(2009-05-28 21:16:39)
　　网友[匿名]问： 曾老师，可以帮我分析feed .jaso吗？谢谢(2009-05-28 21:18:59)　　专家[曾文俊]答： FEED的走势非常的强，不过国内的猪饲料和猪养殖行业最近几个月非常不理想，所以要谨慎参与。太阳能行业前两天已经是每天都有分析，不多谈了。(2009-05-28 21:18:59)
　　网友[匿名]问： 老师，auy9.5进的。是留是走。谢谢(2009-05-28 21:23:28)　　专家[曾文俊]答： 黄金的大空间我是不看好的。不过金价现在仍然还是表现很强，所以你可以考虑还是可以先留一下。(2009-05-28 21:23:28)
　　网友[匿名]问： 曾大哥您好：BAC?始一?存托?先股??交易，对BAC来言究竟是利好还是利空呀？请解释下好不？(2009-05-28 21:24:01)　　专家[曾文俊]答： 优先股转换成普通股有利于减低银行的分红资金压力。主要还是为银行减压。(2009-05-28 21:24:01)
　　网友[匿名]问： 老师。小弟重创买进AMTY $.25.。麻烦帮忙看看一下...。不如要吊颈去了..。(2009-05-28 21:29:54)　　专家[曾文俊]答： 这个没法看了，碰运气吧(2009-05-28 21:29:54)
　　网友[匿名]问： 曾帅晚上好，很感谢你在节日期间还能为我们小散服务，真的很感动！请你分析一下600395盘江股份，26元成本，重仓被套，该怎么办？长期持有或者斩出？(2009-05-28 21:30:58)　　专家[曾文俊]答： 不要长期持有，但可先持有期待二次机会。具体参考昨天对煤炭的分析(2009-05-28 21:30:58)
　　网友[匿名]问： 老师，我以前跟你讨论说5月的美股要么震荡，要么下跌，现在看来，真的是震荡走势，接下来6月的走势如何，我个人认为是继续震荡，轻微向上上涨，老师认为如何呢？(2009-05-28 21:33:07)　　专家[曾文俊]答： 我在4月底谈美股时，有写文章谈到五一前后将突破8000。前几天对美股后续的判断是将在8000－9000区间箱体运作，所以基本认同你的看法。现在的各种信息没有理由再次使得股指跌破8000。但要大涨也需要更具支撑的经济数据。(2009-05-28 21:33:07)
　　网友[匿名]问： 曾老师.。曾老师..。曾老师..。小弟昨天重创$.25买进AMTY.。现在$.31 升了23%...。现在怎么算好.....。继续持有还是卖去？??(2009-05-28 21:37:23)　　专家[曾文俊]答： 先恭喜一下，另外这个我没法说咯，^_^，自己决定吧(2009-05-28 21:37:23)
　　网友[匿名]问： 曾专家您好，请问BAC该如何操作？我的成本是13元，是该继续持有还是抛掉？万分急切等待中！谢谢帅哥！(2009-05-28 21:39:11)　　专家[曾文俊]答： 继续持有，应该还是有希望解套的。(2009-05-28 21:39:11)
　　网友[匿名]问： mr zeng how about MGM, thank you (2009-05-28 21:39:19)　　专家[曾文俊]答： 理性投资，反对赌博，呵呵。美国的赌博公司更类似于休闲旅游。所以受经济危机影响很大，基本会是跟随大盘吧。(2009-05-28 21:39:19)
　　网友[匿名]问： 老师，请教：CDII的后势如何？可以长期持有吗？Thanks!(2009-05-28 21:40:11)　　专家[曾文俊]答： 对这个公司具体的行业运作不太熟悉，不敢说是否长期持有。不过从走势上看非常的疲软，不是好的短线参与品种。(2009-05-28 21:40:11)
　　网友[匿名]问： 曾帅哥，请问STP如何操作？(2009-05-28 21:46:46)　　专家[曾文俊]答： 参见前两天分析(2009-05-28 21:46:46)
　　网友[匿名]问： 曾大哥，我被套了15%所有的德美化工002054,该股一季报有0.17元，为什么迟迟没动静，每天也没量能，现在BDI和原油期货上涨，是不是应该进行换股票操作，谢谢..。(2009-05-28 21:47:26)　　专家[曾文俊]答： 中小板最近相当多股都是这种走势，市场资金也在逐步的转换中。可以等有上冲机会也适当转换吧。(2009-05-28 21:47:26)
　　网友[匿名]问： Hi Wenjun, 节日好。我想买入PLD 和DBA, 请问你的建议。已经是第二天提问了。谢谢。(2009-05-28 21:47:28)　　专家[曾文俊]答： PLD,工业房地产投资信托，不太看好。 DBA,投资农产品的ETF，可以考虑。(2009-05-28 21:47:28)
　　网友[匿名]问： 曾老师，请问aa成本是9.6现在被套，是否要走呀看图形不太好呀，谢了先(2009-05-28 21:49:29)　　专家[曾文俊]答： 仍然是处于横盘的阶段，没有太大的必要去割肉。(2009-05-28 21:49:29)
　　网友[匿名]问： 请问BDI指数在哪可以查到？(2009-05-28 21:55:37)　　专家[曾文俊]答： http://blog.sina.com.cn/s/blog_5f47a4e70100dj0k.html?tj=1(2009-05-28 21:55:37)
　　网友[匿名]问： 曾老师好，BAC 已跌破10.77支撑，下一支持点多少阿？(2009-05-28 21:56:49)　　专家[曾文俊]答： 支撑和压力都不可能是精确到分的。10块是这个区域的支撑。(2009-05-28 21:56:49)
　　网友[匿名]问： wfc, wfc, please help, bought at $26, thanx(2009-05-28 22:01:26)　　专家[曾文俊]答： 20块才是真正有力的支撑。你已经被套，现价可上可下，还是继续持有为好。(2009-05-28 22:01:26)
　　网友[匿名]问： 曾老师，我非常着急，请您指教。我7.12进的FITB,现在跌到6.43，是持有，还是解套出来，谢谢(2009-05-28 22:01:56)　　专家[曾文俊]答： 解套出来？现在还是继续持有。(2009-05-28 22:01:56)
　　网友[匿名]问： 曾老师，你好！纳斯达克上市的3G概念股展信通讯你怎么看？展信通讯做为国内TD-SCDMA的领头者，你看好它的未来吗？(2009-05-28 22:08:50)　　专家[曾文俊]答： 不看好TD SCDMA(2009-05-28 22:08:50)
　　网友[匿名]问： 曾老师， 晚上好， 持有5000 VISN, 近期如何操作？ 谢谢！(2009-05-28 22:09:33)　　专家[曾文俊]答： 继续持有等待(2009-05-28 22:09:33)
　　网友[匿名]问： 曾帅，您好啊！今天A股休市，您没那么忙碌了，请分析一下000635这只股票好吗？谢谢了(2009-05-28 22:12:01)　　专家[曾文俊]答： 化工类，主业PVC，之前的业绩表现较差，不过或者后续行业会有复苏。可以考虑跟踪。(2009-05-28 22:12:01)
　　网友[匿名]问： 大哥 你认为美股 还会再创新低吗？(2009-05-28 22:12:05)　　专家[曾文俊]答： 近期我认为不太可能(2009-05-28 22:12:05)
　　网友[匿名]问： 曾老师您好，请问C近期该如何操作？我的成本在4.3元，该继续持有吗？近期下降，还可以继续补仓吗？谢谢啦(2009-05-28 22:15:23)　　专家[曾文俊]答： 几乎是前期最高的价格了，还是继续持有吧。补仓还不着急。(2009-05-28 22:15:23)
　　网友[匿名]问： 你好，LFT今天公布年报，可以继续持有吗？(2009-05-28 22:17:28)　　专家[曾文俊]答： 现在的股价表现非常不错，继续持有(2009-05-28 22:17:28)
　　网友[匿名]问： 曾老师，感谢您在节假日仍然为小散工作。我想请教大秦铁路还能持有吗，已持有两个月了，一直坐电梯，没有收获。该股业绩不错啊，为什么没有动静呢，还能持有吗？(2009-05-28 22:18:46)　　专家[曾文俊]答： 昨天对运输业做过分析，可参看昨天记录(2009-05-28 22:18:46)
