上周再现5.68亿元净流入 近7亿元吸纳光伏类品种
　　新快报记者 陈永洲
　　上周大盘跌两天涨三天，沪指周跌0.73%，成交7453亿元，环比缩减12%；中小板指周涨1.46%，周线5连阳。显示市场的中小市值类品种仍为维持活跃。随着市场进入多空角力格局，机构却频频“祭出”亿元级资金入场，当中不乏近期走俏的光伏产业、化工板块及水泥板块。据新快报独家统计，上周机构合计现身龙虎榜143席次，环比增长88%。其中，买入75席次、卖出68席次，多空比例1:0.91，前一期为1:0.81；仅涉及47只个股，环比增长34%，整体活跃度有明显回升。
　　全周机构合计买入19.8亿元，环比增长1.76倍；合计卖出14.12亿元，环比增长80%；资金净流入5.68亿元，为年内第二次录得资金净流入且涉资逾亿元。
　　22只股票获资金净流入，占总数47%，环比下降4个百分点。多达5只个股获得超过1亿元的净流入规模，其中滨化股份以2.71亿元居首；中兴通讯、精功科技两股的涉资规模也在2亿元以上。
　　净流出个股上，盾安环境、金通灵、康芝药业三股的机构抛盘皆超过1亿元。
　　在前周的资金流向中，本栏指出“新催生的水泥、化工股获机构难得开仓追入，故后市可关注低估品种的反弹及热点持续”。上周机构除对上述两板块延续做多外，还巨资“杀进”光伏产业类品种，为当前大市振荡整理格局再增添一亮点。
　　主板
　　近7亿元吸纳光伏类品种
　　上周主板共21只个股的龙虎榜上出现机构，合计买入12.06亿元，环比增长1.62倍；卖出5.07亿元，环比缩减26%；净流入6.99亿元，而前周为净流出2.22亿元。
　　获得净买入的有8只，仅占38%。其中，滨化股份等4股的净流入皆在1亿元以上，其余个股皆在4000万元以下。
　　上周的“机构概念股”中，光伏产业类品种无疑为机构重点布局对象，乐山电力、三普药业、精功科技(中小板)3只个股的机构买盘皆超过1亿元，东方日升(创业板)则现机构“低吸”。整体板块首现机构密集建仓潮。
　　其中，三普药业(600869)在去年12月31日便宣布以21.69元/股非公开增发募资15.6亿元，投向风电、核电与太阳能等新能源用特种电缆等五个项目。这是公司在去年10月份完成重组后(向大股东远东控股购买电缆资产)后，加速推进对新能源业务的培育之举。今年以来，该股无视大盘剧烈波动，股价最高涨幅超过50%，上周初更连续封出两涨停，而此两日的龙虎榜上，机构包揽买入席位前五，合计2.66亿元，折合股份约占流通盘达6.1%(去年三季度末股东榜上，基金持股总量仅占流通盘5.9%)，净流入1.37亿元。此后该股连续缩量高位调整，上周五跌0.27%，报36.36元，股价已重回机构入场成本之下。
　　在多晶硅概念龙头乐山电力(600644)上，机构单边买入1.42亿元。该股在去年10月18日曾被机构重手抛售1.11亿元(均价约13.4 元)，1月26日至今的18个交易日内飙涨43%，且仅3度飘阴，机构高位祭出“回马枪”，为其后市增添想象空间。上周五该股涨2.5%、报16.78 元，完成8连阳。精功科技(002006)则延续去年四季度来机构的高关注度，上周有机构买入2.49亿元、净流入2.27亿元。上周五该股跌0.9%，报55.10元。
　　1月12日被机构卖出1349万元的东方日升(300118)在上周一重挫5.31%之际获一家机构斥2595万元“低吸”。公司主营太阳能电池组件等光伏产业下游产品，去年度实现净利润2.75亿元，同比增1.37倍，拟“10转10派5元”。去年四季度间获“嘉实系”4只基金新进360万股，占流通盘达8%。上周五涨0.92%，报72.4元。
　　上述4股获机构持续做多，背景则是光伏产业的高景气。渤海证券认为，二季度光伏行业将进入旺季，可长期关注海通集团、天立环保、百利电气、超日太阳、汇川技术等。
　　值得注意的是，三普药业、精功科技目前皆处定增实施前的“高价”区间，按照资本市场“定增-股价走高-高送转-股价摊薄”的套路，后市的“高送转”预期仍值得关注。前周获机构青睐的水泥、化工在上周一一爆发，机构一派“加码”：国内环氧丙烷龙头滨化股份(601678)，周内机构单边买入2.71亿元，将年报中的机构做多势头“发扬光大”。周末该股涨1.84%，报26.01元，后市或等待重要均线的支撑；上周五封出涨停的江西水泥、华新水泥分别获机构净买入2458万元、1405万元，前者近两周已获机构累计净流入8859万元，现价报16.52元，创出历史新高(复权，下同)。
　　其它个股上，次新股内蒙君正获机构买入3600万元，上周五涨2.1%、报27.18元，发行价25元上方显示出一定支撑力度；兴业证券获机构买入3855万元，延续券商板块的龙头气息。
　　净卖出个股上，方大炭素被机构兑现5192万元居首；“新三板”概念股苏州高新、鲁信高新在涨势中分别被机构净卖出841万元、2361万元，显示出该类品种在实质性政策利好出台前，行情仍以游资为主导。
　　中小创业板
　　机构青睐东软载波、凯美特气
　　中小创业板上，26只个股获机构合计买入7.74亿元，环比增长2.01倍；合计卖出9.05亿元，环比增长近8倍；净流出1.31亿元，而前周为净流入1.56亿元。
　　获机构净买入的共14只，占54%。其中精功科技为唯一净流入额超过1亿元的个股，东软载波以5795万元居于次席。
　　上周二上市之际，东软载波(300183)即获4家机构合计买入7604万元，占总量的13%，折合股份约占其流通盘的8.6%，吸筹力度较为可观。上周四、周五两日创业板股集体回调中，该股被机构累计卖出1809万元，显然机构主力资金仍在场内。据悉，公司主营低压电力线载波通信，产品为电网公司用电信息采集系统的核心部件。去年上半年实现净利润3694万元。上周五跌4.67%，报44.75元，收出长下影。
　　上周四英威腾披露投资公告、股价封出涨停，机构单边买入3728万元，折合股份约占流通盘的2.1%。去年四季度间，“南方系”为首的9家机构全线做多，股东数环比锐减26%，筹码趋向集中。据悉，公司计划以超募资金合计1.51亿元增资、购买上海御能动力股份(后者主营伺服驱动产品)。去年度公司实现净利润1.16亿元，同比增42%。上周五冲高回落涨1.04%、报61.35元。
　　本月18日登陆中小板的凯美特气(002549)上周获机构净买入2424万元，其中上周五该股盘中逼近跌停，收盘时跌3.27%，报38.5元。龙虎榜上却有4家机构斥3120万元“低吸”。上市来，机构已累计净买入该股7792万元，紧握其逾13%的流通筹码，吸筹力度为近期上市新股罕见。其他个股上，新股捷成股份、力源信息皆有机构入场“试水”；亚厦股份则显亿元级资金激烈博弈。
　　整体上看，上周板块的机构操作趋于平淡，这也与近期该类品种持续走高、上周末“高送转”个股全线回吐有一定关系。不过，尽管整体录得资金净流出，但鉴于金通灵、棕榈园林、超日太阳等“高转增”上为机构“习惯性”抛盘，故实际上板块仍处多空角力状态中。
　　上周主板机构龙虎榜一览(单位：万元)
　　代码 名称 买入 卖出 净流入
　　601678 滨化股份 27123 0 27123
　　000063 中兴通讯 38043 14173 23870
　　600644 乐山电力 14230 0 14230
　　600869 三普药业 26638 12895 13743
　　601377 兴业证券 3855 0 3855
　　601216 内蒙君正 3600 0 3600
　　000789 江西水泥 2458 0 2458
　　600801 华新水泥 1747 342 1405
　　000982 中银绒业 0 128 -128
　　600132 重庆啤酒 1779 1985 -206
　　000565 渝三峡 A 0 209 -209
　　000790 华神集团 0 618 -618
　　600170 上海建工 0 668 -668
　　600736 苏州高新 0 841 -841
　　000885 同力水泥 0 1019 -1019
　　600576 万好万家 0 1815 -1815
　　000546 光华控股 233 2065 -1832
　　600783 鲁信高新 853 3214 -2361
　　600509 天富热电 0 2731 -2731
　　000666 经纬纺机 0 2811 -2811
　　600516 方大炭素 0 5192 -5192
　　上周中小创业板机构龙虎榜一览(单位：万元)
　　代码 名称 买入 卖出 净流入
　　002006 精功科技 24926 2239 22687
　　300183 东软载波 7604 1809 5795
　　002334 英威腾 3728 0 3728
　　300179 四方达 3091 0 3091
　　300024 机器人 2675 0 2675
　　300118 东方日升 2595 0 2595
　　002371 七星电子 3480 940 2540
　　002549 凯美特气 5345 2921 2424
　　300182 捷成股份 1660 0 1660
　　300184 力源信息 1768 509 1259
　　002104 恒宝股份 1136 0 1136
　　002375 亚厦股份 13246 12870 376
　　002059 云南旅游 265 0 265
　　002065 东华软件 241 89 152
　　300169 天晟新材 0 462 -462
　　300036 超图软件 0 466 -466
　　300045 华力创通 0 511 -511
　　002017 东信和平 0 1376 -1376
　　002214 大立科技 4128 5674 -1546
　　002493 荣盛石化 0 2127 -2127
　　002400 省广股份 0 2634 -2634
　　002506 超日太阳 0 5620 -5620
　　002431 棕榈园林 388 6575 -6187
　　002011 盾安环境 1121 11174 -10053
　　300091 金通灵 0 11819 -11819
　　300086 康芝药业 0 20704 -20704

