11月30日美股专家坐堂实录
　　新浪财经讯 11月30日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：老师，您好！FAZ套牢好久了，请教怎么操作？平均价在20快，谢谢您！(2010-11-30 05:10:13)　　专家[曾文俊]答：继续持有吧，美股突破失败后又重归了跌途。(2010-11-30 21:20:58)
　　匿名问：老师：yge这轮怎么样啊，会止跌反弹吗，还是继续跌啊，反弹空间大吗，谢谢老师(2010-11-30 17:13:26)　　专家[曾文俊]答：10块的支撑很重要，是可以支持其有反弹的。不过12块压力就很大，一般情况难以突破。(2010-11-30 21:25:23)
　　匿名问：老师 你今晚黄金怎么看呢？？？ (2010-11-30 18:06:12)　　专家[曾文俊]答：欧洲的问题仍在深化，金价继续起着避险的作用，美元和商品继续同涨。(2010-11-30 21:27:49)
　　匿名问：老师你好，CSCO走势如何？后市怎么样？ (2010-11-30 20:26:07)　　专家[曾文俊]答：思科公布财报问题之后暴跌，目前仍在低位振荡。没有太多的意思。(2010-11-30 21:31:24)
　　匿名问：老师，晚上好！请教老师怎么看稀土的趋势？现在的价位是高？是低？(2010-11-30 20:28:57)　　专家[曾文俊]答：前2天的信息，澳洲试图给日本提供稀土，而中国又开始恢复对日本的稀土供应。这个概念暂告一段落。至于稀土本身的价位，这要看政府的操作能力。(2010-11-30 21:32:48)
　　匿名问：曾老师！你好！盼着你来，昨天问了你没回答我！今天一定要回答啊！600489和STP！(2010-11-30 20:47:36)　　专家[曾文俊]答：STP已经新低，规避。中金黄金虽有金价的支撑，不过受股市影响更大。最好的机会是两因素统一的时候。(2010-11-30 21:37:15)
　　匿名问：老师，您好，SYUT有无可能在年内上涨20%以上？(2010-11-30 21:10:57)　　专家[曾文俊]答：这个，不知道。不过这2天的走势非常强劲，有这种可能，注意12的支撑。(2010-11-30 21:44:48)
　　匿名问：曾老师，您好！首先感谢您对600054(现成本22.6元，6成仓位)的指点！您说：“这样的走势表达的意思明确，就是总体振荡而偏空。” 请教老师：可以理解为适当的波段和减仓吗？短期支撑和压力是多少？再次感谢！谢谢！！！(2010-11-30 21:19:46)　　专家[曾文俊]答：上次坐堂我们谈过在跌破19.5就要止损了，该股在跌破之后还有反抽年线的机会，也是又一个止损的机会。该股现在的压力是20，支撑17。(2010-11-30 21:51:35)
　　匿名问：小曾老师，我重仓BIOD@2.95, 请问老师短期能否解套呢？ 曾老师，像这种小医药公司会不会随时破产呀， 很担心， 希望老师一定给点意见， 万分感激！(2010-11-30 21:24:52)　　专家[曾文俊]答：以前多次谈过，医药股的波动是非常巨大的，破产和爆发都是很正常的。这种股票是不适合重仓赌的。(2010-11-30 21:54:41)
　　匿名问：老师好：一直持有600016民生银行，支撑压力位在哪，请老师一定分析下，银行板块还有下跌空间吗？先谢了！!!(2010-11-30 21:31:55)　　专家[曾文俊]答：支撑就是4.9，金融股是最弱的品种，仍在下跌趋势中，压力5.6(2010-11-30 21:58:15)
　　匿名问：专家你好。我长线想空黄金你认为是否可行？？(2010-11-30 21:32:18)　　专家[曾文俊]答：长线做空现在不可行，没有足够的基本面基础，而且也没有必要。(2010-11-30 21:59:28)
　　匿名问：asia走势如何？后市怎么样(2010-11-30 21:33:30)　　专家[曾文俊]答：走势是疲弱的，16块有支撑，不过仅作反弹考虑(2010-11-30 22:03:02)
　　匿名问：老师你好，ge , 600837走势如何？后市怎么样？(2010-11-30 21:33:39)　　专家[曾文俊]答：GE基本在14－18的区间横盘，现在更可能先向下尝试。券商股也是较弱，后市不容乐观。(2010-11-30 22:06:24)
　　匿名问：曾老师好！您昨天说：“必然要做一个方向选择，从而进入那300点区间的新振荡，意思就是很快就要不是到3000就是到2700了。”是够快的，今天就兑现了！600396(现成本10.91元，7成仓位)10块的支撑强不强？短期压力是多少？谢谢！谢谢！谢谢！！！(2010-11-30 21:37:48)　　专家[曾文俊]答：昨天我们对该股也分析了11块的压力是相当大的。10块的支撑今天经受了一次考验，但是这个支撑是在大盘维持横盘状态有效。如果大盘之后两天继续下行，该股强支撑在9块。(2010-11-30 22:09:41)
　　mminyue问：曾老师，请问煤炭股、机械股和电子科技股后市的机会如何？哪个板块的机会更大些？谢谢(2010-11-30 21:39:40)　　专家[曾文俊]答：目前来说，机械和电子类更受欢迎。煤炭是国庆后行情的龙头，不过受到调控的影响难以持续上扬(2010-11-30 22:14:25)
　　匿名问：曾老师！你好！盼着你来，一定要回答啊！000611(2010-11-30 21:47:41)　　专家[曾文俊]答：又是一个资金炒作的个股，连续涨停后回落，因为有资金，所以还会有活跃机会，不过只作技术操作，不可长持。(2010-11-30 22:23:57)
　　匿名问：请问近期标普会在1175点站稳吗？谢(2010-11-30 21:52:31)　　专家[曾文俊]答：就目前的发展趋势，难，多半会跌破。(2010-11-30 22:15:32)
　　匿名问：老师 为什么今天黄金美元同涨呢？？(2010-11-30 21:57:02)　　专家[曾文俊]答：昨天我们谈过，这是因为资金在寻求避险，由于新兴市场的政治不稳定以及欧洲经济问题，所以美元和商品都是避险所趋。(2010-11-30 22:21:46)
　　匿名问：曾老师，cbak业绩怎么样？最近在关注它；谢谢！(2010-11-30 21:59:41)　　专家[曾文俊]答：今天公布的Q4净亏损857万美元(2010-11-30 22:26:28)
　　匿名问：校友GG，请帮助分析巨人网络ga和思源sysw这两支股该如何操作，谢谢(2010-11-30 22:11:13)　　专家[曾文俊]答：巨人现价压力，卖出的机会。传统网游已经不再如以前一样的增长了。 SYSW，房产相关的政策压力太大，注意规避。 (2010-11-30 22:31:22)
　　匿名问： 曾老师恩人呀，昨天听了你的话，开盘就把UNG抛了，避免了损失！现在我想请教曾帅英伟达，好像3D概念股，处于上升通道，您看如何，可以介入吗？谢谢谢谢！(2010-11-30 22:13:19)　　专家[曾文俊]答：NVDA就是显卡芯片制造的，大家电脑里面的显卡基本是NVDA和ATI两家的。14是有压力的，最好是回调到12附近介入。16的大压力。(2010-11-30 22:35:42)
　　匿名问：曾老师，您好！很喜欢您坐堂，更感激您对我们的指点！今天的大盘又被您昨天的分析言中了！002064我已关注一段时间了，现在能介入吗？短期支撑和压力是多少？谢谢！谢谢！谢谢！！！(2010-11-30 22:21:36)　　专家[曾文俊]答：氨纶在月初随着棉花价格的上涨而上涨。这个行业具有发展的空间，而且与消费类相关，值得关注。不过现价不合适介入。另外，烟台氨纶似乎更加强势一些。(2010-11-30 22:38:11)
　　匿名问：曾 老师，你怎么看美股的BAC，c，美国金融股长期看好吗？谢谢(2010-11-30 22:26:36)　　专家[曾文俊]答：金融股长期肯定是可以逐步介入的，巴菲特在富国银行的投入大家也都知道。短期仍然是走势看空。(2010-11-30 22:39:33)
　　匿名问：老师 现在黄金1383还能买涨？？(2010-11-30 22:26:51)　　专家[曾文俊]答：这里已经到了左边的肩部，不适合追涨了。(2010-11-30 22:40:24)
　　匿名问：Hi Wenjun, how do u think STV? It will pay $2 dividend. Thanks。(2010-11-30 22:27:42)　　专家[曾文俊]答：突破了8块的重要压力，回调可作考虑。(2010-11-30 22:47:40)
　　匿名问：老师你好： RIO和NEM这两支什么价位可以进去？ (2010-11-30 22:29:12)　　专家[曾文俊]答：60和55是他们的支撑所在。做矿业股要注意中国的调控力度问题。(2010-11-30 22:49:38)
　　匿名问：mcox是什么消息呀，跌怎么多？crus怎么看？ (2010-11-30 22:35:54)　　专家[曾文俊]答：公布了财报，就容易暴涨暴跌。 CRUS从夏天开始已经走出了下跌的通道。(2010-11-30 22:53:05)
　　匿名问：请教曾老师GOOG和BIDU最近的入场机会，谢谢(2010-11-30 22:37:54)　　专家[曾文俊]答：500和90的支撑都较不错(2010-11-30 22:54:34)
　　

