广州游资龙虎榜　游资接力炒作轴研科技
　　新快报研究员 陈伟新
　　“国泰君安人民中”再度活跃，其“度假”归来后出击个股的次数与涉及的资金规模均比以往有所增加。周二抛售轴研科技；周三重拳出击吉林制药；周四狂扫杭萧钢构。除周四出击具有抗震概念的杭萧钢构未见其获利兑现，全周涉及的四只个股中有三只已经获利了结。值得一提的是，“国泰君安人民中”周三出击的吉林制药是其首次采用“联合”攻击的方式，进行短线套利。从周四的市场表现来看，该笔操作应该是大获全胜了。
　　值得关注的是，本周五深市的大牛股轴研科技，自上周五拉出第一个涨停板当日，便有三家分别来自鹤山和佛山的游资位列该股的买入席位，“万联石牌东”曾经跷蹊地抛出4000多万元的卖单，本周初“国泰君安人民中”则抛出1299.55万元的筹码。本周五该股再次以涨停板报收，“华泰远景路”获利抛出1006.39万元。“安信繁华路”则买入998.12万元。
　　应该说，轴研科技连续走高体现了“广佛同城化"后的游资动向，这期间游资的配合比宁波游资更是有过之而无不及。游资接力炒作方式已被广州游资所掌握和改良。
　　本周广州营业部游资上榜大单一览
　　营业部名称                       日期     买入        金额(万元)卖出        金额(万元)
　　国泰君安证券广州人民中路营业部      周三    吉林制药    2213.66  ——        ——
　　中国建银投资证券广州滨江东路营业部   周四    重庆啤酒    2044.16  ——        ——
　　国泰君安证券广州东风中路营业部      周三    吉林制药    1703.68  ——        ——
　　国泰君安证券广州人民中路营业部      周四    杭萧钢构    1416.53  ——        ——
　　光大证券广州天河北路营业部         周二    ——        ——    东方园林    3126.11
　　安信证券广州花都凤凰北路营业部      周一    ——        ——    华芳纺织    3120.62
　　华泰联合证券广州番禺迎宾路营业部    周四    ——        ——    东北电气    2894.86
　　国信证券广州东风中路营业部         周二    ——        ——    铁龙物流    1361.45
　　信达证券广州寺右新马路营业部       周四    ——        ——    赛马实业    1302.31
　　国泰君安证券广州人民中路营业部      周一    ——        ——    轴研科技    1299.55
　　中信建投证券广州市中山二路营业部    周五    ——        ——    轴研科技    1206.88
　　中国建银投资证券广州滨江东路营业部   周一    ——        ——    重庆水务    1158.88
　　国信证券广州东风中路营业部         周二    ——        ——    东方财富    1060.33

