7月23日美股专家坐堂实录
　　7月23日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问： 老师：YGE近期压力点，现在的点位该抛嘛，谢谢(2010-07-23 10:24:07)　　专家[aries高]答：YGE目前震荡反弹趋势没有变，压力13.0附近。(2010-07-23 21:38:29)
　　匿名问：老师，请看下trmpq它还有机会吗？(2010-07-23 13:02:41)　　专家[aries高]答：TRMPQ近期放量走低，反弹的机会微乎其微。(2010-07-23 21:41:36)
　　匿名问：高sir，faz的压力和支撑在什么点位？谢谢(2010-07-23 20:40:02)　　专家[aries高]答：FAZ支撑13.56，压力18.0附近(2010-07-23 21:42:45)
　　匿名问：老师，ldk现在这个价位还能买进吗？还是再等等？(2010-07-23 21:18:46)　　专家[aries高]答：LDK目前是突破走势，压力7.2附近，可以考虑。(2010-07-23 21:44:36)
　　匿名问：高老师，您好！非常感激您对600396的指点！本周电力板块涨幅最小，下周能否轮到上涨？8.3的支撑还有效吗？可以补仓吗？再次感谢！谢谢！！！(2010-07-23 21:21:31)　　专家[aries高]答：600396的支撑仍然在8.3附近，具体操作自己拿捏(2010-07-23 21:55:18)
　　匿名问：高老师，您认为美国军工股现在应该买么，ba 和gd应该买哪一只？谢谢(2010-07-23 21:34:45)　　专家[aries高]答：BA日线是突破走势 ，短期看涨，GD可以再观望一下。(2010-07-23 21:48:31)
　　匿名问：请问高老师！我想问问AA什么时候价位可以介入？什么价位要抛，谢谢！(2010-07-23 21:37:14)　　专家[aries高]答：AA支撑10.31，压力11.26，目前整理中，没有出现比较不错的介入机会。(2010-07-23 21:58:52)
　　匿名问：老师，amzn可以进吗？什么点位啊？(2010-07-23 21:39:49)　　专家[aries高]答：AMZN业绩低于预期是股价大幅走低的原因，短期可能不会有什么作为，可以观望(2010-07-23 21:50:42)
　　匿名问：uso 能买吗？谢谢(2010-07-23 21:40:07)　　专家[aries高]答：USO好的介入机会已经错过，可以再关注一些回调机会。(2010-07-23 22:00:05)
　　匿名问：高老师，dl又开盘就长了10%以上，已经长了50%了，我不知道该不该继续持有呀，看起来这个股票非常强势，您能不能给些建议。(2010-07-23 21:43:14)　　专家[aries高]答：该股波动比较大，日线看，震荡上行趋势没有变，如果担忧可以适当减仓，5.33附近有年线压力。(2010-07-23 22:10:07)
　　匿名问：aries how about pwrd ank cyou(2010-07-23 21:47:33)　　专家[aries高]答：目前PWRD和CYOU的走势都相对较弱，但是没有必要介入，继续观望吧。(2010-07-23 22:14:04)
　　匿名问：请问：AA和NOK现在可以买吗？什么时候是买点？谢谢(2010-07-23 21:54:02)　　专家[aries高]答：NOK日线震荡上行趋势没有变，但是9.47是短期压力，AA目前是整理走势，暂时没有让人想要买入的意愿。(2010-07-23 22:17:35)
　　匿名问：高老师，crus卖空18.75。接下来要怎么操作，是加还是减啊(2010-07-23 21:58:10)　　专家[aries高]答：CRUS是强势股，如果无利空消息打压，走低的可能并不大，不建议做空强势股，个股总是会好的恒好，差的恒差。(2010-07-23 22:12:55)
　　匿名问：老师，ccme可以进吗？什么点位啊(2010-07-23 21:59:19)　　专家[aries高]答：CCME回补了近期的一个跳空缺口，可以考虑。(2010-07-23 22:35:28)
　　匿名问：高老师您好！请问：000012什么时候买好？谢谢！(2010-07-23 22:02:00)　　专家[aries高]答：周三该股日线冲高回落，不过接下来两根日线没有回落，预期震荡上行趋势没有变，如果有机会到11.15附近，个人觉得可以考虑一下。(2010-07-23 22:25:56)
　　匿名问：高老师，从SP今天开盘看，是否突破1100可能较大(2010-07-23 22:07:41)　　专家[aries高]答：如果SPX突破1000，那么可以全面看涨(2010-07-23 22:38:14)
　　匿名问：高老师，您好。昨天vxx 大跌，是否意味着情绪面的巨大改善，但同时昨天美股的大涨并未放量。现在做空vxx是否适合？谢谢。(2010-07-23 22:10:38)　　专家[aries高]答：这个我保留意见(2010-07-23 22:41:20)
　　匿名问：老师，EDU近期压力是多少？谢谢(2010-07-23 22:16:34)　　专家[aries高]答：EDU压力仍然在105.2附近。(2010-07-23 22:42:03)
　　匿名问：drys已经突破压力位4.31，接下来的走势将会如何？压力位在什么区间？(2010-07-23 22:18:41)　　专家[aries高]答：DRYS我前天再博客中有推荐，日线继续看涨。http://blog.sina.com.cn/elliottgao(2010-07-23 22:45:20)
　　匿名问：—————————————— yrcw,能说说吗，现在进风险大不？(2010-07-23 22:23:03)　　专家[aries高]答：YRCW日线目前震荡反弹，但是这类股个人不建议成为关注的重点或者是重仓的对象。(2010-07-23 22:44:20)
　　匿名问： sir how about ms ank wfc thanks(2010-07-23 22:24:42)　　专家[aries高]答：近期的金融改革法案内容利空银行板块，短期我对该板块持观望态度。(2010-07-23 22:53:06)
　　匿名问：高老师，您好！ 很喜欢您坐堂，更感激您前期的指点！000939主力是否在出货？需要减仓吗？万分感激！！！(2010-07-23 22:25:26)　　专家[aries高]答：该股走势仍然比较强势，震荡上行趋势没有变，压力16.0附近。(2010-07-23 22:26:57)
　　匿名问：高老师，我想请问 drys 压力是多少？ 谢谢。(2010-07-23 22:29:57)　　专家[aries高]答：今天DRYS再次突破，趋势继续看涨，压力4.88附近。(2010-07-23 22:43:26)
　　匿名问：请问：MS和KBH被套20%，该如何操作？(2010-07-23 22:35:22)　　专家[aries高]答：如果是在高位介入的，被套20%也是正常的，可以继续持有，MS走势要好很多。(2010-07-23 22:51:00)
　　匿名问：老师，能分析一下600630的后市吗？是否有上涨的空间？谢谢！(2010-07-23 22:38:03)　　专家[aries高]答：该股日线突破后再次整理，盘中可以关注放量的机会。该股似乎在建立一个头肩底，个人觉得有机会上涨，但是可能不会那么干脆。(2010-07-23 22:48:23)
　　匿名问：老师 花旗 美洲 高盛哪支股比较便宜 可以买？(2010-07-23 22:39:47)　　专家[aries高]答：目前看，花旗的走势在三者中更好一些。(2010-07-23 22:46:54)
　　匿名问：高老师您好！很感激您对000012的指点！能指点下压力是多少吗？再次感谢！谢谢！！！(2010-07-23 22:39:59)　　专家[aries高]答：短期压力12.6位置。(2010-07-23 22:46:06)
　　匿名问：高老师，你好！今天我没有在高位出掉000636风华高科，请问高老师，该股还可以持有到下周吗？下周还有在高位出掉的机会吗？谢谢！(2010-07-23 22:49:23)　　专家[aries高]答：现在是周末，当然要拿到下周了，呵呵，我觉得有机会创新高，但是幅度有限，个人观点。(2010-07-23 22:54:35)
　　匿名问：请问老师对ddr、drys、mbi怎么看？多谢！(2010-07-23 22:50:14)　　专家[aries高]答：DRYS我有介绍，短期继续看涨，MBI和DRYS类似，只是走势更强一些，DDR短期在10.87附近有一定的压力。(2010-07-23 22:55:46)
　　匿名问：MGM、PLD未来趋势如何请您帮忙分析一下，谢谢！ (2010-07-23 22:51:35)　　专家[aries高]答：MGM短期如果突破10.5，那么可能会打开反弹空间，PLD日线同样遭遇趋势线压力，如果突破，那么短期介入机会就出现了。(2010-07-23 22:59:38)
