欧佩克原油上周五涨1.74美元 报每桶108.93美元
　　欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油参考价格上周五(5月13日)报每桶108.93美元，该价格上周四(05月12日)为每桶107.19美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚Es Sider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：
　　05月12日	107.19美元/桶
　　05月11日	111.35美元/桶
　　05月10日	111.48美元/桶
　　05月09日	108.08美元/桶
　　05月06日	104.40美元/桶
　　05月05日	112.80美元/桶
　　05月04日	116.96美元/桶
　　05月03日	118.75美元/桶
　　05月02日	119.90美元/桶
　　04月29日	120.35美元/桶
　　04月28日	120.91美元/桶
　　04月27日	119.35美元/桶
　　04月26日	118.96美元/桶
　　04月25日	119.38美元/桶
　　04月21日	119.46美元/桶
　　04月20日	117.97美元/桶
　　04月19日	116.00美元/桶
　　04月18日	117.37美元/桶
　　04月15日	117.99美元/桶
欢迎发表评论  我要评论

