大盘放量机构地量 水泥低估品种大热 
　　■新快报记者 陈永洲
　　上周沪指整体重心有所上移，尽管上周五收至2900点下方，但交投明显活跃，沪市周成交8474亿元，环比(前一期指1月31日至2月11日)增长54%，创去年11月下旬来新高。盘面上，水泥、化工、新三板等热点持续走强。
　　但大盘复苏下，机构活跃度却继续萎缩。据新快报独家统计，上周机构合计现身龙虎榜76席次，环比锐减39%，创去年四季度来新低。其中，买入42席次、卖出34席次，多空比例1:0.81，前一期为1:1.6；仅涉及35只个股，环比减少26%。
　　全周机构合计买入7.18亿元，环比减21%；合计卖出7.83亿元，环比剧减61%；资金净流出6510万元，而前一期两市合计净流出11.03亿元。
　　有18只股获资金净流入，占总数51%，环比上升21个百分点，为近5周来首度出现净流入个股过半数。不过仍无个股录得1亿元以上的净流入额，重组股利欧股份以7462万元居首，深赤湾A、江西水泥、巨化股份等净流入额皆也超过6000万元，上周五上市的凯美特气则获逾5000万元的买盘。
　　净流出个股上，券商股反弹引来机构集中兑现，广发证券、兴业证券分别被单边卖出1.58亿元、6481万元。此外，强劲拉升的“机构概念次新股”也遭不同程度兑现，海南橡胶以净卖出1.28亿元居首。
　　整体看，1月底以来机构操作始终未显兴奋，上周操作规模更陷去年三季度以来的低谷水平，或意味当前机构仍以持股观望、逢急速拉升兑现为主。
　　不过，鉴于上周新催生的水泥、化工股，机构难得开仓追入，故后市可关注低估品种的反弹及热点持续。
　　主板
　　2亿元横扫3水泥股
　　上周主板共19只个股龙虎榜上出现机构，合计买入4.61亿元，环比缩减34%；卖出6.82亿元，环比缩减51%；净流出2.22亿元，环比缩减68%。
　　获得净买入的有9只，占47%。其中，深赤湾A、江西水泥、巨化股份涉资皆超过6000万元，这三只恰分别代表上周市场的三大持续性热点：低估值类品种、水泥板块、化工板块。
　　早在去年12月8日起，新快报日常“赚钱”版的机构龙虎榜栏目便连续发表“近2亿连续流入华新水泥”、“机构四进华新水泥”、“机构5进华新水泥”等，反复强调机构的持续做多为“年内首见”、水泥板块是“十二五”整合预期明确的行业。上周一华新水泥封出涨停，距去年12月8日见报日上涨18.5%。
　　更重要的是，华新水泥仅是机构对水泥板块的先行布局，在上周板块整体飙升下，一批“新宠”亦浮出水面：上周一，塔牌集团获3家机构合计买入4850万元，占当日总成交量17%；上周二，同力水泥的三日龙虎榜数据显示，1家机构买入1247万元(约合90万股)，而去年三季度末流通股东榜上无一机构；上周五，江西水泥三日龙虎榜数据显示，2家机构买入1.44亿元(占其区间总量的14%)、3家机构卖出7956万元，净流入6401万元，机构再度扮演推涨角色。
　　业内人士称，“淘汰落后产能”促使产品价格看涨以及水利工程成为今年“1号文件”焦点，系该板块近期走强的两大因素，后市仍有望反复活跃。
　　低估值类品种上，深赤湾A周涨幅达到19.6%、股价突破2008年5月的密集成交区。机构周净买入7073万元，与其当前不过19倍的动态市盈率相得益彰。上周五跌2.89%、报收18.8元，后市仍值得关注。
　　化工股上，巨化股份在上周四获3家机构合计买入6352万元，约合250万股。而去年四季度，该股获“华安系”3只基金合计新进1531万股，孙建波掌舵的华商盛世成长新进399万股。在其以涨停创历史新高之际，浮盈超过40%的基金只买不卖，令其后市表现充满想象。上周五，该股平盘收报26.86元。
　　其他个股上，沱牌曲酒在上周五涨停，报收20.22元。1家机构买入1587万元、1家卖出388万元，带有“补涨”色彩；次新股星宇股份获机构加码，净流入3331万元。上市来，机构已累计买入7544万元，持约7.5%的流通筹码，操作态度颇为积极。上周五跌1.82%，报收22.64元。
　　中小创业板
　　逾7000万元追利欧股份
　　中小创业板上，16只个股获机构合计买入2.57亿元，环比增长22%；合计卖出1.01亿元，环比剧减84%；净流入1.56亿元，而前一期板块净流出4.19亿元。
　　获机构净买入的共10只，占63%。其中利欧股份获机构单边买入逾7000万元，新上市的凯美特气、金新农亦获建仓。
　　上周三，利欧股份披露重组方案：拟以14.58元定向增发，并加2300万现金购买天鹅泵业所有股权。据悉，天鹅泵业主营各类工业用泵，2008年、2009年和去年前10月的净利润为1632万元、2243万元与1808万元(去年前三季利欧股份净利润8465万元)。本次交易完成后，利欧股份的产品线将从微型小型泵延伸至大中型工业泵。
　　二级市场上，该股复牌连收两个“一字”无量涨停，上周五涨停打开后涨6.49%、报收21元，机构也集结入场：上周五4家机构合计买入7462万元，占总量10.5%，“接盘”意愿强烈。此次抢筹规模折合357万股，而其去年三季度末流通股东榜上，仅两家私募持225万股，故当前或为公募首度建仓，值得留意。
　　随着新股破发的缓解，机构“炒新”的意愿有所回暖。上周五新上市的凯美特气获3家机构合计买入5368万元，占总量逾10%，折合股份约占流通盘的9.2%，吸筹力度可观。据悉，公司是国内以化工尾气为原料，年产能最大的食品级液体二氧化碳生产企业，国内市场占有率约25%，去年前三季度净利润3179万元。二级市场上，机构的强力买盘令其首秀涨47.17%，报收37.5元，为同批新股中表现最佳。同时上市的金新农则获机构买入853万元，该股首秀涨16.87%，报收28.05元。据悉，公司主营教槽料和猪用浓缩饲料，去年前三季度净利润4440万元。
　　其他个股上，三元达、金刚玻璃、元力股份皆获机构资金“加码”；而近期表现强势的“机构概念次新股”如新界泵业、新研股份、珠江啤酒则遭不同程度的兑现。
　　上周主板机构龙虎榜一览(单位：万元)
　　代码   名称      买入   卖出    净流入
　　000022  深赤湾A  8467    1394   7073
　　000789  江西水泥  14357   7956   6401
　　600160  巨化股份  6352   0     6352
　　601799  星宇股份  3331   0     3331
　　000837  秦川发展  4600   1724   2876
　　000503  海虹控股  1778   0     1778
　　000885  同力水泥  1247   0     1247
　　600702  沱牌曲酒  1587   388    1199
　　000576  ST 甘化   95     0     95
　　000590  紫光古汉  0      279    -279
　　000795  太原刚玉  0      1013   -1013
　　000807  云铝股份  2002   3840   -1838
　　000009  中国宝安  0      2294   -2294
　　600548  深高速   0      2457   -2457
　　601519  大智慧   0      3567   -3567
　　000960  锡业股份  0      5997   -5997
　　601377  兴业证券  0      6481   -6481
　　601118  海南橡胶  2246   15067  -12821
　　000776  广发证券  0      15774  -15774
　　上周中小创业板机构龙虎榜一览(单位：万元)
　　代码   名称    买入  卖出  净流入
　　002131  利欧股份  7462  0    7462
　　002549  凯美特气  5368  0    5368
　　002233  塔牌集团  4850  0    4850
　　002417  三元达   2164  294   1870
　　300179  四方达   963   0    963
　　002548  金新农   853   0    853
　　300093  金刚玻璃  277   0    277
　　300174  元力股份  264   0    264
　　002068  黑猫股份  164   0    164
　　300159  新研股份  0    213   -213
　　002461  珠江啤酒  0    263   -263
　　300161  华中数控  0    615   -615
　　002282  博深工具  3203  3940  -737
　　002297  博云新材  0    1176  -1176
　　300090  盛运股份  163   1774  -1611
　　002532  新界泵业  0    1797  -1797

