大众证券杯上市公司投资者关系金牌董秘奖名单
　　第六届大众证券杯“中国上市公司竞争力公信力TOP10”颁奖典礼暨2011年优秀上市公司领导人峰会于7月10日在无锡举行。本次调查活动经过大众证券报读者投票，新浪网友投票以及专业机构评定，投资者关系金牌董秘奖已经揭晓。具体名单如下：
　　联化科技 鲍臻?
　　华西村   卞武彪
　　海普瑞   步海华
　　山河智能 蔡光云
　　鱼跃医疗 陈坚
　　圣农发展 陈剑华
　　中国太保 陈巍
　　友阿股份 陈学文(微博)
　　洋河股份 丛学年
　　森源电气 崔付军
　　合肥三洋 方斌
　　徐工机械 费广胜
　　保龄宝         高逢勇
　　中南重工 高立新
　　风神股份 韩法强
　　爱尔眼科 韩忠
　　潞安环能 洪强
　　瑞贝卡   胡丽平
　　青岛金王 黄宝安
　　黄山旅游 黄慧敏
　　时代新材 季晓康
　　国电电力 姜洪源
　　华泰证券 姜健
　　豫园商城 蒋伟
　　招商银行 兰奇
　　美的电器 李飞德
　　鸿博股份 李娟
　　梦洁家纺 李军(专栏)
　　山煤国际 李荣强
　　辉煌科技 李新建
　　鄂武商A  李轩
　　太原重工 李迎魁
　　华英农业 李远平
　　建发股份 林茂
　　雅致股份 刘定明
　　煤气化   刘恩孝
　　银座股份 刘璐
　　人福医药 刘毅
　　西山煤电 宁志华
　　南京新百 潘利建
　　东港股份 齐利国
　　湖北宜化 强炜
　　苏宁电器 任峻
　　威海广泰 任伟
　　中联重科 申柯
　　全聚德  施炳丰
　　岳阳林纸 施湘燕
　　新北洋  宋森
　　兴发集团 孙卫东
　　亿阳信通 孙文恒
　　西王食品 孙新虎
　　南京银行 汤哲新
　　兴业银行 唐斌
　　隧道股份 田军
　　骆驼股份 王从强
　　栖霞建设 王建优
　　江淮动力 王乃强
　　沃尔核材 王占君
　　同德化工 邬庆文
　　广汽长丰 吴敬培
　　罗莱家纺 吴献忠
　　科力远  伍定军
　　东方园林 武建军
　　长江证券 徐锦文
　　中远航运 薛俊东
　　中天科技 杨栋云
　　泰豪科技 杨骏
　　北京银行 杨书剑
　　中孚实业 姚国良
　　中国平安 姚军
　　许继电气 姚武
　　亨通光电 姚央毛
　　天威保变 尹晓南
　　东方海洋 于德海
　　保利地产 岳勇坚
　　民和股份 张东明
　　合肥城建 张金生
　　中牧股份 张菁桦
　　恒邦股份 张俊峰
　　软控股份 张焱
　　得利斯   郑镁钢
　　新筑股份 周思伟
　　长电科技 朱正义

