内地保险股升幅显著 可留意国寿购20599
　　新浪财经讯 03月29日消息，内地股市升逾2%，重上3,100点水平，升幅主要来自保险股及内银股板块，其中国寿A股升逾3%，平保A股更升近5%，连带于港上市的保险板块H股也造好，吸引看好保险股的投资者趁势购入其认购证。
　　相关窝轮选择：
　　国寿认购20599/行使价$39.88/10年7月到期(价外，中期)
　　国寿认购19761/行使价$36.88/10年5月到期(轻微价外，高杠杆)
　　国寿认沽20603/行使价$32.38/10年6月到期
　　平保认购21086/行使价$53.08/10年6月到期
　　恒指牛熊证选择：
　　恒指牛证60985/收回价20,600点/行使价20,000点/10年10月到期(价格低、进取)
　　恒指牛证61001/收回价20,400点/行使价19,900点/10年8月到期(敏感度高、进取)
　　恒指牛证60816/收回价20,200点/行使价19,700点/10年6月到期(溢价较低、活跃)
　　恒指牛证60761/收回价20,000点/行使价19,500点/10年5月到期
　　恒指牛证61000/收回价19,900点/行使价19,400点/10年8月到期(敏感度高)
　　恒指牛证66126/收回价19,000点/行使价18,400点/10年4月到期(价格较低且收回价远选择)
　　恒指熊证61204/收回价21,400点/行使价21,900点/10年8月到期(进取选择)
　　恒指熊证69800/收回价21,800点/行使价22,300点/10年4月到期
　　恒指熊证69771/收回价21,900点/行使价22,400点/10年5月到期(活跃选择)
　　恒指熊证69772/收回价22,100点/行使价22,600点/10年5月到期(活跃选择)
　　恒指熊证69117/收回价22,700点/行使价23,500点/10年6月到期(价格较低且收回价远选择)

