今日上市公司业绩公布备忘录
　　新浪财经讯 03月28日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　00009 中国东方实业 全年业绩
　　00061 北亚资源 全年业绩
　　00072 现代传播 全年业绩
　　00080 中国新经济投资 全年业绩
　　00086 新鸿基公司 全年业绩
　　00099 王氏国际 全年业绩
　　00122 鳄鱼恤 中期业绩
　　00128 安宁控股 全年业绩
　　00141 大中华集团 全年业绩
　　00169 恒力房地产 全年业绩
　　00198 星美国际 全年业绩
　　00230 五矿建设 全年业绩
　　00242 信德集团 全年业绩
　　00251 爪哇控股 全年业绩
　　00319 勤美达国际 全年业绩
　　00339 安利时投资 全年业绩
　　00353 能源国际投资 全年业绩
　　00354 中国软件国际 全年业绩
　　00357 美兰机场 全年业绩
　　00380 中国管业 全年业绩
　　00381 侨雄能源 全年业绩
　　00404 新昌营造 全年业绩
　　00433 北方矿业 全年业绩
　　00458 联亚集团 全年业绩
　　00468 纷美包装 全年业绩
　　00493 国美电器 全年业绩
　　00506 中国食品 全年业绩
　　00542 星晨集团 全年业绩
　　00543 太平洋网络 全年业绩
　　00622 威华达控股 全年业绩
　　00641 立信工业 全年业绩
　　00648 中国仁济医疗 全年业绩
　　00656 复星国际 全年业绩
　　00676 创信国际 全年业绩
　　00720 和记行(集团) 全年业绩
　　00757 阳光能源 全年业绩
　　00773 中国金属再生资源 全年业绩
　　00810 华保亚洲 全年业绩
　　00830 远东环球 全年业绩
　　00889 连达科控 全年业绩
　　00914 安徽海螺水泥股份 全年业绩
　　00943 意科控股 全年业绩
　　00951 超威动力 全年业绩
　　00956 新天绿色能源 全年业绩
　　00988 楼东俊安资源 全年业绩
　　01019 康宏理财 全年业绩
　　01033 仪征化纤股份 全年业绩
　　01055 中国南方航空股份 全年业绩
　　01094 中国公共采购 全年业绩
　　01108 洛阳玻璃股份 全年业绩
　　01110 金活医药集团 全年业绩
　　01112 合生元 全年业绩
　　01114 华晨中国汽车 全年业绩
　　01116 美亚控股 全年业绩
　　01121 宝峰时尚 全年业绩
　　01157 中联重科 全年业绩
　　01164 维奥集团 全年业绩
　　01168 百仕达控股 全年业绩
　　01177 中国生物制药 全年业绩
　　01184 时捷集团 全年业绩
　　01208 五矿资源 全年业绩
　　01328 精英国际 全年业绩
　　01708 三宝科技 全年业绩
　　01717 澳优 全年业绩
　　01889 武夷药业 全年业绩
　　02002 阳光纸业 全年业绩
　　02118 天山发展控股 全年业绩
　　02188 泰坦能源技术 全年业绩
　　02307 锦兴国际控股 全年业绩
　　02313 申洲国际 全年业绩
　　02330 中国上城 全年业绩
　　02355 宝业集团 全年业绩
　　02868 首创置业 全年业绩
　　02880 大连港 全年业绩
　　03308 金鹰商贸 全年业绩
　　03344 互益集团 全年业绩
　　03382 天津港 全年业绩
　　03393 威胜仪表 全年业绩
　　03900 绿城中国 全年业绩
　　08019 皓文控股 全年业绩
　　08025 亚洲资产 全年业绩
　　08043 年代国际控股 全年业绩
　　08076 新利软件 全年业绩
　　08083 矽感科技 全年业绩
　　08087 中国三三传媒 全年业绩
　　08115 上海青浦消防 全年业绩
　　08137 洪桥集团 全年业绩
　　08151 亿胜生物科技 全年业绩
　　08165 华普智通 全年业绩
　　08171 中国趋势 全年业绩
　　08178 中国信息科 全年业绩
　　08188 牡丹汽车 全年业绩
　　08235 赛迪顾问 全年业绩
　　08236 宝德科技集团 全年业绩
　　08243 大贺传媒 全年业绩
　　08249 屹东电子 全年业绩
　　08273 浙江展望 全年业绩

