恒生AH溢指涨1.09至98点 医药AH股大幅回吐
　　新浪财经讯 11月17日消息，今日AH股指大幅下挫，沪指午后反弹乏力跌幅扩大，指数最终收于2850点之下；恒指低开后反复偏软，午后走势持续向下。恒生AH溢指震荡走高，因午后H股跌幅迅速扩大，反而支撑指数上涨，指数盘中高见98.85，低见95.87，全日报收于98.63，涨1.09或1.12%，指数显示A股股价整体比H股股价折价1.37%。
　　A股今日下挫，两市股指大幅低开，沪指跌破年线，受电子信息、交通、有色金属等板块纷纷走高影响，股指早段回升，但市场抛压依然较重，午后股指延续震荡，但市场的恐慌性情绪迅速蔓延，早盘大跌的医药、酿酒、农业、水泥等板块再度跳水，最后，上证综指沪指报2,838.86点，下跌55.68点或1.92%；深成指报11,917.49点，下跌299.78点或2.45%，两市成交额共计2,912亿元。
　　港股连跌四日，上午恒指随外围低开260点报23,432，其后有买盘支持，初段曾跌幅收窄至逾70点，一度弹至23,618，其后23,550点水平上落，午后内地股市沽压加深，市场对内地加息阴霾挥之不去，恒指曾下挫至近500点，最低造23,192，最终恒指全日收报23,214.46，跌478.56点或2.02%；国企指数跌316.24点或2.4%，收报12,876.34点，成交金额1,030亿元。
　　AH股中A股和H股普遍延续疲软走势，在63只可比的AH中，A股有5只上涨，H股仅3只上涨。市场传闻明年信贷将收缩，且高通胀预期触发政策担忧，导致A股持续下挫，H股也受到拖累；国际大宗商品价格继续回落，资源类AH股延续调整态势，值得注意的是，作为防御板块的医药股也出现大幅回吐，广州药业和新华制药跌幅居前。AH股中出现倒挂的个股有18只，A股较H股折价两成个股至5只。恒生AH股A指数跌0.92%，报1962.95；恒生AH股H指数跌2.41%，报2219.35。
　　中国平安(601318-CN)上涨0.46%；中国人寿(601628-CN)上涨0.52%；建设银行(601939-CN)下跌1.04%；中国银行(601988-CN)持平；工商银行(601398-CN)停牌；招商银行(600036-CN)下跌0.07%；交通银行(601328-CN)下跌0.17%。
　　中国人寿(2628-HK)跌0.59%，工商银行(1398-HK)跌2.83%，建设银行(0939-HK)跌1.11%，中国石油(0857-HK)跌3.25%，中国石化(0386-HK)跌2.85%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-24.97%)
　　中国平安(601318-CN;2318-HK)-----(-24.06%)
　　招商银行(600036-CN;3968-HK)-----(-23.76%)
　　建设银行(601939-CN;0939-HK)-----(-21.41%)
　　中国人寿(601628-CN;2628-HK)-----(-20.23%)
　　交通银行(601328-CN;3328-HK)-----(-19.25%)
　　海螺水泥(600585-CN;0914-HK)-----(-16.57%)
　　鞍钢股份(000898-CN;0347-HK)-----(-15.46%)
　　民生银行(600016-CN;1988-HK)-----(-13.58%)
　　中国太保(601601-CN;2601-HK)-----(-12.80%)
　　

