AH溢指跌2.94至112 恒指震荡收高沪指微升
　　新浪财经讯 05月26日消息，恒指AH溢指受全天高开低走，报收于109.55，跌2.94或2.61%。
　　今天两地股指均收红，恒指涨幅较沪指大。沪指整体围绕平盘点位窄幅震荡，上午出现一波冲高回落，由于金融及地产股走势走势趋稳，指数稳稳守住2600点关口，盘中最高见2644.94，午后延续震荡走势为主，临近尾盘下探后回升，全天报收于2625.79，微升3.16或0.12%。恒指早盘受美股回稳影响高开192点，随后曾下探至19047.70，之后中资股有买盘支持，带动恒指震荡走高，最高见19242.06，午后震荡回落至早盘低点位置附近后靠稳，尾盘买盘迅速增加，令指数很快收复午后大部分失地，终报收于19196.45，升210.95或1.11%。 A+H股两地股份表现分化，H股整体表现较A股为佳，H股升幅逾2%有27只，而A股只有2只。中兴通信(0763-HK)升7.73%，涨幅位居A+H股之首。报称中移动TD四期招标规模接近前参期总和，该消息提振通讯设备生产商股中兴通信，因业务量增长预期增强。
　　A股保险股，中国平安(601318-CN)涨0.38%，中国人寿(601628-CN)涨0.63%，中国太保(601601-CN)跌0.20%。《上海证券报》周参报导，中国保监会将允许大陆保险公司投资香港主板市场上的所有股票，以扩大投资范围。目前，中国大陆的保险公司获准投资H股和红筹股。
　　H股方面，国寿(2628-HK)升1.08%，工行(1398-HK)走高4.25%，建行(0939-HK)走高3.04%，中石油(0857-HK)升2.41%，中石化(0386-HK)升2.41%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国人寿(601628-CN;2628-HK)-----(-19.34%)
　　中国平安(601318-CN;2318-HK)-----(-16.83%)
　　招商银行(600036-CN;3968-HK)-----(-12.22%)
　　工商银行(601398-CN;1398-HK)-----(-9.27%)
　　中国神华(601088-CN;1088-HK)-----(-8.68%)
　　鞍钢股份(000898-CN;0347-HK)-----(-7.57%)
　　中国铁建(601186-CN;1186-HK)-----(-6.96%)
　　建设银行(601939-CN;0939-HK)-----(-6.87%)
　　交通银行(601328-CN;3328-HK)-----(-2.65%)
　　民生银行(600016-CN;1988-HK)-----(-2.07%)

