1月14日美股专家坐堂实录
　　1月14日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	How about google? should we buy now?(2010-01-14 13:42:59)　　专家[曾文俊]答： 	google退出中国事宜未明，还是先等待吧。(2010-01-14 21:26:06)
　　匿名问： 	曾老师你好，记得成霖股份你以前推荐过，现在可以参与吗？手中的京东方A永远不涨想明天换粤传媒可行吗？京东方A公司前景好吗？(2010-01-14 19:22:54)　　专家[曾文俊]答： 	是的，数月前推荐出口受益股里有他。现在涨幅已经80%。不过出口增长仍在持续，所以还是可以逢低介入。(2010-01-14 21:27:54)
　　匿名问： 	老师你看好三网融合备板块吗？当中有你特别看好的几个公司吗？现在还可以参与吗？(2010-01-14 19:47:01)　　专家[曾文俊]答： 	三网融合你就当概念参与即可，别从基本面角度考虑问题了。(2010-01-14 21:21:28)
　　匿名问： 	急啊曾老师，泰山石油否认重组板快中唯它独跌，请问见底了吗？(2010-01-14 20:43:03)　　专家[曾文俊]答： 	短线无法猜测，不过7.2的支撑力度较强(2010-01-14 21:34:08)
　　匿名问： 	曾老师：请问PCS近期走势？(2010-01-14 21:01:45)　　专家[曾文俊]答： 	PCS前今天消息公布用户流失率上升，股价也应声下跌。 5.8的前期低点有一定支撑力度。(2010-01-14 21:25:20)
　　匿名问： 	老师帮忙分析一下：RBS AIB(2010-01-14 21:03:23)　　专家[曾文俊]答： 	金融股的近期走势不错，改变了过去数月的持续下滑态势。原因在于市场对金融股业绩较为企盼。周五的摩根大通公布业绩可能会给股价带来更多变化。现在不适合再追买了。(2010-01-14 21:39:59)
　　匿名问： 	老师，你感觉CENX还有可能回调吗？前段时间走的很猛。(2010-01-14 21:05:58)　　专家[曾文俊]答： 	现在就处在回调中阿。和美国铝业走势基本一致了。(2010-01-14 21:41:32)
　　匿名问： 	曾老师：9进的MGM请问如何操作？(2010-01-14 21:10:11)　　专家[曾文俊]答： 	利润空间较大，可以继续持有。14的前期高点压力较大。(2010-01-14 21:42:59)
　　匿名问： 	老师好，赶早来了，请都老师分析下002021还能持有？压力位在哪？先谢了！！！(2010-01-14 21:22:41)　　专家[曾文俊]答： 	缝纫设备的龙头企业，可以继续持有。10块压力。(2010-01-14 21:44:36)
　　匿名问： 	曾老师好！给关于万科点建议吧，12元成本能回来吗？谢谢！(2010-01-14 21:29:52)　　专家[曾文俊]答： 	我不知道噢。地产股的政策影响太大了。(2010-01-14 21:45:17)
　　匿名问： 	老师您好，我连续两天问您600036了，我17元成本，谢谢您(2010-01-14 21:31:00)　　专家[曾文俊]答： 	招行虽没有直接回答，不过对银行股前两天都有分析，可参考。16是招行的支撑，银行股的估值是有的，只是成长性有隐忧。(2010-01-14 21:46:58)
　　匿名问： 	AA DRYS ?(2010-01-14 21:37:31)　　专家[曾文俊]答： 	前期大涨后的回调中，可以考虑择机介入。有色和航运都是经济复苏的直接受益对象。(2010-01-14 21:51:59)
　　匿名问： 	老大，solf可以进了吗？谢谢！(2010-01-14 21:46:34)　　专家[曾文俊]答： 	9块上下更加合适一些。(2010-01-14 21:55:57)
　　匿名问： 	帅哥老师：我是天天"烦"着你的粉丝，我000049成本10.35元，你昨晚叫我持有，今天收价创这几天的新高，请问你认为持有到什么价钱附近要考虑获利了结了呢？请指导！祝你好人平安！(2010-01-14 21:49:47)　　专家[曾文俊]答： 	如果能涨到12.5我会根据当时的大盘情况决定是否了结获利。(2010-01-14 21:57:05)
　　匿名问： 	请问老师： 您认为S&P指数会继续攀升，还是在震荡整理？如果震荡攀升，阻力位在哪里？如果震荡，大概的区间在哪？(2010-01-14 21:52:44)　　专家[曾文俊]答： 	振荡上行仍是主基调。阻力位1200是非常大的。(2010-01-14 22:00:24)
　　匿名问： 	尊敬的小曾老师，您好！ 我买了 ： KBR $20.6 ； WFR: $14.5 目前急等钱用不知该不该出手，请您一定邦我看看，好吗？ (2010-01-14 21:52:59)　　专家[曾文俊]答： 	如果急需用的钱，建议还是取出来吧。股市的短期波动是不能百分百确定的。(2010-01-14 22:02:15)
　　匿名问： 	老师您好，我刚涉足美股，想找一两只作长期投资，请问现在入手C合适吗？该股亏损3.36元，严重时会不会出现20股合1的情况(2010-01-14 21:53:28)　　专家[曾文俊]答： 	花旗应该不再至于出现这么严重的问题。如果担心个股风险可以考虑买行业ETF的。比如金融行业ETF基金XLF。只要美国金融业不倒，事实上不可能倒。(2010-01-14 22:05:24)
　　匿名问： 	老师你好000401的业绩很好，为什么走势很平淡啊，最近有希望突破前期高点吗、？谢谢(2010-01-14 21:55:02)　　专家[曾文俊]答： 	水泥行业同样受到了房产调控的影响。所以近期转向。不过在16块应该是有相当力度的支撑。要突破前期高点，我认为没有大盘的配合很难。(2010-01-14 22:10:10)
　　[手机用户]问： 	曾帅，你指点的我的油米票600710常林股份一直没表现，请你看下后市如何？谢谢(2010-01-14 22:02:37)　　专家[曾文俊]答： 	这几天的表现不错阿，大盘下跌，他反而在今天越过了1月4号的高点。工程机械行业仍然看好。(2010-01-14 22:12:02)
　　匿名问： 	曾老师，今天不提问题，只是感谢您每天的无私奉献。每天看您的博客，加油啊(2010-01-14 22:02:38)　　专家[曾文俊]答： 	^_^，这样的朋友在支持，我会继续下去。(2010-01-14 22:13:45)
　　匿名问：  	老师好 请问海通证券近期走势能否到20元(2010-01-14 22:07:51)　　专家[曾文俊]答： 	融资融券的消息出台造成了券商股的短期头部。我们看好大盘，所以相信后续还是可以到。只是需要消化时间。(2010-01-14 22:15:49)
　　匿名问： 	先生，前几天请教过 您。002048.宁波华翔。。不知还可以持有吗？(2010-01-14 22:09:49)　　专家[曾文俊]答： 	汽车股的调整还不能说已经到位。汽配股可能还是会受影响。(2010-01-14 22:19:09)
　　匿名问： 	曾老师好，上次请教你002176，你说可以持有，谢谢啊！现在能赚一些了，还能再看好吗？好象也没什么大涨的，呵呵，是不是我太贪心了？(2010-01-14 22:11:25)　　专家[曾文俊]答： 	我看的周期比较长一些。短线的话确实已经是下降趋势线位置了，可能会有调整。(2010-01-14 22:20:35)
