恒生AH溢指升0.47至100点 工行H股升1.25%
　　新浪财经讯 08月27日消息，今日AH股指均以窄幅震荡走势为主，成交量明显萎缩，沪指午后探底回升，恒指则反复偏弱。恒生AH溢指小幅回升，因A股走势稍强于H股带动，指数盘中高见101.11，低见99.89，全日报收于100.87，升0.47或0.47%，指数显示A股整体平均较H股略为溢价。
　　沪指今日复造好，早盘股指微幅低开，可开盘不久，煤炭股领跌，重挫市场人气，快速下跌，沪指失守2600点重要心理关口，不过幸好盘中金融股的及时止跌企稳，沪指终以报收2,610.74点，上涨7.26点或0.28%，深成指报收11,034.73点，上涨25.24点或0.23%，两市成交额共计1562.6亿元。
　　恒指今日反复偏淡，上午恒指低开49点后，早段最低造20,552，其后低位有承接，指数中午前曾倒升逾20点，弹至20,634，午后甫开曾冲上20,670，但其后再度回落，最终恒指全日收报20,597，跌14点或0.07%；国企指收跌41点或0.36%，收报11,395，成交额516亿元。
　　AH股中A股走势普遍强于H股，在可比的AH股中A股有31只上涨，H股有19只。中海油服获投行唱好，今日对应A股大涨6.18%，H股升2.18%；午后水泥股逆市拉升，普遍走高，海螺水泥A股大涨5.60%，相对应的H股升近1%。AH股中出现倒挂的个股有19只，其中A股较H股折价逾两成个股减至4只。恒生H股A指数升0.09%，报1821.38；恒生AH股H指数跌0.32%，报1959.39。
　　中国平安(601318-CN)停牌；中国人寿(601628-CN)下跌0.40%；建设银行(601939-CN)持平；中国银行(601988-CN)下跌0.59%；工商银行(601398-CN)下跌0.49%；招商银行(600036-CN)上涨0.07%；交通银行(601328-CN)上涨0.50%。
　　中国人寿(2628-HK)跌1.79%，工商银行(1398-HK)升1.25%，建设银行(0939-HK)持平，中国石油(0857-HK)跌0.71%，中国石化(0386-HK)跌0.16%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-25.61%)
　　中国平安(601318-CN;2318-HK)-----(-20.99%)
　　交通银行(601328-CN;3328-HK)-----(-20.55%)
　　工商银行(601398-CN;1398-HK)-----(-20.51%)
　　建设银行(601939-CN;0939-HK)-----(-19.45%)
　　中国铁建(601186-CN;1186-HK)-----(-18.63%)
　　鞍钢股份(000898-CN;0347-HK)-----(-18.40%)
　　中国人寿(601628-CN;2628-HK)-----(-17.46%)
　　民生银行(600016-CN;1988-HK)-----(-12.94%)
　　中国中铁(601390-CN;0390-HK)-----(-11.61%)

