恒指跌逾400点 可留意高杠杆牛证64943
　　恒指牛熊证选择：
　　恒指牛证64748/收回价23,000点/行使价22,500点/11年2月到期(极贴价)
　　恒指牛证64747/收回价22,900点/行使价22,400点/11年2月到期
　　恒指牛证64943/收回价22,722点/行使价22,522点/11年1月到期(高杠杆*)
　　恒指牛证64528/收回价22,600点/行使价22,100点/11年3月到期
　　恒指牛证64455/收回价22,300点/行使价21,800点/11年1月到期(较远收回价)
　　恒指熊证64054/收回价23,900点/行使价24,400点/11年2月到期(市场上较贴价)
　　恒指熊证63440/收回价24,100点/行使价24,600点/11年2月到期
　　恒指熊证64945/收回价24,222点/行使价24,422点/11年1月到期(高杠杆*)
　　恒指熊证64529/收回价24,300点/行使价24,800点/11年3月到期
　　恒指熊证63336/收回价24,600点/行使价25,100点/11年2月到期(活跃)
　　*收回价及行使价只有200点差距，提供的杠杆相对较高，德银为令投资者容易析别，特设收回价及行使价为22点作收尾

