恒生AH溢指跌至99.01点 H股表现较佳
　　新浪财经讯 11月08日消息，今日AH股指走高，沪指震荡走高，午后涨幅扩大并站上3150点；恒指先跌后涨，尾盘持续向好。恒生AH溢指小幅下跌，因A股虽整体走强，但H股涨幅相对仍较大，指数盘中高见99.97，低见98.93，全日报收于99.01，跌0.64或0.64%，指数显示A股股价整体比H股股价折价0.99%。
　　沪深早盘两市股指延续强势高开高走，午后两市股指继续高位震荡，盘中中小盘股的活跃，尾盘时更是在部分有色拉高的推动，大盘又一次向上突破，最后，上证综指沪指报3,159.51点，上涨30.01点或0.96%；深成指报13,807.30点，上涨73.94点或0.54%，两市成交额共计4,531亿元。
　　港股今日上扬，上午恒指低开38点报24,838，早段曾下挫逾140点至24,732，其后跌幅收窄；午后开市恒指再度偏软，并曾再跌逾百点至24,776，但尾市港股有买盘支持，令恒指由跌转升，并近全日高近收市，最终恒指全日收报24,964，升87点或0.35%；国企指收升96点或0.69%，收报14,204，成交额1,029亿元。
　　AH股中A和H股普遍偏强，在63只可比的AH中，A股42只上涨，H股40只。今日H股整体涨幅大于A股，从而直接了拉低了AH溢指，个股表现也不尽相同，其中保险H股表现较好，中国太保(2601-HK)涨5.51%，中国人寿(2628-HK)涨3.39%；钢铁A股表现比较好，鞍钢股份(000898-CN)涨4.32%，重庆钢铁(601005-CN)涨2.70%。AH股中出现倒挂的个股有19只，A股较H股折价两成的是农行、建行、招行。恒生AH股A指数涨0.03%，报2171.03；恒生AH股H指数涨0.50%，报2439.81。
　　中国平安(601318-CN)下跌1.36%；中国人寿(601628-CN)持平；建设银行(601939-CN)、中国银行(601988-CN)停牌；工商银行(601398-CN)下跌0.62%；招商银行(600036-CN)上涨0.78%；交通银行(601328-CN)上涨0.16%。
　　中国人寿(2628-HK)涨3.39%，工商银行(1398-HK)涨2.23%，建设银行(0939-HK)跌2.17%，中国石油(0857-HK)涨0.2%，中国石化(0386-HK)持平。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-25.34%)
　　建设银行(601939-CN;0939-HK)-----(-23.71%)
　　招商银行(600036-CN;3968-HK)-----(-22.37%)
　　工商银行(601398-CN;1398-HK)-----(-19.36%)
　　中国平安(601318-CN;2318-HK)-----(-18.98%)
　　交通银行(601328-CN;3328-HK)-----(-17.90%)
　　中国人寿(601628-CN;2628-HK)-----(-14.93%)
　　中国银行(601988-CN;3988-HK)-----(-14.25%)
　　鞍钢股份(000898-CN;0347-HK)-----(-12.34%)
　　中国铁建(601186-CN;1186-HK)-----(-10.87%)
　　

