10月15日美股专家坐堂实录
　  新浪财经讯 10月15日，美股专家Aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：  	Hi Aries: I want to buy some bearish index. Among CSO, FAZ and TZA, which one is better? Thanks(2010-10-15 20:02:44)　　专家[aries高]答： 	目前看，主要股指的上行趋势没有变，不妨进一步观望。(2010-10-15 21:27:25)
　　匿名问： 	高老师，您怎么看待A股的行情，感觉上下周应该有回调？另外有什么推荐的股票？(2010-10-15 20:59:54)　　专家[aries高]答： 	近期风格切换还是比较明显的，短期继续看好大盘蓝筹，很多个股的回调趋势没有结束前，不要贸然介入，比较近期医药板块的回调。(2010-10-15 21:35:25)
　　匿名问： 	老师好601919可以看到什么价位？谢谢(2010-10-15 21:05:49)　　专家[aries高]答： 	趋势看涨，压力12.07附近。(2010-10-15 21:48:04)
　　匿名问： 	高老师，rdn的压力位在多少，谢谢~(2010-10-15 21:05:53)　　专家[aries高]答： 	RDN压力前期高点9.6位置。(2010-10-15 21:32:52)
　　匿名问： 	高老师，您好！很喜欢您坐堂，更感激您对600054(成本21.35元，仓位7成多)的指点！今天收在年线以下，只有18.95。请教老师：19.2的支撑还有效吗？下个支撑是多少？可否先减部分仓位出来等跌到下个支撑时再补仓？盼老师指教。万分感激！！！(2010-10-15 21:10:25)　　专家[aries高]答： 	日线目前的回调趋势暂时没有变，补仓肯定不是明智的，还是最好要等反弹机会，支撑17.2附近。(2010-10-15 21:30:50)
　　薛敏问： 	SOS！！！高老师，请帮我分析下GE，财报不好，短期要抛么？(2010-10-15 21:11:20)　　专家[aries高]答： 	GE即使不会大幅走低，短期也将会持续弱势一段时间。(2010-10-15 21:28:16)
　　匿名问： 	高老师，您好！纳斯达克航美传媒可以介入吗？支撑位和压力位分析一下~谢谢！(2010-10-15 21:24:49)　　专家[aries高]答： 	AMCN短期趋势看涨，但是个股不太喜欢这类中国概念股，风险仍然很大。(2010-10-15 21:38:54)
　　匿名问： 	aries how about stp ank amd thanks(2010-10-15 21:30:16)　　专家[aries高]答： 	STP短期趋势看涨，压力11.25,AMD个人并不看好，在业绩公布后走势一般。(2010-10-15 21:40:08)
　　匿名问： 	高老师，AONE的买入价位是多少？谢谢(2010-10-15 21:37:01)　　专家[aries高]答： 	AONE支撑在8.4位置，近期是小幅区间震荡的走势。(2010-10-15 21:42:03)
　　匿名问： 	老师CCE帮忙分析下，谢谢(2010-10-15 21:39:47)　　专家[aries高]答： 	CCE日线反弹趋势没有变，压力24.6附近。(2010-10-15 21:47:32)
　　匿名问： 	老师，我重仓LDK，请问阻力位和支撑位。(2010-10-15 21:39:55)　　专家[aries高]答： 	LDK压力14.27的前期高点，支撑10.84(2010-10-15 21:55:35)
　　匿名问： 	高老师：最近美股的银行真的好差，BAC,C全部都跌个不停，感觉就银行股最差了，你觉得呢？ (2010-10-15 21:40:09)　　专家[aries高]答： 	近期金融类个股，总体弱势大盘，短期走势仍然不看好。(2010-10-15 21:56:47)
　　匿名问： 	高老师您好， 帮看看C, 现在可以介入吗？(2010-10-15 21:44:27)　　专家[aries高]答： 	C日线出现了放量下跌，短期最好继续观望，在日线没有出现反弹前，不要动手。(2010-10-15 21:59:36)
　　匿名问： 	aries how about bac ank mgm thanks(2010-10-15 21:49:13)　　专家[aries高]答： 	BAC日线放巨量下跌，显示出市场并不看好该股，趋势看跌。MGM日线开始回落，短期看跌，支撑11.0附近。(2010-10-15 22:03:48)
　　匿名问： 	aries,请问BAC的支撑点是多少？谢谢(2010-10-15 21:52:27)　　专家[aries高]答： 	BAC跌破12.17的前期低点，短期无明显的支撑(2010-10-15 22:13:06)
