8月5日美股专家坐堂实录
    8月5日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　网友[匿名]问： 王老师您好，我的solr成本在6.88元，近期会解套吗？谢谢您的答复。(2009-08-05 11:19:30)　　专家[warren王]答： 4.70-7.60是交易区间，这股短期不会有太大的作为。(2009-08-05 11:19:30)
　　网友[匿名]问： 王老师，本人非常喜欢你的风格，13.4入万科，后市如何(2009-08-05 11:58:55)　　专家[warren王]答： 万科A注意11.35的支撑，短期走的比股市要弱点，所以最好对地产股要观望下，耐心等待更深度的调整出现。(2009-08-05 11:58:55)
　　网友[匿名]问： 王老师，你好！大秦铁路没拿住，后悔。现在我手上有一只云天化600096不知道可否换成601006，请老师指点。(2009-08-05 15:50:58)　　专家[warren王]答： 大秦铁路已经上涨不少，短期可以考虑先出来下，13.29是压力点，你可以找点其他还没有启动的股票，或者持有现金观望下，不要追高了。(2009-08-05 15:50:58)
　　网友[匿名]问： 王老师好！ 您坐堂，人特别多！已经第三晚请教了，希望排上号。600010短期的支撑和压力位在哪？ 谢谢！(2009-08-05 19:52:20)　　专家[warren王]答： 压力点在6.19,这股近期是补涨行情，注意压力点。(2009-08-05 19:52:20)
　　网友[手机用户]问： 王老师！请您百忙中指点000527美的电器16.49成本支撑和压力位？谢谢！谢谢！(2009-08-05 20:02:08)　　专家[warren王]答： 这股在上升通道，但是他的业绩太多与欧美的经济有关，注意通道支撑在14.44附近。(2009-08-05 20:02:08)
　　网友[匿名]问： 王老师，大秦铁路今天太厉害了，谢谢你。帮我看下西部矿业和关铝股份怎么办啊，要不要卖？(2009-08-05 20:04:36)　　专家[warren王]答： 大家晚上好，谢谢鼓励西部矿业还是整理形态，不需要过于恐慌，16.60-16.90是支撑线。关铝股份，也是如此，耐心等待下。 (2009-08-05 20:04:36)
　　网友[匿名]问： 王哥您好：看您推荐的大秦铁路短期进入已获利19个点十分感谢！我的000426富龙热电 压力是多少啊是否换入600030.......................。(2009-08-05 20:20:20)　　专家[warren王]答： 谢谢鼓励 000426富龙热电，压力位置可以注意11.30附近(短期)(2009-08-05 20:20:20)
　　网友[匿名]问： 王胖子 你为什么一直说C不看好呢(2009-08-05 20:21:17)　　专家[warren王]答： 我也交易过几次，你为什么要我说好呢，这股基本上是AIG的翻版，买股票要看基本面，BAC,JPM ,WFC要好出不少。(2009-08-05 20:21:17)
　　网友[匿名]问： 王老大，华北制药和攀钢钢钒你怎么看进入哪个好啊？((2009-08-05 20:21:43)　　专家[warren王]答： 这两股都不这么样，暂时观望吧。(2009-08-05 20:21:43)
　　网友[匿名]问： YGE 这些天很弱，不知应否换股？进场时看他很象在搭右肩。谢谢(2009-08-05 20:26:11)　　专家[warren王]答： YGE的走势还是要看油价的走势，短期还是在调整之中。(2009-08-05 20:26:11)
　　网友[匿名]问： 老师您好，前天HURN暴跌后，昨天14.9重仓这支股票，之后下滑了1块钱，不过好像前天和昨天都是天量 暴跌之后略有回升，机构持股占90%多， 您觉得应该如何操作，谢谢！ (2009-08-05 20:28:39)　　专家[warren王]答： 这股太糟糕了，短线的话，可以考虑出来。这仅是我个人的意见。(2009-08-05 20:28:39)
　　网友[匿名]问： 王老师，600050这两天一直在调整，走势挺吓人的，全是上吊线，是不是预示主力在出货或调仓呀。短期还会不会创新高呀。谢谢。(2009-08-05 20:36:01)　　专家[warren王]答： 中国联通在7.46突破后，逐渐回落，我依然认为是低吸的机会，如果跌破6元要警惕。(2009-08-05 20:36:01)
　　网友[匿名]问： 王老大，上海贝岭您看到多少？ (2009-08-05 20:37:26)　　专家[warren王]答： 这股在走头肩底的形态，但是注意8.07的压力点。这个点位压力点非常重要。(2009-08-05 20:37:26)
　　网友[匿名]问： 王老师，您好，帮我看看GGC这支股票怎么回事，每天都是40%涨，要不要介入，谢谢(2009-08-05 20:39:45)　　专家[warren王]答： GGC这股盘很小，才100万，最近跌至前期低后，出现了强力反弹，但是在50元的压力很大，要警惕这类股，盘太小了。(2009-08-05 20:39:45)
　　网友[匿名]问： 哈哈，王老大您的坐堂我从不错过！我没什么好问的，就是来支持老大您的！ 我全仓中金套三个点，打算持有到年底咯，就在中金做波段，所以希望老大您多写而博客，到调整时提醒下我们就好了！ 十分谢谢老大你！ (2009-08-05 20:40:50)　　专家[warren王]答： 中金还是在整理阶段，支撑在59.19附近，谢谢支持！耐心等待下吧，哈哈哈哈哈(2009-08-05 20:40:50)
　　网友[匿名]问： 王老师，前段时间跟您提问，您说云南城投跟中天您都在关注，云南城投妹妹已经被套10%，未来走势如何？是否斩仓走人，还是持股等待？谢谢了(2009-08-05 20:42:14)　　专家[warren王]答： 这股主要20.15附近的支撑，耐心等待它回调后建仓。(2009-08-05 20:42:14)
　　网友[匿名]问： 王老师：我是你的粉丝，哈哈哈！买进601006获利不少了。我想请问：600357 明后天有低位，分批建仓可以吗？ 我买它的理由是：它没怎么涨过。但是它又是亏损的。能给意见吗？有没有具体的支撑和压力位？(2009-08-05 20:44:30)　　专家[warren王]答： 这股形态很漂亮，在9.12附近是重要支撑点，可以考虑逢低买进。(2009-08-05 20:44:30)
　　网友[匿名]问： 王老师，你的大秦太牛了。出来后何时能进呢？后势能看多高？7号可能变盘，如真是这样暂时持币观望。太原重工这股如何可进吗？请多指教。真不知如何感谢你才好啊！!!(2009-08-05 20:44:54)　　专家[warren王]答： 大秦铁路短期是补涨行情，14.41-14.70是重要的阻力区间，暂时持有观望。太原重工图形很漂亮，是头肩底形态，13是支撑点。(2009-08-05 20:44:54)
　　网友[匿名]问： 请问Fuqi短期会不会突破？(2009-08-05 20:55:47)　　专家[warren王]答： 短期进入楔形整理形态，23.57是重要支撑的区域。(2009-08-05 20:55:47)
　　网友[匿名]问： 老大您好，我每天看你说的视频分析，这几天一直没办法放大看，被学员体会堵住，能不能学员体会缩小点。(2009-08-05 20:58:13) 我要回答(2009-08-05 20:58:38) 我要回答 (2009-08-05 20:58:57)　　专家[warren王]答： OK, 这是付老师的，我会反映下的，谢谢对我们的关注(2009-08-05 20:58:57)
　　网友[匿名]问： warren王：ndaq好似不上不落，大压力位和支持价位？多谢(2009-08-05 20:59:59)　　专家[warren王]答： NASDAQ中的NASDAQ100 ETF(QQQQ)正在面临压力点，短期还是要区间震荡下，不排除出现一定的回调。(2009-08-05 20:59:59)
　　网友[匿名]问： 王老大，你的大秦铁路太厉害了，呵呵···岳阳兴长和中国卫星你看到多少啊，直的中线持有吗？(2009-08-05 21:02:04)　　专家[warren王]答： 岳阳兴长：还是整理形态中国卫星：短期还是整理形态，在22.40附近压力比较大。 (2009-08-05 21:02:04)
　　网友[匿名]问： 王老师，您好！我还是相信您的判断！600010明天还跌吗？支撑位多少？万分感激！(2009-08-05 21:07:38)　　专家[warren王]答： 这股在6.28附近压力很大，短期要调整下。(2009-08-05 21:07:38)
　　网友[匿名]问： 王老师好！终于等到你了，前两天进入了金地集团600383,套3个点了，请分析一下，如果指数走坏是否要割肉退出，我迷茫了，请帮帮忙，十分谢谢。(2009-08-05 21:08:03)　　专家[warren王]答： 这股和地产板块需要整理下，支撑在13.55(2009-08-05 21:08:03)
　　网友[匿名]问： 王老大，你说的大秦铁路我有了17%点，谢谢哦，鲁泰A和宜华木业和芭田股份的压力都少啊，直的中线持有吗(2009-08-05 21:08:34)　　专家[warren王]答： 鲁泰A:11.71,短期冲的太猛，不宜追高。宜华木业：今天是长长的射击星形态，短期要警惕。芭田股份：还是在整理形态之中，没有突破(2009-08-05 21:08:34)
　　网友[匿名]问： 王老师，高盛第二季收入超亿美元交易日数量创历史新高，是否对A股明天金融股有一定刺激，比如保险，卷商。(2009-08-05 21:11:32)　　专家[warren王]答： 不会，这这么会影响A股呢，哈哈哈哈*********(2009-08-05 21:11:32)
　　网友[匿名]问： 哈哈，王老大我很想和您做朋友啊，虽然年纪差十几年。感觉你虽然40了，还是老(中？)顽童啊！做您的朋友投资肯定赚的天昏地暗！ 我最欣赏的是您勇于承认错误和及时纠正错误的性格！不像很多所谓专家那样死都不承认自己错了，我最讨厌侯Nin和那个什么谢Guo Zhong!不明白(2009-08-05 21:12:30)　　专家[warren王]答： 哈哈哈哈，谢谢你的鼓励。(2009-08-05 21:12:30)
　　网友[匿名]问： 王老师，你博客中说的如中国联通、大秦铁路，都有不少的收益。非常感谢。请教002069獐子岛的趋势如何？支撑在哪？还可以继续持有吗？非常感谢。(2009-08-05 21:12:49)　　专家[warren王]答： 短期已经冲至压力点，这是农业海产概念股，重要支撑在20.77附近。 (2009-08-05 21:12:49)
　　网友[匿名]问： 王老大，我看您给每个股的支撑点都很低啊！为什么呢？ 是不是觉得短期A股会调整？ 黄金期货对中金的影响真的很大吗？要是突破1000中金会怎么样？(2009-08-05 21:13:59)　　专家[warren王]答： 这些都是重要支撑点，要做好交易，最好关注重要支撑点，不到重要支撑点，不要轻率的介入。中金还是整理阶段，我觉得如果黄金突破1000的话，应该还有30%的涨幅，中金将会出现突破行情，耐心等待吧。(2009-08-05 21:13:59)
　　网友[匿名]问： 亲爱的王老师：你真是太厉害了，我昨天进了大秦铁路，今天就收获颇丰。老大，帮我看看600551和000878还有没有机会？(2009-08-05 21:16:51)　　专家[warren王]答： 600551:高位震荡，短期机会不大。 000878:短期突破后，已经上涨了很多，最好耐心等待下谢谢大家晚上的时间！我们明天见！我的A股博客已经上线，新浪博客链接在下面。我们明天见 http://blog.sina.com.cn/warrenwang2008(2009-08-05 21:16:51)
　　网友[匿名]问： 王老师，为什么不回答600030的问题呀！我们小散只想知道你对它的判断！并不是说它这几天跌了我们就要怪你！！麻烦你分析一下它吧。万分感谢(2009-08-05 21:18:15)　　专家[warren王]答： 29.56是支撑点，我没有看到问题，这股还是在突破走高的阶段之中，只要29.56支撑点不破，继续看好。(2009-08-05 21:18:15)
　　网友[匿名]问： 王老师，BAC可以加仓吗，另外美国房地产走好，我想卖掉YGE换GE合适吗，GE是不是投资了很多地产(2009-08-05 21:19:33)　　专家[warren王]答： 短期我觉得不要频繁换股，等待调整后买便宜货，GE 有GE Capital主要是金融类的版块。BAC已经涨了很多，暂时不要加仓了，准备点现金吧。(2009-08-05 21:19:33)
　　网友[匿名]问： 王老师，能否请您看一下600308华泰股份，13.5元的成本。谢了。(2009-08-05 21:21:10)　　专家[warren王]答： 支撑在13.54，短期可能进入调整阶段。(2009-08-05 21:21:10)

