窝轮精选(2.27)
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　15619 恒指 (购) 12,600 27/05/2009 5.1
　　16181 恒指 (沽) 12,800 30/07/2009 3.3
　　15839 国寿 (购) 29.28 24/08/2009 4.6
　　15697 国寿 (购) 26.98 27/07/2009 5.0
　　16183 国寿 (购) 21.88 09/11/2009 3.1
　　16172 A50 (购) 9.88 28/08/2009 3.6
　　16185 中石油 (购) 6 30/11/2009 2.8
　　15378 中石化 (购) 5.48 04/08/2009 4.8
　　15678 中海油 (购) 6.3 21/12/2009 2.5
　　15696 建行 (购) 4.88 27/07/2009 4.9
　　15376 建行 (购) 4.48 04/08/2009 4.2
　　15702 工行 (购) 4.08 06/07/2009 5.6
　　编号 相关资产 行使价 到期日 实际 杠杆(x)
　　16161 工行 (购) 3.69 18/08/2009 4.0
　　16289 中行 (购) 2.57 20/08/2009 4.5
　　16237 汇丰 (购) 55.88 03/08/2009 3.6
　　15566 汇丰 (购) 68.88 28/12/2009 3.6
　　16234 招行 (购) 12.28 18/08/2009 3.1
　　15818 中移 (购) 78.01 16/10/2009 3.8
　　16211 中移 (购) 68.88 23/10/2009 3.1
　　15759 中移 (沽) 78.9 07/09/2009 2.2
　　15963 国信 (购) 3.43 14/09/2009 3.8
　　15836 新地 (购) 68.88 27/10/2009 3.1
　　15849 港铁 (购) 19.92 09/11/2009 3.6
　　16127 和黄 (购) 48.88 31/08/2009 4.2

