10月18日美股专家坐堂实录
　  新浪财经讯 10月18日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：  	曾老师，您好！可盼到您坐堂了！首先感谢您对600396的指点！由于没有见到您的指点，所以自9月14日基本抛光后(现仓位仅0.3成)一直未动。请教老师：短期支撑和压力是多少？什么价位补仓合适？再次感谢！谢谢！！！(2010-10-18 20:46:03)　　专家[曾文俊]答： 	该股仍然没有脱离8.5-10块的运行区间。支撑或者突破后介入合适。现在大盘处于敏感位置，上下并不能确定。(2010-10-18 21:21:27)
　　匿名问： 	曾老师，您好！很喜欢您坐堂，更感激您对600054(成本21.35元，仓位8成)的指点！8月20日您曾说：“补仓的话在18.5合适，”看来又被言中了！请教老师：短期支撑和压力是多少？是补仓还是先减部分仓位出来等跌到支撑时再补仓？盼老师指教。万分感激！！！(2010-10-18 21:07:32)　　专家[曾文俊]答： 	随着节后周期类股票的表现，黄山这类大消费类开始了调整。18-18.5是不错的反弹支撑，而从今天尾盘医药股的表现看，有资金在从周期股回流。所以黄山旅游还是有可能在这里有个小反弹，不过突破21可能较小。所以可以考虑少量补仓，若有反弹至20则么出局。如未有反弹而继续破位18，则要做止损。(2010-10-18 21:26:21)
　　匿名问： 	曾老师，您好！510020(ETF基金)明天再加点仓行吗？ETF基金也有支撑和压力位吗？如果有是多少？盼！ 盼！ 盼！ 万分感激！！！(2010-10-18 21:12:29)　　专家[曾文俊]答： 	指数基金当然也有阿，基金体现了整个大盘的走势，其压力和支撑更为明确简单。510020的压力就是0.24，也就是今天上冲的位置。不适合加仓。(2010-10-18 21:35:23)
　　匿名问： 	曾老师，您好！中签了几手农行股(成本2.68)，一直未抛，后市如何操作？短期支撑和压力是多少？请指教。万分感激！！!(2010-10-18 21:20:19)　　专家[曾文俊]答： 	支撑在2.85，今天冲高后应该就会回落这个支撑了，这波的上涨应暂告一段落。后市要看市场对3000关口的选择了，需要跟着看。(2010-10-18 21:38:20)
　　匿名问： 	老师敬请问：c的走向 和 美元兑换人民币走向(2010-10-18 21:26:03)　　专家[曾文俊]答： 	C今天公布了业绩，尚可。因此前两天上冲4.2回落之后可能还会继续尝试。人民币对美元会继续升值。(2010-10-18 21:40:53)
　　匿名问： 	一直关注曾大哥的博客 现在已经试探突破3000了 现在怎么看大盘啊 还有就是中国石油 和深圳能源 中长期怎么看？ 谢谢(2010-10-18 21:29:00)　　专家[曾文俊]答： 	今早在金融股的推动下，盘中冲过3000，之后回落，且放出大量，振荡非常剧烈。我们之前一直谈的就是3000点，如果没有一波新的板块领涨，还维持着这种 1，2天换个板块的话，长期振荡的结果就会向下。我们希望能有个领导板块出现，不过目前还是观望为好。能源板块中长期始终会是有机会的。(2010-10-18 21:45:08)
　　匿名问： 	曾老师，您好！很喜欢您坐堂。请问AA可以买吗？短期支撑和压力各在哪里？(2010-10-18 21:38:51)　　专家[曾文俊]答： 	资源股要注意美元的走势，14有较大压力。现在向上空间不大，不建议买入。(2010-10-18 21:47:05)
　　匿名问： 	请问，LVS是调整还是已经开始走下降通道？谢谢(2010-10-18 21:39:14)　　专家[曾文俊]答： 	还是保持着上升的态势。在破位之前慎谈下降通道。(2010-10-18 21:50:06)
　　匿名问： 	曾帅： 能知道一下五粮液的走势吗？ 现在能进吗？谢谢。(2010-10-18 21:41:13)　　专家[曾文俊]答： 	五粮液就是所谓大消费类，在国庆之前的热门品种。周期股表现之后开始下跌。今天尾盘又开始尝试活跃。因为34的压力所在，今天的反弹是可能走出下跌中继形态。所以要么突破34后，要么就再跌一轮到30的话介入。(2010-10-18 21:53:28)
　　johnang123问： 	老师， 请问你看好HPQ吗？(2010-10-18 21:41:59)　　专家[曾文俊]答： 	消费电子市场最近有些萎缩态势，而HP在这个板块是较弱的一个。(2010-10-18 21:55:57)
　　匿名问： 	先生，求你看下五矿发展和东方电气吧。都是你前期让我持有的。均获利不错啊。。还可以持有吗？谢谢(2010-10-18 21:43:39)　　专家[曾文俊]答： 	在节前坐堂谈到这两只股票未破位则继续持有。不过经过2周的上涨，大盘和个股均基本到位，考虑获利减仓吧。(2010-10-18 21:59:17)
　　bruno问： 	曾老师，您怎么看tsl和sol，它们上周五都跌了8%以上。现在可以抄底么(2010-10-18 21:47:53)　　专家[曾文俊]答： 	美元这两天的上涨虽然有些改风向，但中期弱势仍然未变。资源类也不至于直接结束行情。因此下跌后可考虑轻仓参与反弹。(2010-10-18 22:07:09)
　　shxx_8068问： 	请问曾老师，BAC走势，12.00是否应该再买入？奥兰多银行破产是否很大影响呢？谢谢(2010-10-18 21:52:16)　　专家[曾文俊]答： 	银行股这种最弱品种代表现在只适合逢高做空。做多应该选择强势股进行。(2010-10-18 22:09:42)
　　匿名问： 	曾老师，BIOD现在可以补仓吗？谢谢！(2010-10-18 21:56:19)　　专家[曾文俊]答： 	技术上4块和3.5都是可以的。但是这种小医药公司波动性随消息变动很大。(2010-10-18 22:14:13)
　　匿名问： 	曾老师你好，终于把你盼来了，请问如何看000338，成本87，压力位多少啊？谢谢！！！！！(2010-10-18 21:57:18)　　专家[曾文俊]答： 	小压力在90。大压力100。(2010-10-18 22:16:20)
　　匿名问： 	曾老师你好 我是第一次提问 现持有000636成本12.1元 请问短期支撑和压力是多少？什么价位补仓合适？谢谢您的帮助(2010-10-18 22:00:48)　　专家[曾文俊]答： 	11是其短线支撑，如果11破位建议考虑止损。压力在12。我认为现在部分投资者想的热点重切换回这类股的可能不大。(2010-10-18 22:19:08)
　　匿名问： 	帅哥，等你好几天了，千万帮看看中国平安，现在还能继续持有么？(2010-10-18 22:05:39)　　专家[曾文俊]答： 	不建议持有，今天冲高是出局机会。(2010-10-18 22:19:43)
　　匿名问： 	老师，你看好SPRD 么？ 该如何操作该股？谢谢(2010-10-18 22:06:22)　　专家[曾文俊]答： 	若跌至11可考虑少量介入。前期的强势品种，不过近期有走平迹象。(2010-10-18 22:23:05)
　　匿名问： 	老师，金风科技。大盘涨，像乌龟。大盘调整。他跌的比兔子还快啊。持有？？(2010-10-18 22:07:19)　　专家[曾文俊]答： 	该股是风力发电的龙头，现在在香港也上市。中长期是值得投资的。现在在19之上就继续持有。(2010-10-18 22:26:15)
　　匿名问： 	曾sir ，怎么看美股的中国太阳能股票， 如STP， LDK， 周五大跌后短期还有机会吗？谢谢(2010-10-18 22:08:07)　　专家[曾文俊]答： 	短线机会仍有，之前分析了资源类的需要保持对货币贬值的关注和跟踪。(2010-10-18 22:28:31)
　　匿名问：  	老师好，EDU前景如何，现在是否适合介入？(2010-10-18 22:16:40)　　专家[曾文俊]答： 	新东方今天公布了业绩，股价也上涨回应。经营方面应该是不用太担心的。90是可以作部分介入的考虑的。(2010-10-18 22:33:26)
　　匿名问： 	曾老师，科力远是中长期持有的好股吗？谢谢！(2010-10-18 22:29:19)　　专家[曾文俊]答： 	长期投资不好说，新能源电池会是后续常炒的板块这应该是可以确定的。(2010-10-18 22:34:57)
　　匿名问： 	小曾老师，麻烦给看看002260伊立浦好吗？压力位多少啊？谢谢((2010-10-18 22:29:40)　　专家[曾文俊]答： 	压力就是15了。支撑在12。消费类股应该会有个小反弹。(2010-10-18 22:36:09)
　　匿名问： 	曾老师，您好请问：LCC的走向 (2010-10-18 22:30:08)　　专家[曾文俊]答： 	持续横盘中，没什么明确趋势(2010-10-18 22:36:57)
　　匿名问： 	曾老师，USO,UNG如何？谢谢。(2010-10-18 22:30:35)　　专家[曾文俊]答： 	原油还是在横盘中，而天然气就是不断的下跌中了。(2010-10-18 22:37:53)
　　匿名问： 	曾老师，帮我看看game后续走势如何。我目前满仓game。(2010-10-18 22:30:42)　　专家[曾文俊]答： 	传统网游看不大太大的增长空间，GAME在7块注意压力(2010-10-18 22:39:40)
