建行跟随大市重上7港元 可留意建行26924
　　新浪财经讯 01月27日消息，恒指重上24,000点水平，内银股方面，建行升势较显著，再重上$7水平，暂报$7.04，升约0.5%。建行反复回落后见反弹，一度重上50天线，成交增多，阻力约于$7.7的11月中位置，支持参考$6.5的保历加通道。
　　工行升幅则落后大市，升幅只有约0.2%，股价失守$6水平后反复向下，一度重上20天及50天线水平，成交变动不大，支持约于$5.5的保力加通道水平，阻力留意约于$6.5的11月中位置。
　　现阶段如考虑短线看好内银股反弹，看好建行可留意认购证26924，行使价$7.80，5月到期。
　　相关产品选择：
　　建行认购26924/行使价$7.80/5月到期
　　恒指牛熊证选择：
　　恒指牛证67429/收回价23,622点/行使价23,422点/5月到期(极高杠杆)
　　恒指牛证67467/收回价23,522点/行使价23,322点/6月到期(高杠杆)
　　恒指牛证67136/收回价23,322点/行使价23,122点/7月到期(价格较低)
　　恒指牛证67130/收回价23,222点/行使价23,022点/7月到期(高杠杆)
　　恒指牛证67232/收回价23,122点/行使价22,922点/6月到期
　　恒指熊证67699/收回价24,122点/行使价24,322点/4月到期(极高杠杆)
　　恒指熊证67559/收回价24,322点/行使价24,522点/4月到期
　　恒指熊证67666/收回价24,422点/行使价24,622点/4月到期(高杠杆)
　　恒指熊证67349/收回价24,522点/行使价24,722点/4月到期
　　恒指熊证66031/收回价24,622点/行使价24,822点/4月到期
　　恒指熊证66436/收回价24,822点/行使价25,022点/3月到期
欢迎发表评论  我要评论

