AH溢指大跌5点至117 近07年来最低记录
　　宏观消息面淡静，经济向好预期继续支持大市人气；深沪A股今日回吐后见反弹，股指全天只小跌1%。港股则受励于外围好于预期的经济数据，在美股创年内新高指引下，H股亦强势震荡攀升；股指全日涨3%后成功刷新近13个月新高。
　　A+H股中，A股普遍回吐，H股却大多反弹；恒生AH股溢价指数大跌5.49点至116.71点，已逼近自2007年来两市平均溢价率最低记录的116.01点；今日收市后倒挂个股增至8只。全日A股部分成交比上交易日略增至约240亿元(人民币，A股下同)；H股部分成交约193亿元(港元，H股下同)。
　　权重金融及石油股H涨A跌显著分化，主导两市估值差距的缩小。8月份保费续呈双位数下降的中国人寿(601628-CN;02628-HK)仍获大行追捧其新业务价值，H股涨2.34%，优于收低2.3%的A股；最新AH股溢价率(考虑最新汇率因素：1港元兑换0.88107元人民币)为-8.55%，携手同业中国平安(601318-CN;02318-HK)高居倒挂榜前两位，而中国平安今日收市后倒挂率也扩大至11.11%。
　　个别黄金、公路、机械、通信设备、医药、水泥及造纸类股未受制于疲弱大市，两地股价同步收升。国际金价稳居千美元上方，拟扩张铜矿及冶炼业务的紫金矿业(601899-CN;02899-HK)AH股涨5.21%及7.8%；两市最新价差率为四成。经纬纺机(000666-CN;00350-HK)AH股更携手大涨超过一成，惟两市估值差距仍持稳于2.4倍。
　　有国有航空股先后公布创年内增长最佳的月度营运数据，惟股价未一致受捧。中国国航(601111-CN;00753-HK)8月份客货运大增创年内最优，当月航油成本也随国资委下调油价而大幅降低，且调高了部分航线航油附加费，下半年盈利可能承压预期或因而减弱；但A股仍收低2.31%，跑输上涨3.85%的H股，将AH溢价率缩小至98%。8月份客运量同比大增33%也为其年内最佳的南方航空(600029-CN;01055-HK)，憧憬已逐步摆脱上半年弱势，业务稳步复苏中，H股也升1.23%，借A股收低2.32%之际，两市价差率收窄至152%。
　　政府要求电厂在10月国庆节假期前增加煤炭库存，中国北方重要煤炭港口秦皇岛港的基准煤炭价格也小幅上升，只提振煤炭股单边市表现。电力及电力设备类H股也在大市向好之际更跑赢大盘。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;02318-HK)---(-11.11%)
　　中国人寿(601628-CN;02628-HK)----(-8.55%)
　　工商银行(601398-CN;01398-HK)----(-8.46%)
　　中国铁建(601186-CN;01186-HK)----(-7.73%)
　　鞍钢股份(000898-CN;00347-HK)----(-7.56%)
　　海螺水泥(600585-CN;00914-HK)----(-3.85%)
　　招商银行(600036-CN;03968-HK)----(-1.35%)
　　中国中铁(601390-CN;00390-HK)----(-0.73%)
　　交通银行(601328-CN;03328-HK)------0.90%
　　宁沪高速(600377-CN;00177-HK)------1.12%

