AH溢价指数报101.11 航空H股全线回吐
　　新浪财经讯 04月14日消息，今日沪指和恒指均走低，沪指震荡偏弱，围绕平盘点位窄幅震荡后走低，收市报3,042.64，下跌7.76点或0.25%；恒指反复偏软，唯24,000点失而复得，收市报24,014.00，下跌121.03点或0.50%。
　　受此影响，恒生AH溢价指数小幅上涨，因A股整体走势略强于H股，令A股溢价扩大，最高见101.28，报收于101.11，上涨0.29或0.29%，指数显示A股股价整体较H股溢价1.11%。
　　今日AH股大多数偏软，在67只可比的AH中，A股19只上涨，H股27只上涨。在A+H股中，A股方面，明日将公布3月份经济数据，市场对通胀仍有担忧，从市场传闻的CPI数据来看，央行灵活采用数量型工具进行调控的可能性正在增加。据市场传言，中国3月份CPI同比上升5.3%－5.4%，PPI同比增7.4%。盘面上，部分石化、钢铁、金融股走强，其它大部分个股下跌，其中水泥和煤炭股回吐压力较大，另外公路、航空、铁路基建股亦走势较弱。H股方面，整体走势弱于A股，此前连续两天大幅走高的航空股全线回吐，煤炭、机械、钢铁等股普遍走低，而受同样良好销售数据提振，电器股表现较好。AH股中出现倒挂的个股有16只，A股较H股折价两成个股至2只。
　　恒生AH股A指数下跌0.24%，报2068.22；恒生AH股H指数下跌0.58%，报2309.03；恒生AH股A+H指数下跌0.58%，报2326.51。
　　中国平安(601318-CN)下跌0.60%；中国人寿(601628-CN)下跌0.77%；建设银行(601939-CN)上涨0.97%；招商银行(600036-CN)下跌0.07%；中国银行(601988-CN)上涨0.29%。
　　中国人寿(2628-HK)下跌1.17%，工商银行(1398-HK)下跌1.21%，建设银行(0939-HK)下跌1.340857%，中国石油(0857-HK)下跌0.34%，中国石化(0386-HK)下跌1.84%
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　中国平安(601318-CN;2318-HK)-----(-26.25%)
　　农业银行(601288-CN;1288-HK)-----(-23.89%)
　　建设银行(601939-CN;0939-HK)-----(-15.74%)
　　工商银行(601398-CN;1398-HK)-----(-15.51%)
　　交通银行(601328-CN;3328-HK)-----(-14.62%)
　　中国太保(601601-CN;2601-HK)-----(-14.23%)
　　招商银行(600036-CN;3968-HK)-----(-14.00%)
　　中国人寿(601628-CN;2628-HK)-----(-11.88%)
　　鞍钢股份(000898-CN;0347-HK)-----(-10.21%)
　　中联重科(000157-CN;1157-HK)-----(-9.92%)

