恒生AH溢指升0.12至98.05 医药股今大涨
　　新浪财经讯 09月10日消息，今日AH股指小幅上涨，沪指探底回升，午后震荡反弹后小幅收高；恒指早段高开后回落，午后反弹并一度刷新日内高点。恒生AH溢指整体震荡偏强，A股探底回升令指数微幅上涨，指数盘中高见98.60，低见97.16，全日报收于98.05，升0.12或0.12%，指数显示A股股价整体比H股股价折价1.98%。
　　沪指今日反复造好，股指微幅高开，得益于内蒙、医药等板块的活跃，股指小幅冲高，但标股冲高回落随即带动股指盘中走低，午后陷入低位震荡；不过金融等权重板块相对较为平稳，最后，沪指以报收2,663.21点，上涨6.86点或0.26%，深成指报收11,530.99点，上涨65.64点或0.57%，两市成交额共计2,586亿元。
　　恒指今日上升，上午恒指高开143点后，指数持续回落，中午前倒跌逾70点至21,092；但午后内地股市回升，带动港股上扬，临近尾市回顺，最终恒指收报21,257点，升90点或0.43%；国企指数升5点或0.05%，收报11,835，成交额659.48亿元。
　　AH股涨跌互见，在可比的AH股中A股21只上涨，而H股24只。受到超级细菌和蜱虫双重概念的影响，今日生物制药板块全线大涨，特别是午后多只个股大幅上涨，板块指数居于各行业板块涨幅前列，其中广州药业A涨停，广州药业H升4.28%；新华制药A大涨7.65%，新华制药H升3.95%。AH股中出现倒挂的个股有20只，招行成为溢价率最小的个股，其次是鞍钢，平安。恒生H股A指数跌0.07%，报1825.30；恒生AH股H指数跌0.01%，报2033.69。
　　中国平安(601318-CN)上涨1.18%；中国人寿(601628-CN)下跌0.18%；建设银行(601939-CN)下跌0.43%；中国银行(601988-CN)持平；工商银行(601398-CN)上涨0.25%；招商银行(600036-CN)上涨0.38%；交通银行(601328-CN)下跌0.67%。
　　中国人寿(2628-HK)跌0.5%，工商银行(1398-HK)跌0.52%，建设银行(0939-HK)升0.30%，中国石油(0857-HK)升0.12%，中国石化(0386-HK)升0.32%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-30.70%)
　　鞍钢股份(000898-CN;0347-HK)-----(-29.70%)
　　中国平安(601318-CN;2318-HK)-----(-25.99%)
　　建设银行(601939-CN;0939-HK)-----(-24.64%)
　　工商银行(601398-CN;1398-HK)-----(-23.99%)
　　交通银行(601328-CN;3328-HK)-----(-23.52%)
　　中国铁建(601186-CN;1186-HK)-----(-21.45%)
　　海螺水泥(600585-CN;0914-HK)-----(-19.05%)
　　中国人寿(601628-CN;2628-HK)-----(-17.67%)
　　中国中铁(601390-CN;0390-HK)-----(-17.55%)

