恒指午后跌幅扩大 可留意牛证64748
　　技术上，恒指周三进一步突破2008年7月份的高位23,369点，周四进一步逼近24,000点水平，中线走势向好，短线阻力可参考24,000点甚至25,000点。唯部分技术指标如RSI出现超买(达85水平，自2007年10月首次)，预料短期或有整固压力，现时的支持位为周四裂口位底部约23,471点及周一裂口顶部约23,094点。
　　恒指牛熊证选择：
　　恒指牛证64748/收回价23,000点/行使价22,500点/11年2月到期(贴价、活跃)
　　恒指牛证64747/收回价22,900点/行使价22,400点/11年2月到期
　　恒指牛证64663/收回价22,800点/行使价22,300点/11年2月到期(敏感度高)
　　恒指牛证64528/收回价22,600点/行使价22,100点/11年3月到期
　　恒指牛证64455/收回价22,300点/行使价21,800点/11年1月到期
　　恒指熊证64054/收回价23,900点/行使价24,400点/11年2月到期(进取)
　　恒指熊证63441/收回价24,050点/行使价24,500点/11年3月到期
　　恒指熊证63440/收回价24,100点/行使价24,600点/11年2月到期(活跃)
　　恒指熊证64529/收回价24,300点/行使价24,800点/11年3月到期
　　恒指熊证63336/收回价24,600点/行使价25,100点/11年2月到期

