32年逢韩屈辱春节前作古 中国足球击碎恐韩绝症！
　　新浪体育讯　春节前，在东亚锦标赛第二场比赛中，中国队再次给国人带来惊喜，他们以3-0的比分击败了韩国队。这场胜利不仅终结了自1978年以来27场逢韩不胜的历史，3-0的胜利还创造了中韩之间比分最悬殊的一场胜利。
　　在1978年亚运会上，中国队在曼谷0-1输给了韩国队，从那场比赛开始中国队在国内A级赛中一直未能击败过韩国队。从1978年开始，在双方的27次交锋中，中国队16次输掉比赛，其中比分有11场的比分差距是一个球，另外5场的比分差距是2个球，还有11次交锋双方打成了平手。
　　需要注意的是，在中韩之间过去27次A级赛交锋中，韩国队最多能赢中国队两个球，虽然多达5场，但是他们却从来没有赢中国队3个球，而这一次中国队不仅击败了韩国队，而且学创造了过去32年双方比分最悬殊的一场胜利。
　　在中韩的32年交锋史中，中国队离胜利最近的一场比赛是1990年的东亚四强赛。小组赛最后一轮中国队在提前出线的情况下0-2输给对手，但是在决赛中中国队在傅玉斌被罚下的情况打得十分顽强，在0-1落后时凭借麦超的任意球扳平比分，在加时赛后将比赛拖进了点球大战，在谢育新错过了罚进点球获胜的机会后因为郭亿军的一脚高炮输给了对手。
　　在中韩之间的11场平局中，2000年亚洲杯小组赛时2-2战平韩国队的比赛是最经典的一场平局，当时韩国队的统帅就是现在韩国队的主教练许丁茂。在那场比赛中韩国队开场之后就率先得分，不过很快就以一个角球后的反击扳平了比分，当时中国队的右边后卫陈刚右路下底传中，宿茂臻在两名韩国后卫的夹击下以一个狮子甩头，皮球反弹后直窜球门左下死角。当柳相铁再次为韩国队取得领先的优势后，中国队再次顽强的扳平比分，当时宿茂臻在反击中带球冲入对方禁区，洪明甫战术犯规被罚下，范志毅在压力下罚中点球。虽然最后在三四名争夺战0-1输给了韩国队，但是当时中国队已经伤兵满营，甚至谢晖都退到中场组织进攻了。
　　在战平韩国队的比赛中，最荡气回肠的是2005年7月31日在韩国举行的东亚四强赛上，8打11的中国队1-1逼平韩国队。开场之后李玮峰就在争抢防守位置中推倒对手，不过当值的日本主裁判却错误的罚下了郜林，少打一人的中国队却在下半时比赛中凭借一次漂亮的反击率先破门。当时谢晖在禁区边上将队友的后场长传摆渡给孙祥，后者发力极好的左脚抽射直窜网窝，虽然当时的韩国门将李云在状态正佳，但是对这一脚射门却毫无反应。虽然韩国队最终扳平了比分，但是最后10分钟的惊心动魄却让中国队的平局充满胜利的快感。在最后10分钟里，主裁判先是罚下中国队的曹阳，随后李玮峰也因为找裁判理论吃到第二张黄牌被罚出场，但是8打11的中国队不仅战平了对手，在比赛的最后时刻还扑出了对方的一个点球。
　　本场比赛是中韩两队在过去32年来在国际A级赛中的第28次交锋，不过这一次历史在这里拐了一个弯，韩国队的不败就此终结。在这场比赛中，中国队不仅捅破了逢韩不胜的窗户纸，而且还凭借于海、郜林和邓卓翔的三个进球痛宰对手，创造了双方交锋的最大比分。
　　双方30年交战史：
　　比赛时间   地点      比赛           比分
　　1978.12.17  曼谷      亚运会         0-1
　　1978.12.29  马尼拉    亚洲杯预选赛   0-1
　　1982.03.01  加尔各答  尼赫鲁杯       1-1
　　1983.11.03  曼谷      奥运会预选赛   3-3
　　1983.11.08  曼谷      奥运会预选赛   0-0
　　1986.09.28  首尔      亚运会         2-4
　　1988.11.14  多哈      第九届亚洲杯   1-2
　　1989.10.20  新加坡    世界杯预选赛   0-1
　　1990.7.31   北京      东亚四强赛     0-1
　　1990.8.31   北京      东亚四强赛决赛 1-1(点球5-6)
　　1990.9.27   北京      第11届亚运会  0-2
　　1992.8.26   北京      东亚四强赛     0-2
　　1995.2.19   香港      东亚四强赛     0-0
　　1996.9.25   汉城      中韩对抗赛     1-3
　　1996.11.26  广州      中韩对抗赛     2-3
　　1997.4.23   北京      中韩对抗赛     0-2
　　1997.8.30   汉城      中韩对抗赛     0-0
　　1998.3.4    横滨      东亚四强赛     1-2
　　1998.6.4    汉城      中韩对抗赛     1-1
　　1998.11.22  上海      中韩对抗赛     0-0
　　2000.7.28   北京      中韩对抗赛     0-1
　　2000.10.13  的黎波里  第12届亚洲杯  2-2
　　2000.10.29  贝鲁特    亚洲杯季军战   0-1
　　2002.4.27   仁川      中韩对抗赛     0-0
　　2003.12.7   东京      东亚锦标赛     0-1
　　2005.7.31   首尔      东亚锦标赛     1-1
　　2008.2.17   重庆      东亚锦标赛     2-3
　　2010.2.10   东京      东亚锦标赛     3-0
　　(西木)

