实录-后程发力尼克斯取胜 科比缺阵湖人惨遭三连败
　　新浪体育讯　北京时间1月31日，缺少了主将科比的洛杉矶湖人在客场挑战纽约尼克斯，结果最终以94-99落败，新浪体育对本场比赛进行了图文直播，以下是直播实录。
　　大家好，新浪体育将在北京时间8点30分图文直播洛杉矶湖人队与纽约尼克斯队的比赛 未赛 [0:0]
　　大家好，新浪体育将在北京时间8点30分图文直播洛杉矶湖人队与纽约尼克斯队的比赛 未赛 [0:0]
　　湖人队已经遭遇两连败 未赛 [0:0]
　　赛前他们还得到科比被联盟禁赛一场的决定 未赛 [0:0]
　　这对他们的打击无疑是致命的 未赛 [0:0]
　　在科比无法出场的情况下，回到家乡出赛的奥多姆将承担起更多责任 未赛 [0:0]
　　湖人队先发五虎：帕克、武贾西奇、拉德马诺维奇、奥多姆、拜纳姆 第一节 [0:0]
　　尼克斯队先发五虎：马布里、克劳福德、弗莱、杰弗里斯、库里 第一节 [0:0]
　　比赛开始了，尼克斯队率先进攻 第一节 [0:0]
　　库里传球失误，武贾西奇将球断下 第一节 [0:0]
　　帕克传球失误，克劳福德将球断下 第一节 [0:0]
　　库里6尺处跳投偏出，拉德马诺维奇抢到篮板 第一节 [0:0]
　　帕克突破上篮得手 第一节 [2:0]
　　库里上篮得手 第一节 [2:2]
　　帕克左翼出手3分命中 第一节 [5:2]
　　弗莱左侧底线跳投命中 第一节 [5:4]
　　拉德马诺维奇13尺处跳投偏出，杰弗里斯抢到篮板 第一节 [5:4]
　　马布里右翼出手3分命中 第一节 [5:7]
　　帕克右侧底线出手3分命中 第一节 [8:7]
　　库里上篮不中，武贾西奇抢到篮板 第一节 [8:7]
　　拜纳姆上篮不中，马布里抢到篮板 第一节 [8:7]
　　马布里5尺处跑投命中 第一节 [8:9]
　　奥多姆右翼出手3分偏出，弗莱抢到篮板 第一节 [8:9]
　　弗莱右翼跳投偏出，库里抢到篮板 第一节 [8:9]
　　马布里上篮不中，库里抢到篮板 第一节 [8:9]
　　马布里右侧底角出手3分偏出，弗莱抢到篮板 第一节 [8:9]
　　弗莱右侧底线跳投偏出，杰弗里斯争抢篮板时犯规 第一节 [8:9]
　　拉德马诺维奇传球失误，杰弗里斯将球断下 第一节 [8:9]
　　杰弗里斯突破上篮得手 第一节 [8:11]
　　同时造成奥多姆犯规 第一节 [8:11]
　　加罚不中，奥多姆抢到篮板 第一节 [8:11]
　　拉德马诺维奇传球失误，弗莱将球断下 第一节 [8:11]
　　拉德马诺维奇防守犯规 第一节 [8:11]
　　库里第一罚进了 第一节 [8:12]
　　湖人队请求暂停 第一节 [8:12]
　　库里第二罚也进了 第一节 [8:13]
　　武贾西奇左翼跳投偏出，库里抢到篮板 第一节 [8:13]
　　克劳福德7尺处跳投偏出，拜纳姆抢到篮板 第一节 [8:13]
　　奥多姆右翼跳投偏出，克劳福德抢到篮板 第一节 [8:13]
　　马布里上篮不中，杰弗里斯抢到篮板 第一节 [8:13]
　　弗莱右侧底线勾手投篮偏出，拉德马诺维奇抢到篮板 第一节 [8:13]
　　杰弗里斯防守犯规 第一节 [8:13]
　　李换下杰弗里斯 第一节 [8:13]
　　帕克右翼跳投命中 第一节 [10:13]
　　克劳福德右翼跳投命中 第一节 [10:15]
　　拉德马诺维奇上篮不中，弗莱抢到篮板 第一节 [10:15]
　　马布里和拉德马诺维奇争球，湖人队进攻 第一节 [10:15]
　　奥多姆上篮不中，库里抢到篮板 第一节 [10:15]
　　奥多姆上篮不中，库里抢到篮板 第一节 [10:15]
　　克劳福德上篮不中，拜纳姆抢到篮板 第一节 [10:15]
　　马布里防守犯规 第一节 [10:15]
　　帕克两罚一中，李抢到篮板 第一节 [11:15]
　　库里上篮得手 第一节 [11:17]
　　同时造成拜纳姆防守犯规 第一节 [11:17]
　　加罚不中 第一节 [11:17]
　　库里防守犯规 第一节 [11:17]
　　拜纳姆两罚一中，库里抢到篮板 第一节 [12:17]
　　库里4尺处跳投偏出，奥多姆抢到篮板 第一节 [12:17]
　　帕克上篮不中，拜纳姆补篮得手 第一节 [14:17]
　　拜纳姆防守犯规 第一节 [14:17]
　　弗莱两罚全中 第一节 [14:19]
　　拜纳姆5尺处跳投偏出，李抢到篮板 第一节 [14:19]
　　拜纳姆防守犯规 第一节 [14:22]
　　尼克斯队请求暂停 第一节 [14:22]
　　图里亚夫换下拉德马诺维奇 第一节 [14:22]
　　埃文斯换下拜纳姆 第一节 [14:22]
　　库里两罚一中 第一节 [14:23]
　　奥多姆7尺处跳投命中 第一节 [16:23]
　　库里传球失误，奥多姆将球断下 第一节 [16:23]
　　弗莱防守犯规 第一节 [16:23]
　　奥多姆两罚全中 第一节 [18:23]
　　马布里突破跑投命中 第一节 [18:25]
　　奥多姆右侧底线跳投偏出，马布里抢到篮板 第一节 [18:25]
　　弗莱右侧底线跳投偏出，图里亚夫抢到篮板 第一节 [18:25]
　　埃文斯左翼跳投命中 第一节 [20:25]
　　弗莱传球失误 第一节 [20:25]
　　巴克曼换下弗莱 第一节 [20:25]
　　埃文斯右翼跳投偏出，巴克曼抢到篮板 第一节 [20:25]
　　克劳福德走步失误 第一节 [20:25]
　　帕克急停跳投偏出，第一节比赛结束 第一节 [20:25]
　　库里得到10分和5个篮板，马布里得到7分 第一节 [20:25]
　　帕克得到11分，奥多姆得到4分 第一节 [20:25]
　　第二节比赛开始 第二节 [20:25]
　　奥多姆勾手投篮命中 第二节 [22:25]
　　库里勾手投篮偏出，奥多姆抢到篮板 第二节 [22:25]
　　埃文斯5尺处跳投命中 第二节 [24:25]
　　马布里回场失误 第二节 [24:25]
　　罗宾逊换下马布里 第二节 [24:25]
　　库克高位跳投偏出，埃文斯抢到篮板 第二节 [24:25]
　　埃文斯上篮不中，奥多姆抢到篮板 第二节 [24:25]
　　奥多姆上篮得手 第二节 [26:25]
　　罗宾逊一次失误 第二节 [26:25]
　　罗宾逊右翼跳投偏出，库克抢到篮板 第二节 [26:25]
　　埃文斯高位跳投命中 第二节 [28:25]
　　克劳福德右翼跳投偏出，李抢到篮板 第二节 [28:25]
　　李上篮得手 第二节 [28:27]
　　库克左翼出手3分偏出，李抢到篮板 第二节 [28:27]
　　克劳福德右翼出手3分偏出，李抢到篮板 第二节 [28:27]
　　罗斯右翼跳投命中 第二节 [28:29]
　　罗斯防守犯规 第二节 [28:29]
　　官方暂停时间，第二节比赛还有7分31秒 第二节 [28:29]
　　图里亚夫走步失误 第二节 [28:29]
　　巴克曼右侧底线跳投偏出，奥多姆抢到篮板 第二节 [28:29]
　　奥多姆上篮不中，李抢到篮板 第二节 [28:29]
　　库克防守犯规 第二节 [28:29]
　　库里换下巴克曼 第二节 [28:29]
　　克劳福德两罚全中 第二节 [28:31]
　　图里亚夫左翼跳投命中 第二节 [30:31]
　　罗斯勾手投篮偏出，奥多姆抢到篮板 第二节 [30:31]
　　法马尔传球失误 第二节 [30:31]
　　尼克斯队请求暂停，第二节比赛还有5分52秒 第二节 [30:31]
　　马布里换下克劳福德 第二节 [30:31]
　　帕克换下奥多姆 第二节 [30:31]
　　拉德马诺维奇换下库克 第二节 [30:31]
　　罗斯勾手投篮命中 第二节 [30:33]
　　拉德马诺维奇右翼出手3分偏出，马布里抢到篮板 第二节 [30:33]
　　库里转身跳投命中，同时造成图里亚夫犯规 第二节 [30:35]
　　加罚命中 第二节 [30:36]
　　拉德马诺维奇上篮得手 第二节 [32:36]
　　罗斯进攻犯规 第二节 [32:36]
　　克劳福德换下罗宾逊 第二节 [32:36]
　　法马尔左侧底线跳投偏出，克劳福德抢到篮板 第二节 [32:36]
　　库里上篮得手 第二节 [32:38]
　　帕克左翼出手3分偏出，图里亚夫抢到篮板 第二节 [32:38]
　　埃文斯右侧底线跳投偏出，帕克抢到篮板 第二节 [32:38]
　　拉德马诺维奇传球失误，马布里将球断下 第二节 [32:38]
　　帕克防守犯规，克劳福德有三次罚球机会 第二节 [32:38]
　　克劳福德三罚两中 第二节 [32:40]
　　湖人队请求暂停 第二节 [32:40]
　　第二节比赛还有3分28秒 第二节 [32:40]
　　武贾西奇换下埃文斯 第二节 [32:40]
　　奥多姆换下法马尔 第二节 [32:40]
　　奥多姆右翼出手3分命中 第二节 [35:40]
　　马布里传球失误，帕克将球断下 第二节 [35:40]
　　帕克上篮不中，拉德马诺维奇补篮得手 第二节 [37:40]
　　马布里急停跳投偏出，库里争抢篮板时犯规 第二节 [37:40]
　　帕克传球失误 第二节 [37:40]
　　武贾西奇和杰弗里斯争球 第二节 [37:40]
　　杰弗里斯直接将球垫给湖人队球员 第二节 [37:40]
　　图里亚夫上篮得手 第二节 [39:40]
　　库里上篮不中，奥多姆抢到篮板 第二节 [39:40]
　　帕克左翼跳投偏出，克劳福德抢到篮板 第二节 [39:40]
　　克劳福德上篮不中，奥多姆抢到篮板 第二节 [39:40]
　　拉德马诺维奇右侧底角跳投命中 第二节 [41:40]
　　杰弗里斯左侧底角出手3分命中 第二节 [41:43]
　　奥多姆超远距离出手3分，球弹筐偏出 第二节 [41:43]
　　第二节比赛结束 第二节 [41:43]
　　库里得到15分和6个篮板，马布里得到7分，克劳福德得到6分 第二节 [41:43]
　　奥多姆得到13分，帕克得到11分 第二节 [41:43]
　　稍事休息，我将给大家直播第三节比赛 第二节 [41:43]
　　第三节比赛开始 第三节 [41:43]
　　拜纳姆上篮得手 第三节 [43:43]
　　弗莱转身跳投命中 第三节 [43:45]
　　拜纳姆勾手投篮命中 第三节 [45:45]
　　弗莱勾手投篮命中 第三节 [45:47]
　　拜纳姆上篮不中，杰弗里斯抢到篮板 第三节 [45:47]
　　库里上篮得手 第三节 [45:49]
　　拉德马诺维奇上篮不中，杰弗里斯抢到篮板 第三节 [45:49]
　　拉德马诺维奇防守犯规 第三节 [45:49]
