围甲第16轮重庆上海全取3分 新兴告负陷保级圈(谱)
　　点击观看棋谱
　　“金立手机杯”围甲新闻中心专稿 特约记者迟昕欣报道 2008年“金立手机杯”中国围棋甲级联赛第16轮比赛今天全面打响，相比第一集团波澜不惊——排名前四的队伍分别战胜各自对手，保级区则形势大乱。排名垫底的河北金环钢构队大爆冷门，以4比0狂胜山东联通队，北京海淀战胜新兴地产队。排名倒数三位的队伍成绩拉近，保级竞争更加激烈。 
　　小鬼当家的武汉黄鹤楼队向领头羊重庆冷酸灵队发起挑战。由于古力要备战名人战的决赛，坐镇主场的重庆队让王檄坐上了主将之位，而由古力下快棋。结果刚刚夺得栏柯杯冠军的古力快刀斩乱麻，击败了钟文靖。主将之战王檄中盘战胜李哲，重庆已是胜利在握。两位老牌世界冠军的较量，马晓春技高一筹半目击败俞斌。最后一盘谢赫战胜张维，确保重庆队获得3分。 
　　中国移动上海队客场对阵云南香格里拉队，凭借常昊、胡耀宇、朱元豪的胜利，移动队以3比1力克云南队，邱峻将其“磨王”的功力发挥了淋漓尽致，最后一个结束比赛，但仍不敌王尧。 
　　贵州百灵队与广西华蓝队之战决定胜负的是新锐之间的较量。上场的八名队员中，王磊都可以算是老将了，可在与牛雨田的快棋比赛中，他后半盘明显在体力和计算上都输给对手。久疏战阵的刘小光只下了半盘好棋，他负于孙力。双方的老将都输了，另外两盘新锐间的较量中，朴文尧、时越分别战胜李康、张立，贵州百灵队主场全取3分。 
　　四川娇子队携超级外援李映九作客北京，欲乘着上轮力克百灵之勇再擒大宝。大宝队孔杰被安排下快棋，他战胜彭立尧为主队先下一城。古益灵很快击败汪洋为客队扳回一分。在擂台赛上大放异彩的柁嘉熹延续了好状态，击败杨一，大宝队再次取得领先。在决定胜负的主将之战中，李映九战胜代替孔杰出任主将的陈耀烨，双方2比2战平，娇子队因为主将胜而获得2分。 
　　山东联赛队遭遇“滑铁卢”，主场被河北金环钢构队剃了光头。主将周鹤洋不敌王雷，江维杰、周睿羊、陶忻分别负于孙腾宇、王煜辉、檀啸。在一场保级的对冲战中，北京海淀队险胜新兴地产队。双方苦战四局各胜两局，由于主将罗洗河负于孟泰龄，新兴队仅获得1分。本轮战罢后海淀队与新兴队仅相差一个场分，而河北队也仅落后海淀队4个局分。相信这三支队在未来的6轮比赛中将展开一场你死我活的较量，谁能爬出降级泥潭，让我们试目以待。 
　　围甲联赛第17轮比赛将于11月22日进行，对阵形势为(主队在前)：云南香格里拉VS山东联通，中国移动上海VS贵州百灵，广西华蓝VS北京大宝，四川娇子VS新兴地产，北京海淀翠微VS重庆冷酸灵，武汉黄鹤楼VS河北金环钢构。
　　以下为本轮详细赛果：
　　山东联通　0:3 河北金环钢构 地点：济南 
　　1 江维杰 负 孙腾宇 
　　2 周鹤洋 负 王雷　(主) 
　　3 周睿羊 负 王煜辉(快) 
　　4 陶忻 　负 檀啸 
　　重庆冷酸灵 3:0 武汉黄鹤楼 地点：重庆永川茶艺山庄 
　　1 谢赫 胜 张维 
　　2 王檄 胜 李?　(主) 
　　3 古力 胜 钟文靖(快) 
　　4 俞斌 负 马晓春 
　　新兴地产　1:2 北京海淀翠微 地点：乐澜宝坻 
　　1 彭荃 　负 严欢 
　　2 罗洗河 负 孟泰龄(主) 
　　3 刘星 　胜 马笑冰(快) 
　　4 黄奕中 胜 赵守洵 
　　北京大宝　1:2 四川娇子 　　地点：大宝饭店 
　　1 孔杰 　胜 彭立尧(快) 
　　2 陈耀烨 负 李映九(主) 
　　3 柁嘉熹 胜 杨一 
　　4 汪洋 　负 古灵益 
　　贵州百灵　3:0 广西华蓝 　　地点：中国棋院 
　　1 时越 　胜 张立 
　　2 朴文? 胜 李康　(主) 
　　3 孙力 　胜 刘小光 
　　4 王磊 　负 牛雨田(快) 
　　云南香格里拉 0:3 中国移动上海 地点：昆明世博酒店 
　　1 陈潇楠 负 朱元豪(快) 
　　2 丁伟 　负 胡耀宇(主) 
　　3 付冲 　负 常昊 
　　4 王? 　胜 邱峻 

