IFFHS公布最新联赛排名：西甲居首 英超跌落第五
　　新浪体育讯　北京时间7月23日凌晨，世界最权威的足球统计机构——国际足球历史和统计联合会(IFFHS)公布了最新的世界联赛排名，结果西甲联赛排名榜首，巴西与阿根廷联赛排在二、三位，昔日老大英超这次跌落明显，只排在第五位。
　　IFFHS的世界联赛排名始于1991年，评选基于各国联赛和杯赛、以及各国俱乐部在世界和洲际内各项锦标赛的综合表现。需要指出的是，百强联赛评选与各国家队(或代表队)成绩无关，评选积分完全取决于俱乐部的整体表现。
　　在今年1月份公布的排名中，英超联赛还高居榜首，以110分的优势领先西甲，而半年之后，西甲反而领先英超94分。英超的巨大滑落这在进入21世纪以来还从未出现。在最新的排名中，欧洲五大联赛西甲位居首位，意甲、英超、德甲与法甲则分列4至7位，这种趋势表明西甲联赛成为了世界上最强的联赛，不过各国联赛的差距都很小，意甲排名第四全归结于国米的突出表现，英超则受累于四大豪门在欧冠集体无缘四强，而德甲只有拜仁独撑门面，也很难有太多作为。
　　其他大洲方面，巴西依然是南美最强的联赛，阿根廷紧随其后，而秘鲁已经上升到第三；中北美洲的头名还是墨西哥联赛，非洲则是埃及居首，大洋洲是新西兰联赛，最后提到亚洲，日本的J联赛仍然是霸主，排在世界上第22位，中超则排在第74位。
　　附：IFFHS公布最新联赛前十名
　　排名   联赛   积分
　　 1    西班牙  580
　　 2    巴西    577
　　 3    阿根廷  536
　　 4    意大利  508
　　 5    英格兰  486
　　 6    德国    457
　　 7    法国    413
　　 8    秘鲁    407
　　 9    智利    362.5
　　 10   巴拉圭  357.5
  (赤色要塞)

