围甲第19轮对阵：檀啸挑战古力 孔杰常昊巅峰对决
　　新浪体育讯　北京时间11月16日上午，2010“金立手机杯”中国围棋甲级联赛第19轮的比赛将在各地主场开战。领头羊重庆冷酸灵迎战青年军安徽宁国市政队，1分之差排名次席的中信北京对阵另一支围甲豪门中国移动上海。具体对阵形势如下：
　　西安曲江 VS 苏泊尔杭州
　　黄晨 VS 王雷
　　王昊洋 VS 刘星(主)
　　陶欣然 VS 汪涛(快)
　　王煜辉 VS 黄奕中
　　山东景芝酒业 VS 贵州百灵
　　毛睿龙 VS 时越(快)
　　范廷钰 VS 李?(主)
　　连笑 VS 朴文?
　　曹恒挺 VS 彭立?
　　中信北京 VS 中国移动上海
　　邱峻 VS 柁嘉熹
　　常昊 VS 孔杰(主)
　　朱元豪 VS 陈耀烨(快)
　　胡耀宇 VS 钟文靖
　　安徽宁国市政 VS 重庆冷酸灵
　　孙腾宇 VS 王檄
　　檀啸 VS 古力(主将)
　　孙力 VS 谢赫(快棋)
　　王? VS 李轩豪
　　四川娇子 VS 广西华蓝
　　古灵益 VS 牛雨田
　　李映九 VS 李康(主)
　　党毅飞 VS 廖行文(快)
　　杨一 VS 张立
　　辽宁菊花岛 VS 山东齐鲁晚报
　　孟泰龄 VS 江维杰
　　彭荃 VS 周睿羊(主)
　　罗洗河 VS 陶忻(快)
　　唐韦星 VS 周鹤洋

