伯尼无意继续扩大F1赛历 阿布扎比同意改办夜战
　　新浪体育讯　据来自英国的消息称，F1大佬伯尼日前再次强调，未来F1赛历不会超过20站，2009年的赛历“还可以”。
　　伯尼在接受采访时表示：“不会再增加比赛，我们不希望再有更多的新赛事。”他说：“我们现在的赛事太多了。我们必须要减去一些。”09年的暂定赛历已增加到19站。
　　在新加坡大奖赛的首次夜战尝试成功之后，伯尼反而希望在未来的赛历中增加夜战。
　　为了满足欧洲电视观众的需求，澳大利亚和马来西亚已经同意推迟发车时间，但伯尼表态：马来西亚大奖赛未来肯定要成为夜战。
　　韩国和印度是等待进入F1赛历的国家，伯尼已经要求他们考虑夜战。美国的《时代周刊》日前透露，阿布扎比(阿联酋)在明年进入赛历之前，已经同意举办夜间比赛。
　　《时代周刊》还写道，伯尼已经宣布，希望日本也改为夜战，同时希望韩国和中国效仿。但中国方面表示，从来不对夜战感兴趣。
　　附：2009年F1暂定赛历
　　3月29日 澳大利亚大奖赛
　　4月5日  马来西亚大奖赛
　　4月19日  巴林大奖赛
　　5月10日  西班牙大奖赛
　　5月24日  摩纳哥大奖赛
　　6月7日   加拿大大奖赛
　　6月21日  英国大奖赛
　　6月28日  法国大奖赛
　　7月12日  德国大奖赛
　　7月26日  匈牙利大奖赛
　　8月9日   土耳其大奖赛
　　8月23日  欧洲大奖赛(巴伦西亚)
　　9月6日   意大利大奖赛
　　9月13日  比利时大奖赛
　　9月27日  新加坡大奖赛
　　10月11日  日本大奖赛
　　10月18日  中国大奖赛
　　11月1日  巴西大奖赛
　　11月15日  阿布扎比大奖赛

