围甲综述：升班马猛如虎 常昊古力孔杰同遭失利
　　记者谢锐报道 2010“金立手机杯”围甲联赛第4轮比赛5月15日战罢，升班马安徽宁国市政客场3比1胜另一支升班马山东景芝酒业，跃至榜首位。围甲夺冠大热门中信北京2比2主将负于卫冕冠军苏泊尔杭州，后者获得本赛季首胜。七冠王重庆冷酸灵1比3不敌广西华蓝，开局不利。常昊、古力、孔杰三位最强棋手本轮同时落败，也是蹊跷。
　　以聂家军为班底的安徽宁国市政队继续让新人出任主将，孙力四段首次担纲，不敌山东景芝酒业主将范廷钰二段。但皖军后三台全胜，孙腾宇七段和檀啸五段4连胜，围甲本赛季至今共有5个4连胜者，安徽占据其二。王尧六段迎来本赛季首胜，终于结束了连败阴霾。
　　苏泊尔杭州在天台山设主场，迎战中信北京。上赛季倒数第二轮夺冠冲刺战，杭州3比1力克北京，搬掉最后一块冲冠路上的大石头。此番再度交手，杭州哀兵出战，前三轮未尝胜绩。关键时刻，刘星七段再次建功，中盘战胜孔杰。加上王雷六段战胜钟文靖五段，杭州2比2主将胜。中信北京队中的陈耀烨九段和柁嘉熹三段均取得4连胜，已是中信队最牢靠得分手。
　　重庆冷酸灵在中国棋院设主场，对阵广西华蓝。结果大出意外，七冠王不敌历届围甲的保级大户。重庆队除了主将王檄九段战胜丁伟九段外，另三将古力九段、谢赫七段、李轩豪二段分别负于李康六段、张立五段、牛雨田七段。古力本赛季前四轮1胜3负，状态低迷，何时能走出低谷，直接关系到重庆成绩能否反弹。此外，在俞斌九段减少一半出场机会的情况下，李轩豪能不能及时填补空当，已成重庆队本赛季一大待解难题。
　　领头羊西安曲江主场对四川娇子，超级外援崔哲瀚九段未能出战，西安实力大打折扣，除了王煜辉七段战胜党毅飞三段外，其余三将均告落败。王煜辉进入了围甲4连胜的“五人组”，颇为难得。
　　贵州百灵在北京设主场迎战辽宁葫芦岛，主将之战，李哲六段执白对罗洗河九段，前半盘罗洗河弈得流畅，白棋深入右下黑棋大阵，虽得以全身而退，但黑棋各处亦得以走厚，形势稍优。局面拐点出现在一个中盘不经意处，李哲一手“刺”令罗洗河思忖再三，最终还是决定反击。罗洗河平时难有长考之时，一旦长考反出漏着，本可安然连回的大块被迫成劫活，结果被白棋借找劫材之机，打穿右边盘黑棋大空，胜负由此决定。
　　百灵队的朴文尧五段、时越四段分别胜彭荃七段和郑淼鑫二段，菊花岛队唐韦星三段胜彭立尧五段，避免了再次被剃光头的悲惨结局。
　　中国移动上海在家门口对山东联通，常昊九段出战快棋，以1/4子之差不敌江维杰五段，后者在3连败后终于开和。主将之战，邱峻八段负于周睿羊五段，加上朱元豪三段败给周鹤洋九段，上海1比3落败，1分未得。为上海队挽回些许颜面的是胡耀宇八段，他战胜了崔灿五段。
　　三届围甲冠军得主中国移动上海如今饱受后备力量匮乏隐痛，第四台朱元豪三段惨遭4连败，大有步上赛季7胜15负的后尘之势。在有一台明显偏软的现实处境下，中国移动上海重现夺冠盛景，甚难。
　　围甲第5轮比赛因体育大会之故，延迟到5月29日进行，对阵有：中信北京VS山东景芝酒业，山东联通VS重庆冷酸灵，广西华蓝VS苏泊尔杭州，辽宁菊花岛VS中国移动上海，安徽宁国市政VS西安曲江，四川娇子VS贵州百灵。
　　最新围甲联赛积分榜(4)
　　名次 队名 场分  局分
　　01 安徽宁国市政 10 10
　　02 西安曲江 9 11
　　03 中信北京 8 11
　　04 贵州百灵 8 9
　　05 重庆冷酸灵 7 9
　　05 广西华蓝 7 9
　　07 山东联通 6 8
　　08 中国移动上海 5 7
　　09 四川娇子 5 6
　　10 苏泊尔杭州 3 6
　　11 辽宁菊花岛 3 5
　　12 山东景芝酒业 1 5

