围甲综述：中信北京损失惨重 苏泊尔杭州一马当先 
　　记者谢锐北京报道 09“金立手机杯”围甲联赛第19轮比赛11月28日战罢，积分排名第一的升班马苏泊尔杭州队3比1胜山东联通队，继续保持领先位置。积分垫底的云南香格里拉队2比2主将负于西安曲江队，积分与排名倒数第3的黄鹤楼科技园队相差9分，围甲尚余三轮，云南降级几成定局。新兴地产客场1比3不敌四川娇子，积分掉至倒数第2。
　　苏泊尔杭州主场对阵此前6连胜的山东联通。主将之战在刘星七段与周睿羊五段之间展开，执白的刘星一如既往地展示自己天马行空的风格，双方大杀小输赢，布局阶段黑主动，目数也是明显优势，但右下折冲中黑棋弈出疑问着，给了白棋造劫反击之机，局势变得混乱，大转换后黑棋丧失布局优势。接下来双方大砍大杀，令人眼花缭乱，右上角作战黑棋得利，随后双方在中腹再度形成打劫，再次大转换后，白棋目数再次接近黑棋。之后黑棋大围上方巨空，刘星以一连串巧妙手段打穿黑空，锁定胜局，本局两人激情澎湃，精彩纷呈。
　　另三局，快棋赛中江维杰五段逆转胜邵炜刚九段，王雷六段屠龙胜崔灿五段，汪涛三段不敌周鹤洋九段。杭州3比1胜出。
　　中信北京队主场对中国移动上海队，孔杰九段执白对常昊九段的主将大战扣人心弦，布局阶段常昊在左下角弈出罕见着法，孔杰应对无误，局部结果白棋稍稍获利。紧接着孔杰弈出妙手，黑棋大块避免不了被白棋收刮的命运。劣势之下，常昊放出超强胜负手，利用劫材之利局部一举击垮白棋。此时孔杰都有了投子认输之念。
　　局面被逆转，孔杰只能硬着头皮强攻棋盘上方黑大块，常昊精彩着法迭出，借力打力，顺调出头，白棋攻击失败，但过程中过于顺手的黑棋有手棋过分，白棋得以对中腹黑棋大块形成包围之势。在复杂的中央攻防战中，黑棋忽略了白棋借尸还魂的绝妙手段导致败局，这之前白棋一直忍辱负重，待时机成熟后亮刀，黑棋方寸大乱，左下大块遭屠，中腹大块必须打劫活，败局已定。
　　不过，孔杰艰难地逆转胜价值却被大打折扣，另三盘，中信北京陈耀烨九段、柁嘉熹三段、王煜辉七段分别败给朱元豪三段、胡耀宇八段、邱峻八段，上海移动3比1胜出。
　　排名倒数第二的黄鹤楼科技园主场对广西华蓝，后者祭出怪阵，廖行文三段首次出任主将，挑战武汉铁主将李哲六段。此怪阵还差点奏功，廖行文仅仅以1/4子之差落败。武汉另两将钟文靖五段、张维五段分别胜牛雨田六段和丁伟九段，鄂军在家门口取得无比宝贵的3分，在积分榜上超过新兴地产队，位列第10，这也使得后三轮保级大战更为惨烈。
　　四川娇子队在江苏无锡设主场，迎战新兴地产队。外援李映九七段出战，对阵彭荃七段，李映九中盘胜。近期状态颇佳的古灵益五段在快棋赛中胜黄奕中七段，党毅飞三段胜罗洗河九段，娇子3比1胜出，重返三甲。新兴地产本还领先武汉黄鹤楼2分，此战落败，损失巨大，将自身置于降级悬崖边上。
　　西安曲江队主场对阵一只脚踏出围甲的云南香格里拉队，超级外援崔哲瀚九段担纲出战，在主将位上快胜王尧六段，云南虽由蓝天四段、陈潇楠三段扳回两城，但两队最终2比2战平，两队各获2分和1分。
　　重庆冷酸灵主场对贵州百灵队之战因农心杯赛而推迟至11月30日进行，百灵超级外援李世石九段没有出战。四盘棋对阵：古力九段VS朴文尧五段(主将)，俞斌九段VS王磊八段，谢赫七段VS彭立尧四段，王檄九段VS时越四段(快棋)。
　　围甲第20轮即倒数第三轮比赛于12月5日进行，对阵：云南香格里拉VS中信北京，上海移动VS苏泊尔杭州，山东联通VS重庆冷酸灵，贵州百灵VS黄鹤楼科技园，广西华蓝VS四川娇子，新兴地产VS西安曲江。
　　围甲最新排名(19)
　　名次    队名       场分 局分
　　01   苏泊尔杭州    38   42
　　02    中信北京     34   44
　　03    四川娇子     34   40
　　04    西安曲江     32   43
　　05   重庆冷酸灵    32   40
　　06    贵州百灵     31   39
　　07  中国移动上海   28   39
　　08    广西华蓝     26   39
　　09    山东联通     25   37
　　10 黄鹤楼科技园    23   31
　　11   新兴地产      22   32
　　12 云南香格里拉    14   26
　　(注：重庆、百灵少赛一场)

