围甲第18轮后积分榜：中信暂居榜首 苏泊尔恐降级
　　新浪体育讯　北京时间11月4日，2010“金立手机杯”中国围棋甲级联赛第18轮在各个围甲主场打响。因重庆队的比赛延期，中信北京虽然主将负，但仍然暂时跃居积分榜第一。重庆和贵州分居2、3位。四川娇子和苏泊尔杭州仍深陷降级区。
　　排名    队名        场分     局分
　　1    中信北京       33       46
　　2    重庆冷酸灵     33       40 少赛1轮
　　3    贵州百灵       32       38
　　4    山东齐鲁晚报   32       37
　　5    中国移动上海   30       37
　　6    辽宁菊花岛     28       41
　　7    安徽宁国市政   28       36
　　8    西安曲江       27       34
　　9    广西华蓝       24       32
　　10   山东景芝酒业   22       31
　　11   四川骄子     　17       26 少赛1轮
　　12   苏泊尔杭州     15       30
　　新浪体育讯　北京时间11月4日，2010“金立手机杯”中国围棋甲级联赛第18轮在各个围甲主场打响。因重庆队的比赛延期，中信北京虽然主将负，但仍然暂时跃居积分榜第一。重庆和贵州分居2、3位。四川娇子和苏泊尔杭州仍深陷降级区。
　　排名    队名        场分     局分
　　1    中信北京       33       46
　　2    重庆冷酸灵     33       40 少赛1轮
　　3    贵州百灵       32       38
　　4    山东齐鲁晚报   32       37
　　5    中国移动上海   30       37
　　6    辽宁菊花岛     28       41
　　7    安徽宁国市政   28       36
　　8    西安曲江       27       34
　　9    广西华蓝       24       32
　　10   山东景芝酒业   22       31
　　11   四川骄子     　17       26 少赛1轮
　　12   苏泊尔杭州     15       30

