智运会五子棋上海男团庆功登顶 四川女团摘桂冠
　　新浪体育讯　第二届全国智力运动会五子棋项目于今日(2011年11月12)上午结束全部团体赛事，最终上海、四川分别摘得本届全智会五子棋项目男、女团体桂冠。
　　上午8:30五子棋项目最后一轮(第七轮)比赛拉开战幕，其激烈程度和预想的一样。首先看女子组，辽宁队面对北京队没有挺住，1、3台全都失利，而四川队面对湖南队势如破竹直接拿下，这样四川队终于在最后一轮成功登顶。而辽宁队只能看着别人庆祝胜利，两连败的厄运恐怕她们在此之前都没有想到，在只要和一轮就可以问鼎的大好局面下冠军就这样拱手相让屈居亚军。湖北、上海两强相遇，由于胜者还有夺冠的可能，所以厮杀的相当惨烈，最终湖北技高一筹取得胜利，这样湖北在最后时刻搭上了开往领奖台的列车，而上海只能屈居第五。北京队由于阻击辽宁成功，而得到了宝贵的胜利，她们的最终排名也升至第四。浙江力克云南获得第六。
　　男子组的争夺多少比女子组有所差距，由于上海提前一轮夺金，大家争夺的目标变成了银牌，广东队最后一轮对阵上海，在2、3台两队和棋后，广东队1台面临巨大压力，如果胜，则获得亚军，否则可能登不上领奖台，最终广东队1台顶住压力取得胜利，广东也顺利摘银。河北队战和湖北队，最终以5分获得铜牌。东道主湖北队则只能位居第四。四川战和北京获得第五，北京获得第七，浙江战胜煤矿后名列第六。陕西、辽宁获第八和第九名。
　　纵观整体比赛，传统强队的表现虽有起伏但整体相对稳定，一些新的代表队如陕西、重庆、湖南等都表现出了一定的实力，但是由于缺乏高水品选手领军，最终只能昙花一现，无法持续走高。团体的竞争看的是整体实力和相互配合，一盘的胜负可能会左右整个代表队的成绩。后面的个人赛则全看棋手的自身实力，谁是强者， 11月18日中午待见分晓…
　　五子棋男子团体排名
　　名次	姓名  	积分	对手分	中间分
　　1  	上海， 	6   	  29.0	  21.5
　　2  	广东， 	5.5 	  29.5	  20.5
　　3  	河北， 	5   	  30.5	  21.5
　　4  	湖北， 	4.5 	  29.5	  22.5
　　5  	四川， 	4.5 	  27.5	  20.0
　　6  	浙江， 	4.5 	  24.5	  17.5
　　7  	北京， 	4   	  28.0	  20.5
　　8  	陕西， 	4   	  26.5	  18.0
　　9  	辽宁， 	4   	  24.5	  18.0
　　10 	煤矿， 	3.5 	  29.0	  20.5
　　11 	江西， 	3.5 	  25.0	  18.5
　　12 	重庆， 	3.5 	  19.5	  14.0
　　13 	广西， 	3   	  24.5	  17.5
　　14 	福建， 	3   	  23.0	  17.0
　　15 	湖南， 	3   	  22.0	  16.0
　　16 	甘肃， 	3   	  19.5	  14.5
　　17 	宁波， 	2   	  21.0	  15.5
　　18 	云南， 	2   	  19.5	  14.0
　　19 	青岛， 	1.5 	  21.0	  15.0
　　五子棋女子团体排名
　　名次	姓名       	积分	对手分	中间分
　　1  	四川，  (9) 	5.5 	  27.5	  20.5
　　2  	辽宁，  (2) 	5   	  28.0	  20.5
　　3  	湖北，  (4) 	5   	  27.0	  19.5
　　4  	北京，  (1) 	4.5 	  25.5	  20.0
　　5  	上海，  (3) 	4   	  27.0	  21.5
　　6  	浙江，  (12)	4   	  23.5	  18.0
　　7  	广东，  (8) 	3   	  26.5	  19.0
　　8  	重庆，  (11)	3   	  22.5	  17.5
　　9  	广西，  (6) 	3   	  19.5	  15.0
　　10 	河北，  (5) 	3   	  19.0	  15.0
　　11 	湖南，  (10)	2   	  24.5	  19.0
　　12 	云南，  (7) 	0   	  23.5	  17.0

