美国名人赛奖金分配表 米克尔森获135万美元冠军奖
　　新浪体育讯　北京时间4月12日，美国名将菲尔-米克尔森在2010年美国高尔夫名人赛上以3杆优势夺冠，拿到个人职业生涯第3个名人赛冠军，也是他的第4个大满贯赛冠军。米克尔森获得135万美元冠军奖金，亚军李-维斯特伍德获得81万美元奖金，本次比赛总奖金750万美元，晋级的最后一名也就是第48名的纳丹-格林也获得了20,550美元奖金。没能获得晋级的球员每人将获得5000美元安慰奖金。
　　名次  球员(成绩)          奖金(美元)
　　1   菲尔-米克尔森 (272)     1,350,000
　　2   李-维斯特伍德 (275)       810,000
　　3   金河珍 (276)              510,000
　　T4  崔京周 (277)              330,000
　　T4  泰格-伍兹 (277)           330,000
　　6   卡波斯 (279)              270,000
　　7   尼克-沃特尼 (280)         251,250
　　T8  亨特-马汉 (281)           225,000
　　T8  梁容银 (281)              225,000
　　T10 瑞吉-巴内斯 (283)         195,000
　　T10 伊恩-保尔特 (283)         195,000
　　T12 杰瑞-凯瑞 (285)           165,000
　　T12 西蒙尼斯 (285)            165,000
　　T14 史蒂夫-马里诺 (286)       131,250
　　T14 大卫-汤姆斯 (286)         131,250
　　T14 莱恩-摩尔 (286)           131,250
　　T14 伊梅尔曼 (286)            131,250
　　T18 亚当-斯科特 (287)          94,500
　　T18 厄尼-埃尔斯 (287)          94,500
　　T18 斯科特-维普兰克 (287)      94,500
　　T18 汤姆-沃森 (287)            94,500
　　T18 卡布雷拉 (287)             94,500
　　T18 斯洛库姆 (287)             94,500
　　T24 马特-库查尔 (288)          69,000
　　T24 本-克莱恩 (288)            69,000
　　T26 比尔-哈斯 (289)            57,750
　　T26 肯尼-佩利 (289)            57,750
　　T26 奥格维 (289)               57,750
　　29  池田勇太 (290)             53,250
　　T30 贾森-达夫勒 (291)          45,562.5
　　T30 索伦-克尔森 (291)          45,562.5
　　T30 舒瓦特泽尔 (291)           45,562.5
　　T30 弗兰西斯科-莫利纳利 (291)  45,562.5
　　T30 史翠克 (291)               45,562.5
　　T30 西恩-奥海尔 (291)          45,562.5
　　T36 卢卡斯-格罗乌尔 (292)      37,687.5
　　T36 马特欧-曼纳瑟罗 (292)      37,687.5
　　T38 维勒加斯 (294)             33,000
　　T38 史蒂夫-弗雷彻 (294)        33,000
　　T38 达斯汀-约翰逊 (294)        33,000
　　T38 古森 (294)                 33,000
　　42  扎克-约翰逊 (295)          29,250
　　T43 罗伯特-卡尔森 (296)        27,000
　　T43 麦克-维尔 (296)            27,000
　　T45 查德-坎贝尔 (298)          23,250
　　T45 加西亚 (298)               23,250
　　T45 罗伯特-艾伦比 (298)        23,250
　　48  纳丹-格林(302)             20,550

