围甲第14轮积分：北京微弱优势领跑 四队处降级区 
　　北京时间10月9日，2010“金立手机杯”中国围棋甲级联赛结束了第14轮的争夺，此前排名第一的中信北京队虽然不敌安徽宁国市政队，但他们还是凭借局分的优势继续领跑。重庆和安徽两队与北京场分相同，但局分落后，并列第二，紧随其后。降级区方面，山东景芝酒业今天以一场胜利拉近了与其余几支队伍的差距，广西、杭州、四川目前也均处在降级区，今年的围甲依旧是是一片混乱。
　　名次 队名         场分 局分
　　1    中信北京     27   37
　　2    重庆冷酸灵   27   32
　　2    安徽宁国市政 27   32
　　4    辽宁菊花岛   26   35
　　5    上海移动通信 24   29
　　6    山东齐鲁晚报 24   28
　　7    贵州百灵     23   28
　　8    西安曲江     20   26
　　9    广西华蓝     15   23
　　10   苏泊尔杭州   14   25
　　11   四川骄子     14   21
　　12   山东景芝酒业 11   20

