世界杯19支参赛队名单公布 梁文冲张新军搭档
　　新浪体育讯　北京时间8月30日，来自亚巡赛官网消息，截止今日，包括东道主中国队在内已经有19支队伍确定了角逐2011欧米茄观澜湖高尔夫世界杯参赛队员。11月24日至27日，这些明星选手将悉数登陆观澜湖海口国际高尔夫度假区，为国家的荣耀而战。中国队将由梁文冲(微博)和张新军(微博)搭档参赛。
　　5位大满贯赛冠军——包括今年刚刚夺取美国名人赛冠军奖杯的肖尔-舒瓦泽尔(Charl Schwartzel)和美国公开赛冠军罗里-麦克罗伊(Rory McIlroy)——将各自代表其祖国，与世界杯卫冕冠军意大利莫里纳利兄弟一较高下。
　　肖尔-舒瓦泽尔将与2010年英国公开赛冠军路易-乌修仁(Louis Oosthuizen)联手代表南非队。而罗里-麦克罗伊则会与去年的美国公开赛冠军格莱姆-麦克道尔(Graeme McDowell)搭档代表爱尔兰队。他们在2009年的世界杯上有过合作，当时他们在意大利队之后获得并列第二名。
　　2010年美国PGA锦标赛冠军马丁-凯梅尔(Martin Kaymer)选择了亚力克斯-塞加卡(Alex Cejka)作为自己的搭档。今年已经是这对德国球手第四次联手参加世界杯——2007年他们取得了第六名；2008年和2009年则分别位列第五和第六。
　　今年的美国队是由马特-库查尔(Matt Kuchar)和加里-伍德兰德(Gary Woodland)代表。两人都觉得能代表美国参赛是一种相当高的荣耀。马特-库查尔说：“想到世界杯，想到能够代表美国，我非常激动兴奋。不论什么时候，只要一个美国选手穿上带有星条旗的队服，他便能感受到那种特殊的自豪感。能够成为美国队的两名参赛队员之一，参加两年一次的高球盛事，这是一个非常棒的机遇。我很荣幸能参与其中。”
　　加里-伍德兰德补充道：“对于我来说，能够代表美国参赛意义非凡。我参与过许多军队的慈善活动，能够获得代表美国的机会，真的无法用言语来形容我的心情。马特是一个非常稳定的球手，而且总是保持着良好的竞技状态。希望我们的合作能够成功。我在距离上可以有点小小的补足，希望我可以在球场放手发球，而马特则可以将球击得很靠洞。只要我们俩的推杆能够进洞，我们可以抓到许多小鸟。”
　　英格兰选手伊恩-保尔特(Ian Poulter)四年之后再次搭档自己的好友贾斯汀-罗斯(Justin Rose)参加欧米茄观澜湖高尔夫世界杯。2007年，他们在深圳观澜湖高尔夫球会的奥拉沙宝球场取得了第四名，那也是他们在世界杯赛场上的唯一一次合作。
　　伊恩-保尔特说：“我非常期盼再次代表我的祖国，重新回到世界杯的赛场。我是一个非常爱国的球手，有机会在世界舞台上为英格兰而战总是我喜欢做的事。每个人都知道我非常享受各种形式的团体高尔夫比赛。我喜欢莱德杯那种正面的交锋，也喜欢世界杯的比赛形式。”
　　贾斯汀-罗斯同样很热情，他指出：“很肯定，我十分荣幸能与保尔特搭档。我们的友谊非常深厚。而我们过去在世界杯上也有很好的发挥。我认为世界杯是每个球手赛事生涯中非常重要的一场比赛，而且毫无疑问，我们去那里就是要夺取胜利。世界杯是一个不管谁赢，都会感到十分光荣的赛事——它的确具有这种声望。而且我觉得我们与其他参赛选手有着一样高的夺冠机会。”
　　来自瑞典的罗伯特-卡尔森(Robert Karlsson)是一个非常有竞争力的球手，并且和世界杯有着不解之缘。今年他将带着一个新同伴——亚力克斯-诺伦(Alex Noren)重返中国。亚力克斯-诺伦最近刚刚在瑞典赢得北欧大师赛。欧巡赛前奖金王罗伯特-卡尔森2008年与亨利克-斯滕森(Henrik Stenson)搭档曾经为瑞典赢得过世界杯。而两年前，他们再度搭档，与爱尔兰并列位于第二位。
　　西班牙选手阿尔瓦罗-奎罗斯(Alvaro Quiros)选择老将西蒙尼斯(Miguel Angel Jiménez)作为其搭档，而马丁-雷尔德(Martin Laird)将与斯蒂芬-加拉切尔(Stephen Gallacher)一起代表苏格兰队——2007年的冠军国家。杰米-唐纳逊(Jamie Donaldson)则与里斯-戴维斯(Rhys Davies)组成了威尔士队。
　　“首次代表西班牙参加世界杯，我非常激动。” 阿尔瓦罗-奎罗斯说，“能够代表祖国是一项极高的荣誉。当我还是业余选手的时候，从青少年阶段，到更高级的赛事，我都代表过西班牙。而今年的世界杯，将是我转为职业选手后第一次代表祖国参赛，意义非凡。
　　“我知道我击球距离远过西蒙尼斯，可是我们这支队伍的强项应该是西蒙尼斯的稳定状态。这样的搭档是非常棒的，而且他也相当有经验。他在职业生涯中已经见惯了各种状况，我非常期待他能给我指点一二。对于我们来说，能够为西班牙赢得世界杯是一件相当重大的事情。毫无疑问，光是‘世界杯’这个名字，在任何体育项目中都意义非凡，高尔夫也不例外。”
　　今年除了莫利纳利兄弟之外，还有一对兄弟会参加世界杯。他们是来自哥伦比亚的卡米罗-毕耶加斯(Camilo Villegas)与曼威尔-毕耶加斯(Manuel Villegas)。另外，最近刚刚在美国PGA锦标赛上获得第三名的丹麦选手安德斯-汉森(Anders Hansen)则已经挑选了托马斯-比约恩(Thomas Bj"orn)作为他的搭档。
　　亚洲方面，日本选手池田勇太(Yuta Ikeda)将与平?哲二(Tetsuji Hiratsuka)联手出击。泰国球王通差-贾第(Thongchai Jaidee)则将与阿费巴拉特(Kiradech Aphibarnrat)通力协作。而作为欧米茄观澜湖高尔夫世界杯的东道主而自动获得参赛权的中国，也确定将会由梁文冲和张新军组队前往海南岛参战。
　　确认参赛国家                球员
　　德国           马丁-凯梅尔(Martin Kaymer)/亚力克斯-塞加卡(Alex Cejka)
　　爱尔兰         罗里-麦克罗伊(Rory McIlroy)/格莱姆-麦克道尔(GraemeMcDowell)
　　美国           马特-库查尔(Matt Kuchar)/加里-伍德兰德(Gary Woodland)
　　南非           肖尔-舒瓦泽尔(CharlSchwartzel)/路易-乌修仁(LouisOosthuizen)
　　英格兰         伊恩-保尔特(Ian Poulter)/贾斯汀-罗斯(Justin Rose)
　　瑞典           罗伯特-卡尔森(RobertKarlsson)/亚力克斯-诺伦(Alex Noren)
　　意大利  埃多奥多-莫利纳利(EdoardoMolinari)/弗兰西斯科-莫利纳利(FrancescoMolinari)
　　西班牙         阿尔瓦罗-奎罗斯((Alvaro Quiros)/西蒙尼斯(Miguel Angel Jiménez)
　　苏格兰         马丁-雷尔德(Martin Laird)/斯蒂芬-加拉切尔(StephenGallacher)
　　丹麦           安德斯-汉森(Anders Hansen)/托马斯-比约恩(Thomas Bj"orn)
　　法国        拉斐尔-杰奎琳(Rapha"elJacquelin)/格雷戈里-波尔迪(Gregory Bourdy)
　　日本           池田勇太( Yuta Ikeda)/平?哲二(Tetsuji Hiratsuka)    
　　澳大利亚       布兰登-琼斯(Brendan Jones)/理查德-格林(Richard Green)
　　比利时     尼古拉斯-考塞茨(NicolasColsaerts)/杰罗姆-特尼斯(Jér^ome Theunis)
　　哥伦比亚   卡米罗-毕耶加斯(CamiloVillegas)/曼威尔-毕耶加斯(ManuelVillegas)
　　威尔士         杰米-唐纳逊(JamieDonaldson)/里斯-戴维斯(Rhys Davies)
　　泰国           通差-贾弟(Thongchai Jaidee)/阿费巴拉特(KiradechAphibarnrat)
　　津巴布韦 布兰登-德-约格(Brendon de Jonge)/布鲁斯-麦克唐纳德(Bruce McDonald)
　　中国(东道主)   梁文冲(LiangWen-chong)/张新军(Zhang Xin-jun)
　　(新高)

