欧联抽签：热刺迎德比 罗马赴东欧 塞维利亚遇劲敌
　　新浪体育讯　北京时间8月5日19时30分(瑞士当地时间13时30分)，欧联杯附加赛(资格赛第4轮)抽签在瑞士尼翁欧足联总部进行。托特纳姆将与苏超哈茨上演英国德比；塞维利亚遭遇德甲汉诺威，成为唯一的四大联赛球队直接交锋；罗马和拉齐奥都抽到东欧球队。
　　共有74支球队参加本次抽签，包括资格赛第3轮晋级的35支球队、冠军杯资格赛第3轮出局的15支球队和直接获得抽签资格的26支球队(17支国内杯赛冠军、3支联赛第3名球队、3支联赛第4名球队、3支联赛第5名球队)。两回合比赛分别于8月18日和25日进行，晋级的38支球队将与10支冠军杯附加赛(资格赛第4轮)出局队共48支球队参加8月26日的欧联杯小组赛抽签。
　　具体抽签结果如下(列前者先打主场)：
　　特拉维夫马卡比(以色列) VS 帕纳辛奈科斯(希腊)
　　马德里竞技(西班牙) VS 吉马良斯(葡萄牙)
　　沙姆洛克流浪(爱尔兰) VS 贝尔格莱德游击(塞尔维亚)
　　哈尔科夫冶金(乌克兰) VS 索肖(法国)
　　贝西克塔斯(土耳其) VS 弗拉季高加索(俄罗斯)
　　罗森博格(挪威) VS 拉纳卡AEK(塞浦路斯)
　　波尔塔瓦沃尔斯克拉(乌克兰) VS 布加勒斯特迪纳摩(罗马尼亚)
　　布尔萨体育(土耳其) VS 安德莱赫特(比利时)
　　罗马(意大利) VS 布拉迪斯拉发(斯洛伐克)
　　沃洛斯奥林匹亚(希腊) VS 巴黎圣日耳曼(法国)
　　华沙莱吉亚(波兰) VS 莫斯科斯巴达克(俄罗斯)
　　伊兰纳斯(立陶宛) VS 特拉维夫工人(以色列)
　　PAOK(希腊) VS 利沃夫喀尔巴阡山(乌克兰)
　　特拉布宗体育(土耳其) VS 毕尔巴鄂(西班牙)
　　哈茨(苏格兰) VS 托特纳姆(英格兰)
　　马里博尔(斯洛文尼亚) VS 格拉斯哥流浪者(苏格兰)
　　布加勒斯特星(罗马尼亚) VS 索非亚中央陆军(保加利亚)
　　洛斯查兰特(丹麦) VS 里斯本竞技(葡萄牙)
　　聂伯罗彼得罗夫斯克(乌克兰) VS 富勒姆(英格兰)
　　莫斯科火车头(俄罗斯) VS 特尔纳瓦斯巴达克(斯洛伐克)
　　锡永(瑞士) VS 凯尔特人(苏格兰)
　　弗罗茨瓦夫(波兰) VS 布加勒斯特快速(罗马尼亚)
　　洛维奇(保加利亚) VS 基辅迪纳摩(乌克兰)
　　拉齐奥(意大利) VS 拉波特尼奇(马其顿)
　　国民(葡萄牙) VS 伯明翰(英格兰)
　　埃因霍温(荷兰) VS 里德(奥地利)
　　图恩(瑞士) VS 斯托克城(英格兰)
　　奥勒松(挪威) VS 阿尔克马尔(荷兰)
　　瓦斯卢伊(罗马尼亚) VS 布拉格斯巴达(捷克)
　　奥莫尼亚(塞浦路斯) VS 萨尔茨堡(奥地利)
　　泽斯塔弗尼(格鲁吉亚) VS 布鲁日(比利时)
　　汉诺威(德国) VS 塞维利亚(西班牙)
　　赫尔辛基(芬兰) VS 沙尔克(德国)
　　第比利斯迪纳摩(格鲁吉亚) VS 雅典AEK(希腊)
　　雷恩(法国) VS 贝尔格莱德红星(塞尔维亚)
　　梅迪亚什(罗马尼亚) VS 维也纳奥地利(奥地利)
　　布拉加(葡萄牙) VS 年轻人(瑞士)
　　标准列日(比利时) VS 赫尔辛堡(瑞典)
　　(马舸)

