10大今夏离队球员：卡特居首 小斯龙王皆地位不保
　　新浪体育讯　北京时间2月25日，ESPN专栏作家扎德-福特发表文章，对今年夏天将被交易的十大球员做了预测。虽然在交易截止日前有像马里昂和小奥尼尔这样互换东家的震撼交易，但是随着斯塔德迈尔，卡特和奥尼尔等几大热门球员的留队，本赛季的几笔交易还是有点雷声大雨点小的意思。不过一旦常规赛结束，没有进入季后赛的球队将会重新放眼交易市场，到那时，联盟各个球队的总经理们又将开始忙碌起来。下面我们就来盘点一下今年夏天最有可能被交易的十大球员。
　　1.文斯-卡特 新泽西网队：其实网队在交易截止日前曾非常接近交易卡特。一位消息灵通的人跟我透露，网队同时派遣两人去小牛和勇士商谈交易卡特的可能，但是，结果却是失望的，网队并不满意这两队的交易请求。
　　2.科克-辛里奇 芝加哥公牛：辛里奇在交易截止日前曾经和森林狼走的很近，但是公牛并不喜欢他们所提供的报价。目前公牛队的想法是，在本赛季剩余的比赛里充分体现辛里奇的价值，然后在今年夏天再次尝试把他交易出去。
　　3.杰里-斯塔克豪斯 达拉斯小牛：斯塔克豪斯在下个赛季有个720万的合同，但是只有200万的工资是有保障的。小牛队希望将其交易腾出薪金空间来避免奢侈税。他很受欢迎，像黄蜂，太阳，奇才和雄鹿都有可能成为斯塔克豪斯的新东家。
　　4.史蒂夫-布雷克和特拉维斯-奥特洛 波特兰开拓者：布雷克和奥特洛的处境与斯塔克豪斯相类似。他们下个赛季的总和也有760万美元，然而，他们的工资也得不到保障。但是这两名球员对开拓者来说有很大的作用，如果放弃他们，相信可能会更倾向于打包交换。
　　5.理查德-杰弗森 密尔沃基雄鹿：雄鹿队认为在交易截止日前他们有可能会将杰弗森送往开拓者。同时，骑士和马刺也都对杰弗森显示出有兴趣。但是在交易截止前，什么也没发生。今年夏天的交易市场开启的时候，维兰纽瓦和雷蒙-塞申斯将会成为受限制自由球员，并且雄鹿还需要与博格特在今年夏天延长合同，显然雄鹿负担不起所有的这些球员，所以一些球员他们不得不放弃。
　　6.泰森-钱德勒 新奥尔良黄蜂：黄蜂正在处于一个艰难的时期，因为明年提供给保罗新合同以后，他们将肯定超过奢侈税的门槛。交易截止日前他们曾经把钱德勒送给俄克拉荷马城，但迅速因为体检不合格而被退货。黄蜂并不相信钱德勒的伤势是大问题，他们会再次尽快在赛季结束后交易他，而目标是步行者和小牛。
　　7.克里斯-卡曼 洛杉矶快船：虽然NBA各球队更感兴趣的是坎比，但是快船队更希望交易的人是卡曼。卡曼的大合同(3年，3400万美元至本赛季结束)是许多球队不愿接手的，但是相信那些缺乏大个子的球队会有人给卡曼一个机会。
　　8.厄尔-沃特森 俄克拉荷马雷霆：沃特森有很大的交易价值，原因有两个。首先，他的合同将在2010年到期。第二，他是一个控球后卫。雷霆正朝着正确的方向发展，他们不需要沃特森了，所以我想他们会用沃特森换回一个有提升空间的年轻球员。
　　9.阿玛雷-斯塔德迈尔 菲尼克斯太阳：虽然太阳队新上任的主教练波特对小斯抱有很大的期望，但是小霸王因为视网膜脱落手术而无奈的缺席本赛季余下的比赛。然而在今年夏天太阳仍然迫切的需要7-8万美元的薪金空间，如果他们不能为奥尼尔找到一个新东家，那么斯塔德迈尔还是最有可能被交易的人。
　　10.克里斯-波什 多伦多猛龙：猛龙队总经理科朗-吉罗在2月否认了一些球队要交易龙王的谣言，但他知道，到2010年，如果球队不能为龙王找到一个很好的帮手，那么波什自己还是很希望离开球队的，纽约，迈阿密和芝加哥都有可能成为波什的下一站。
　　(小林)

