皇马清洗遇阻早埋下暗雷 已除硕鼠收黑金祸害白宫数年
　　当弗洛伦蒂诺重新执政皇马，接连引入数位超级巨星后，其前任卡尔德隆留下的大量不良资产和棘手问题，成为了皇马在备战新赛季之余的头痛之处。
　　拉斯转会背后，卡尔德隆和他的的同党到底吸了多少黑金？这是一则永远不可告人的秘密。
　　今年1月初，皇马主席卡尔德隆在丑闻声中下课。他原先在董事会的特别顾问，西班牙“船王”博卢达临时接替主席一职。博卢达上任伊始，便命人将卡尔德隆时代所有签约文件重新调查整理，并以秘密形式保存。待弗洛伦蒂诺成为主席后，为了进一步打击卡尔德隆的残留势力，把这份资料交给了他所信任的媒体，并将之公布于众，随即在西班牙足坛掀起轩然大波。
　　皇马出场费？70万！
　　2008年12月21日，卡尔德隆和米亚托维奇完成了他们在皇马执政的期间最后一笔大签约。法国人拉斯-迪亚拉以1896.3万欧元的身价从英超朴茨茅斯加盟。但在今年6月28日，《马卡报》在头版独家披露：为了完成这笔转会，皇马还额外支付了400万欧元的中间费。
　　在国际足坛，一般为了顺利完成转会，收购方俱乐部通常都会给参与转会事宜的经纪人、中间人一笔额外的费用，业内称之为中间费。皇马总经理巴尔达诺7月初接受采访时也曾表示：“完成签约是非常困难的，所以中间费是非常常见的。因为经纪人和中间人可以帮助我们完成转会，或者帮助我们说服某些球员和球队。”
　　根据FIFA足球经纪人制度的非强制性规定，一般中间费的比例为转会费的3%。即如果球员A从俱乐部B以1000万欧元转会到俱乐部C，俱乐部C可以额外再支付给A的经纪人和参与转会的中间人30万欧元。
　　不过在实际操作中，中间费的比例大多超过了3%，5%—10%才是目前国际足坛的通用数字。而这笔钱，也就成为球员转会中买卖双方“吃钱”的出处。但皇马额外支付的400万欧元，达到了转会费的21.09%，已经大大超出了业内对中间费的常规界定标准。
　　根据《马卡报》提供的线索，皇马中间费的注明去向是支付给拉斯的英国经纪人约翰-威廉姆斯和中间人、荷兰经纪人罗杰斯-林德森，但汇款账户却不在英国或者荷兰，而是日内瓦的一家银行。
　　回想起胡安德-拉莫斯在2008年12月9日接手皇马时，就被俱乐部告知已经签下拉斯。但转会交易却拖到了是月21日才正式完成。虽然拉斯的实力得到了众人认可，但《马卡报》仍提出质疑：是否12天内的讨论焦点就是400万中间费的分配问题？
　　7月16日，西班牙Cope电台记者马塔亚纳向外界抛出了另一枚炸弹。按照计划，皇马将在8月7日和9日，分别在加拿大和美国，与多伦多FC和华盛顿特区联队进行一场友谊赛。
　　或许很多人会联想，一支拥有卡卡、C罗、劳尔的球队定会在北美市场带走大把美元。但事实上，根据皇马与比赛组织方的协议，两场比赛皇马只能得到共200万美金(约142万欧元)的出场费，平均每场才71万欧元左右！
　　如此低廉的出场费，可以说全都拜卡尔德隆所赐，这也是让弗洛伦蒂诺至今都气愤不已的一份合同。按照皇马今天所拥有的球星，弗洛伦蒂诺为商业部规划的皇马2010年夏天商业赛要求：单场出场费不得低于200万欧元。卡尔德隆和米亚托维奇竟会替球队签署如此“不平等条约”，俩人从中间人手里拿到多少好处费，恐怕也只有当事人才能知道。
　　非正常条款苦拖亨特拉尔
　　7月22日，亨特拉尔与斯图加特转会谈判宣告破裂。此前没有随同俱乐部前往爱尔兰集训，而是留在马德里的亨特拉尔，在拒绝了德国人开出的合约后，于24日前往爱尔兰与队友汇合。
　　根据皇马与斯图加特最初达成的协议，斯图加特将支付1800万欧元转会费，并根据成绩可额外追加200万欧元。虽然来自英超热刺和阿森纳的邀约，是亨特拉尔放弃斯图加特的主要缘由之一。但据记者调查卡尔德隆秘密档案后的内容得知，转会失败还有另外两层原因：第一，皇马的不坚定。最初皇马同意斯图加特的报价，是因为当时只有斯图加特愿意为亨特拉尔支付税后350万欧元的高额薪水。但在阿德巴约转会曼城后，阿森纳的报价也随之上升，皇马自然希望亨特拉尔可以卖出更高的价格。
　　当初为了签下亨特拉尔，皇马向阿贾克斯支付了2209.9万欧元，并规定，如果皇马在联赛和欧冠的成绩达到目标，就要再额外支付625万欧元。但这并非附加合同的全部内容，一份皇马没有公开宣布，却有卡尔德隆签字的文件上注明：如果亨特拉尔在合同期满(5年)前转会，皇马还要再支付给阿贾克斯700万欧元。
　　考虑到亨特拉尔在皇马第一个赛季球队一无所获，如果皇马此时出售亨特拉尔，球员的收购成本应该为2900万欧元左右，低于此数目，半年前皇马投资亨特拉尔的这笔转会即告赔本。不过目前行情困难，很难缩减转会费与2900万的差额，因此皇马也不再执意将荷兰人兜售给斯图加特。
　　其次，亨特拉尔经纪人的介入。在转会之初，皇马同意支付给亨特拉尔经纪人奥斯特维尔180万欧元的中间费。但这180万却要分两次支付：第一笔36万欧元，剩余的144万欧元将在亨特拉尔效力皇马满4年后付清。
　　在亨特拉尔与斯图加特的谈判中，巴尔达诺提出，既然亨特拉尔提前转会，那么皇马就不用再支付剩余144万中间费。斯图加特方面也只愿意为这次转会支付中间费，拒绝承担之前144万的额外条款，受损失的奥斯特维尔自然不愿意做这个亏本买卖。正是卡尔德隆时代签下的两笔非正常条款，让亨特拉尔的转会不得不一拖再拖。(本刊记者 王磊)
卡尔德隆时代的巨额中间费（单位：万欧元）
排名 球员 中间费 中间费与转会费比
1 拉斯·迪亚拉　　400.0 21.09%
2 卡纳瓦罗　　　　120.0 16.72%
3 德伦特　　　　　140.0 9.65%
4 范德法特　　　　130.0 9.52%
5 海因策　　　　　100.0 9.02%
6 亨特拉尔　　　　180.0 8.59%
7 范尼　　　　　　150.0 7.93%
8 迪亚拉　　　　　181.0 6.68%
9 加戈　　　　　　120.0 6.34%
10 马塞洛　　　　　34.2 5.70%
11 罗本　　　　　　200.1 5.55%
12 斯内德　　　　　150.0 5.55%
13 加雷　　　　　　40.0 3.88%
14 埃莫森　　　　　30　　 1.80%
15 佩佩　　　　　　50.0 1.66%
16 梅策尔德　　　　100.0 免费
17 索尔达多　　　　70.0 租借期满
18 萨维奥拉　　　　60.0 免费
19 杜德克　　　　　20.0 免费

