围甲联赛古力胜崔哲瀚 安徽队遭零封仍取半程冠军
　　新浪体育讯　>>>点击观看棋谱 >>>点击观看积分榜 >>>点击观看围甲半程胜率
　　北京时间7月15日，2010“金立手机杯”中国围棋甲级联赛第11轮将在各地主场开战。结果，在积分榜上领先第二名2分的领头羊、安徽宁国市政队(聂家军)主场惨遭辽宁菊花岛队零封。不过排名第二的中信北京队也运气不佳，陈耀烨和孔杰分别在快棋和主将战中输给对手，只取得1分。安徽队有惊无险地取得了围甲半程冠军。在另外一场焦点大战中，重庆队古力击败西安队外援崔哲瀚，取得扬眉吐气的一胜。
　　以下是围甲联赛第11轮详细赛果：
　　四川娇子 3比0胜 苏泊尔杭州
　　李映九 胜 黄奕中(快)
　　古灵益 胜 刘星(主)
　　党毅飞 负 汪涛
　　李? 胜 王雷
　　安徽宁国市政 0比3负 辽宁菊花岛
　　孙腾宇 负 唐韦星(快)
　　王? 负 孟泰龄(主)
　　檀啸 负 罗洗河
　　孙力 负 彭荃
　　中信北京 1比2主将负 山东联通
　　陈耀烨 负 江维杰(快)
　　孔杰 负 周睿羊(主)
　　柁嘉熹 胜 崔灿
　　钟文靖 胜 周鹤洋
　　山东景芝酒业 0比3负 广西华蓝
　　连笑 胜 廖行文
　　范廷钰 负 李康(主)
　　毛睿龙 负 丁伟(快)
　　邵炜刚 负 张立
　　西安曲江 0比3 重庆冷酸灵
　　黄晨 负 谢赫(快)
　　崔哲瀚 负 古力(主)
　　王煜辉 负 俞斌
　　王昊洋 负 王檄
　　贵州百灵 VS 中国移动上海(延期)
　　(周游)

