古力李世石七度经典之战回顾 两人合演当代大杀局
　　记者谢锐报道 古力和李世石至今共交手18局，9比9平。他们之间的几盘重大对局，任何时候回顾起来都令人记忆犹新。
　　洗石之战  04年6月17日，两人在围甲联赛中相遇，这也是他们的第一次交手，古力大胜。李世石加盟围甲新来乍到，惨遭三连败，赛后，他的眼泪滚落下来。晚餐时，他要来棋盘复盘，摆着摆着，泪水再次盈满眼眶，滑落于棋盘。李世石这块“顽石”在经历了泪水的洗刷后，涅?新生，随后开始了他在围甲联赛中的疯狂石头之旅。从2007年8月到2009年7月，他竟在围甲联赛中取得了空前的19连胜。
　　首次番棋 04年11月16日至19日，古力与李世石在第9届三星杯半决赛中交手，争夺决赛权。此时古力还是首次打进世界大赛四强，急于证明自己的实力，李世石则已获得了富士通杯(两次)、LG杯等三次世界冠军。国内媒体对古李之间的首次番棋战很重视，数家媒体赶到大田采访。
　　首局古力中盘落败，次局李世石姗姗来迟，来了后落子如飞，两人在上午封盘前结束比赛，李世石中盘脆败。得知李世石晚上因为打牌而影响睡眠后，其哥哥李相勋连夜从首尔赶到大田，当晚敦促李世石早点入睡。此举还真有立竿见影之效，第三局李世石胜出。几年后，古力承认，当时实力确实明显逊于李世石一筹。
　　碎石大战 05年10月19日，第10届LG杯世界棋王赛半决赛在北京顺义举行，半决赛中古力执黑中盘胜李世石，中国棋手会师LG杯决赛。古力后来在决赛中3比2胜陈耀烨，获得他第一个世界冠军。半决赛关系重大，李世石一旦突破古力防线，夺冠应无悬念。关键时刻，古力展现了他心理素质过人的一面，拿下比赛。赛后他也无比激动，难以自已。
　　大力诞生  08年6月7日，中国棋院，第21届富士通杯八强战，古李再次展开大战。这盘棋战况之激烈，算路之深远，均可视作是当代大杀局的典范。两人气合般地从布局起即开始血战，杀了大半个棋盘仍难舍难分。李世石终究为其过分着付出代价，古力再次“碎石”，“古大力”实至名归，后被人简称为“古大”。
　　这一届富士通杯，古力战胜李世石后，又连胜常昊和李昌镐，首次获得富士通杯冠军，打破了韩国棋手对富士通杯的十年垄断。
　　农心之痛  古力在农心杯赛中有两盘痛心之作，一是07年决赛中不敌李昌镐，二是在09年最后阶段比赛中不敌李世石。对李世石这盘棋，本是古力的大优局面，获胜近乎唾手可得，然而李世石硬是从一条晦暗不明的胜负路中觅得一线胜机，一举逆转。
　　颇具意趣的是，赛后两人都更有自信了。李世石声称“找到了古力的弱点”，古力则私下表示“对LG杯决赛更具信心”，谜底即将揭晓。
　　千年大战 就在农心杯赛结束3天后，古李在第13届LG杯决赛中再次交手。首局古力中盘大胜，次局李世石封盘前弈出漏着，葬送大好局面，随后破罐子破摔，玉碎终局。此次LG杯决赛被韩国媒体称作是“四千年大战”，古力2比0胜出后，在古李大战中占据了制高点。
　　凤凰之约 09年8月29日，古李将在美丽的凤凰古镇进行他们的第19次对局，千年古镇，巅峰对决，令人神往。
　　古力与李世石胜负9比9
　　时间        比赛    胜负情况
　　04.06.17  围甲联赛第9轮  古力执黑2又3/4子胜
　　04.11.16  第9届三星杯半决赛第1局 李世石执白中盘胜
　　04.11.18  第9届三星杯半决赛第2局 古力执白中盘胜
　　04.11.19 第9届三星杯半决赛第3局 李世石执黑中盘胜
　　05.5.3　第4届CSK杯第3轮 李世石执白2目半胜
　　05.8.6  围甲联赛第9轮 李世石执白1/4子胜
　　05.10.19　第10届LG杯半决赛 古力执黑中盘胜
　　05.12.10  围甲联赛第20轮 古力执白中盘胜
　　06.5.3   第5届CSK杯第3轮 古力执黑中盘胜
　　06.6.10　围甲联赛第5轮 古力执白中盘胜
　　06.11.11 围甲联赛第16轮 李世石执白中盘胜
　　07.10.13  围甲联赛第13轮 李世石执黑中盘胜
　　08.6.7　第21届富士通杯八强赛 古力执黑中盘胜
　　08.6.21 围甲联赛第11轮 李世石执白中盘胜
　　09.2.19 第10届农心杯第13局 李世石执白3目半胜
　　09.2.22 第13届LG杯决赛第1局 古力执黑中盘胜
　　09.2.24  第13届LG杯决赛第2局 古力执白中盘胜
　　09.6.27  围甲联赛第8轮   李世石执白中盘胜
　　总战绩：9胜9负，其中古力执黑胜5局，执白胜4局。

