亚运国象男子团体预赛结束 中国7连胜晋级半决赛
　　新浪体育讯　第16届亚运会国际象棋男子团体赛北京时间11月24日晚20点在广州棋院结束了最后一轮比赛。中国男队以2.5比1.5战胜哈萨克斯坦队，以七战全胜的佳绩晋级半决赛。菲律宾队、印度队和伊朗队分获预赛第二～四名，也进入前四名。
　　预赛最后一轮，中国队安排团体赛保持个人全胜的倪华休息，由王?、王皓、卜祥志和周健超出场。经过将近五个小时的激战，中国队以2.5比1.5战胜中亚劲旅哈萨克斯坦队，以七战全胜，预赛头名的身份晋级半决赛。
　　三台卜祥志今天发挥非常出色，先手仅27回合速胜弗拉基米诺夫，为中国队取胜拿下关键一分。其他三台均以和棋收场。主将王?先手与卡扎列耶夫激战31回合，被对手逼成长将和棋。二台王皓后手大战75回合，被茹玛巴耶夫也逼成长将和棋。四台周健超后手对手交战58回合也握手言和。
　　获得预赛第二名的是菲律宾队。他们今天以2.5比1.5战胜吉尔吉斯斯坦队。预赛七轮比赛中，除了输给中国队之外，其余六场全胜。
　　印度队和伊朗队今天以2比2打成平手，最终两队分别以场分9分和8分获得预赛第三和第四名，晋级半决赛。
　　越南队、乌兹别克斯坦队和卡塔尔队今天尽管分别以3.5比0.5、3比1和4比0大胜也门队、孟加拉国队和韩国队，场分与伊朗队同为8分，但三队的均因小分偏低，未能出线。卡塔尔队尤为可惜，他们场分和局分均与伊朗队相同，但梭伯分稍低，无缘前四名。
　　按照赛程，亚运会国际象棋男子团体比赛半决赛将于北京时间11月25日下午15时开始。中国队将迎战伊朗队。菲律宾队将对阵印度队。
　　男子国际象棋团体慢棋赛预赛成绩表(共七轮)：
　　排名 国家  场分 局分
　　1 中国队  14.0 20.0
　　2 菲律宾队 12.0 18.0
　　3 印度队   9.0 18.5
　　4 伊朗队  8.0 17.0
　　5 卡塔尔队 8.0 17.0
　　6 越南队  8.0 16.5
　　7 乌兹别克斯坦队 8.0 13.5
　　8 吉尔吉斯斯坦队 7.0 14.5
　　(塔尔)

