上季恐怖山东为何沦落如此 一人迷失成巩晓彬之痛
　　新浪体育讯　北京时间3月18日杭州消息，CBA第49轮，已无缘季后赛的浙江队以113-109战胜山东队，在杭州主场的最后一战以胜利告终。山东队要想晋级季后赛，下轮比赛唯有取胜一途。
　　对于身处第8名，仅仅领先北京队一个胜场的山东来说，今天的这场比赛无疑非常重要，但是在这场关键之战中他们却没能取胜。4人得分上双，沃克砍下了47分和16个篮板，为何 球队这样的表现还会输球呢？
　　看看两队的技术统计我们就会发现，在三分球这项数据上，万马23投11中，而山东在28次的外线出手中仅命中了5个球。一个擅长外线进攻的球队却无法发挥自己的优势，本场比赛 山东最终的失利已经不可避免。
　　当山东的球员们一次次地在外线浪费着机会的时候，巩晓彬肯定非常想念一个人——孙杰。在上一次战胜万马的比赛中，孙杰投中了4个三分球并砍下29分，成为帮助球队获胜的最 大功臣，随后在战胜青岛的比赛中他三分球8投4中得到25分，迎战八一孙杰再次命中5记三分贡献30分，帮助山东完胜对手。
　　但是在今天的比赛中孙杰却没有出现在赛场上，是受伤还是其他原因让他缺席我们不得而知，但是有一点可以肯定的是，在缺少了孙杰这个火力点后，山东的外线进攻已经失去了 往日的犀利，而这也成为了他们输球的重要原因。
　　孙杰对于山东队而言究竟有多重要？如果是在上赛季，相信巩晓彬给出的答案是四个字：无价之宝。如果有人看过山东上赛季的比赛就一定会记得他们在常规赛时末段时的异军突 起，在最后的12轮比赛中他们仅输了1场，而倒在了他们面前的11个对手中包括了拥有得分东莞、宏远、八一、江苏和辽宁。
　　带领山东创造这一奇迹的就是孙杰，在那12场比赛中他有7场得分超过20，两场超过30，在与八一的比赛中两队苦战至加时赛，而孙杰用一次突破绝杀了对手。那时的山东宛如一头 睡醒了雄狮一般，一路高歌猛进，猎杀对手无数。
　　但是在本赛季孙杰的状态却一直起伏不定起伏，山东的战绩也开始出现了大幅下滑。此前他的场均数据是13.3分，外线命中率下降到了36.9%，而在最近的7场比赛中，他的场均得 分是9.4分，球队的战绩是3胜4负，今天输给万马的比赛也将山东逼至了绝境。
　　常规赛还剩下最后一场，而山东也必须要战胜对手才有希望晋级，在这场生死战中我们还能看到孙杰的身影吗？而他即使上场，是否还能象上赛季那样成为球队最后时刻的杀手锏 呢？
　　(黑豆)

