视频集锦-麦蒂三节砍三双 火箭主场破掘金姚明32分
　　新浪体育讯　休斯顿当地时间周二晚间7点半，火箭队主场迎以108-96战胜丹佛掘金队。姚明得到32分和7个篮板，麦蒂得到职业生涯第四个三双，20分14个篮板和10次助攻，这也是麦蒂在火箭队的第二次三双。阿泰斯特得到20分。以下是本场比赛视频集锦——
　　·视频-麦蒂三双姚明打爆掘金 火箭大胜如狂欢
　　·视频-保罗低迷险阴沟翻船 黄蜂客场险胜灰熊
　　·视频-雷霆沦落到人见人欺 负快船惨遭八连败
　　·视频-麦蒂集锦：挑起全队进攻 勇取豪华三双
　　·视频-姚明集锦：火箭大胜 疯狂巨人狂砍32分
　　·视频-全场集锦：三巨头各显神威 主场灭掘金
　　·视频-末节集锦：野兽开火飙射 火箭喜迎胜利
　　·视频-奥卡福摆阵挡公牛 山猫加时终结7连败
　　·视频-三节集锦：姚麦联手 内外配合导演翻盘
　　·视频-布鲁克斯自投自抢 将功补过助攻姚明
　　·视频-次节集锦：巨人称霸内线 麦蒂痛击掘金
　　·视频-麦蒂拼命抢球鼓舞士气 火箭掀13-2高潮
　　·视频-首节集锦：三巨头齐上阵 麦蒂掌控比赛
　　·视频-休城上演斯科拉之夜 各路山寨影帝显身

