篮协公布CBA赛程12月10日揭幕战 22日广东战新疆
　　新浪体育讯　北京时间11月25日，中国篮协官方网站正式公布了10-11赛季CBA赛程。新赛季揭幕战将于12月10日在杭州举行，而常规赛最后一轮将在3月11日结束。
　　和以往不同的是本次揭幕战放在了周五进行，有广厦在杭州主场迎战福建，这一天只有这一场比赛。随后在12月11日周六，广东在主场迎战浙江，新赛季第一轮比赛也正式拉开序幕。
　　本赛季常规赛一共有34轮，17支球队依然采取主客场双循环的比赛方式。3月11日将进行常规赛最后一轮比赛。随后将进行全明星赛，常规赛排名前八的球队进入季后赛，而季后赛将从3月23日开始，1/4决赛和半决赛都采用五战三胜制度，总决赛从4月15日开始，采用七战四胜制，如果总决赛打满七场，那么10-11赛季CBA联赛将于4月29日全部结束。
　　12月22日，广东将在主场迎战新疆，这也是新赛季两大夺冠热门的第一次正面交锋。而在1月2日，广东将在主场迎战八一，军粤大战依然是球迷关注的焦点，尤其在新赛季八一队莫科和王磊伤愈复出，成功引进韩硕之后，两队球队的对抗更增加了可看性。
　　1月7日，广东将客场挑战上海，上赛季半决赛两支球队打得火光四射，相信这两支球队之间的对决也不会让球迷失望。2月12日，广东将做客新疆，最近几个赛季广东在新疆客场的胜率并不高，这场比赛或许将成广东连胜的一个终结点。2月25日，广东将客场挑战江苏，相比04-05赛季的苏粤对决，现在的江苏早已经失去了往日的风采，这场比赛只能让球迷回忆两支球队昔日的巅峰碰撞。
　　由于本赛季一共有17支球队，每轮比赛将会有一支球队休赛。
　　附：新赛季焦点战
　　日期     对阵       时间  地点
　　12月15日 广厦～八一 19:30 杭州
　　12月19日 上海～广厦 19:30 上海
　　12月22日 广东～新疆 19:30 东莞
　　12月24日 北京～八一 19:30 北京
　　12月31日 上海～新疆 19:30 上海
　　1月2日   广东～八一 19:30 东莞
　　1月5日   广东～江苏 19:30 中山
　　1月7日   上海～广东 19:30 上海
　　1月9日   八一～江苏 19:30 宁波
　　1月11日  上海～八一 19:30 上海
　　1月19日  广厦～广东 19:30 杭州
　　1月28日  辽宁～江苏 19:30 沈阳
　　2月11日  北京～广东 19:30 北京
　　2月12日  新疆～广东 19:30 乌鲁木齐
　　2月16日  江苏～新疆 19:30 南京
　　2月18日  八一～新疆 19:30 宁波
　　2月27日  八一～广东 19:30 宁波
　　3月2日   江苏～八一 19:30 南京
　　(牛仁)

