阿含杯半决赛 常昊胜朴文�与邱峻会师决赛(谱)
　　新浪体育讯　点击观看棋谱
　　北京时间8月30日下午，第12届阿含桐山杯快棋赛半决赛在中国棋院开战，结果常昊和邱峻分别击败两位豹字辈小将朴文?和陈耀烨，常昊、邱峻会师决赛。
　　常昊对阵朴文?。有趣的是朴文?和常昊两人分别是上届和上上届的中国阿含桐山杯赛的亚军，作为一项单淘汰赛制的比赛，两人能够再次杀进四强实属不易，想必两人心里都非常希望这次能有所突破。
　　现代围棋追求速度与变化，因此职业高手间的比赛经常是序盘就进入混乱的战斗，快棋的比赛也不例外。本局常昊执黑先行，战斗早早在棋盘右上角打响，并很快蔓延到全盘。双方几度转换，局势一直都是优劣难辨。棋局的胜负时刻出现在下边的战斗，朴文?不甘被常昊先手压迫在二路，愤然反击，结果白棋用左下角的阵亡换来了攻杀黑棋下边大龙的机会。
　　常昊毕竟还是功力深厚，在30秒一步的读秒声催促中，竟然巧妙地将大龙先手做活，一举取得优势。上边的战斗是朴文?最后的机会，但他一步打吃过于随手，被常昊冷静脱先，净杀了上边白棋一块，胜局遂定。最终本局进行至227手，常昊中盘获胜，率先挺进决赛。
　　另一场半决赛中在邱峻和陈耀烨之间进行，邱峻执黑先行。右下角的战斗陈耀烨下出好手，击中黑棋棋型上的弱点。邱峻一边长吁短叹，一边不得不弃掉四子，被陈耀烨白棋走得铁厚。尽管如此，黑棋全局的实地并不落后。后半盘邱峻下得极其顽强，两人不断劫争，这盘棋一直下到300多手才收完最后一个有目的官子。双方占完单官，陈耀烨白棋只有176子，遗憾地以3/4子的劣势落败。邱峻晋级决赛。
　　9月13日，本届中国阿含桐山杯的决赛将在山东日照举行，常昊和邱峻争夺冠军。同时，两人之间的胜者还将获得代表中国参加今年的阿含桐山杯中日冠军对抗赛的资格，敬请留意新浪体育的相关报道。
　　历届中国阿含桐山杯冠亚军
　　届数    冠军  亚军
　　第11届 孙腾宇 朴文?
　　第10届 古力 常昊
　　第09届 刘星 孔杰
　　第08届 刘星 罗洗河
　　第07届 古力 邱峻
　　第06届 周鹤洋 邵炜刚
　　第05届 古力 孔杰
　　第04届 俞斌 黄奕中
　　第03届 刘菁 马晓春
　　第02届 周鹤洋 邵炜刚
　　第01届 马晓春 周鹤洋
　　(周游)

