三星杯预选赛罗洗河出局 胡耀宇等11人晋级(谱)
　　新浪体育讯　点击观看棋谱
　　北京时间8月7日，第14届三星保险杯世界围棋大赛统合预选赛在韩国棋院进行了第4轮的比赛。本轮比赛是小组半决赛，中国共有19名棋手参加14个小组的比赛，最终以胡耀宇为首的11名中国棋手进军将在明天进行的决胜轮比赛。
　　今天中国有9人对韩国棋手，取得6胜3负的成绩，较前几轮继续提高。
　　本来，C组和D组中国最为吃紧。今天C组的王雷力压韩国强手赵汉乘，孟泰龄则在D组击败韩国联赛中的主力李元道。但是意外发生在F组和G组。F组中彭荃输给了韩雄奎，G组罗洗河败给了朴?贤。而原本这两组中国棋手实力并不对手差，起码在大赛经验上强于对手。J组中国棋手李铭负于陈时?倒是正常的结果。陈时?曾在上届三星杯本赛第一轮时半目淘汰了古力。
　　随着彭荃、罗洗河和李铭出局，韩国提前获得了三张本赛入场券(中老年组除外)。
　　中老年组中国的曹大元今天继续获胜，决胜轮对阵崔圭炳也应是不落下风。
　　女子组今天两个组都现出了意外。韩国女流三大头衔保持者芮乃伟败在了风头正劲的金美里手下。赵惠连则输给了金惠敏。这样一来，韩国女子排名前三名全部下去了。
　　中国棋手唐奕和鲁佳进入了决胜轮，前几轮韩国超强势似乎不能持续，女子两个本赛名额中国都有希望争取。
　　韩国业余棋手今天一胜负。李志贤败阵，未能在一年内连续两次进入世界大赛本赛。研究生积分第一的李元怜则闯入小组决赛。在小组决赛中他将遇到今天刚刚冒尖的韩雄奎，两人其实难分高下。
　　以下为今天全部比赛结果：
　　A组 [中]李?六段负[中]刘星七段   　 [韩]睦镇硕九段负[韩]金庭贤初段
　　B组 [中]杭天鹏四段负[中]陈耀烨九段  [韩]李熙星八段胜[韩]金炯佑四段
　　C组 [中]王雷六段胜[韩]赵汉乘九段    [韩]朴进率四段负[韩]李浩范初段
　　D组 [中]孟泰龄四段胜[韩]李元道二段  [韩]安亨浚二段负[韩]洪基杓四段
　　E组 [中]王?六段胜[中]孙腾宇三段    [韩]金?宰三段胜[韩]洪?杓七段
　　F组 [中]彭荃七段负[韩]韩雄奎二段    [韩]姜至省八段负[韩业余]李元怜
　　G组 [中]罗洗河九段负[韩]朴?贤六段 [韩]朴时烈初段负[韩]宋泰坤九段    
　　H组 [中]丁伟九段胜[中]檀啸四段      [韩]崔原踊六段负[韩]全瑛圭四段
　　I组 [中]胡耀宇八段胜[韩]李映九七段  [韩]金志锡五段胜[韩]李泰贤二段
　　J组 [中]李铭初段负[韩]陈时?三段    [韩]许映皓七段胜[日]秋山次?八段
　　K组 [中]邱峻八段胜[韩]尹?熙二段    [韩]陈东奎五段胜[韩业余]李志贤
　　L组 [韩]金东勉九段负[韩]朴映?四段  [韩]金哲中三段负[韩]金日焕九段
　　M组 [中]曹大元九段胜[韩]金锡兴四段  [韩]崔圭炳九段胜[韩]安官旭七段
　　N组 [中]李小溪初段负[中]唐奕二段    [韩]芮乃伟九段负[韩]金美里初段
　　O组 [中]鲁佳初段胜[韩]金恩善三段    [韩]赵惠连八段负[韩]金惠敏五段
　　(夏雨)

