围甲6轮后积分榜：榜首三强不变 上海西安处降级区
　　新浪体育讯　北京时间6月9日，2011“金立手机杯”中国围棋甲级联赛第6轮战罢，贵州百灵、重庆冷酸灵和辽宁觉华岛依然位列积分榜1-3位。而中国移动上海和西安曲江两支队伍再遭败绩，深陷降级区。
　　排名    队名        场分     局分
　　1    贵州百灵       15      17
　　2    重庆冷酸灵     15      16
　　3    辽宁觉华岛     12      13
　　4    中信北京       11      13(少赛一轮)
　　5    大连上方恒业   10      13
　　6    广西华蓝       9       13
　　7    爱慕先生       8       11
　　8    安徽宁国市政   8       10
　　9    中平能化集团   5       9
　　10   山东景芝酒业   5       8(少赛一轮)
　　11   西安曲江       4       8
　　12   中国移动上海   3       9
　　(张祺)

