数字化3000场：3球队仅存活1季 铁军书写巅峰记录
　　新浪体育讯　浙江万马主场迎战山西，在很多人看来也许这只是一场普通的比赛，但是对于已经运作了14个赛季的CBA而言，这却是一场足以写进历史的里程碑，因为这是CBA的第3000场比赛。在这3000场比赛中，我们见证了八一的8次夺冠，也看见了宏远王朝的建立，而以下的这些数字将带着大家去细数那些未曾被我们注意的比赛、球队和记录：
　　1 在CBA的众多球队中，有3家俱乐部仅仅参加了1个赛季就宣告了退出，他们分别是湖北美尔雅、深圳润迅易康和香港飞龙。
　　3 在此前的13个赛季中一共只产生了3支总冠军球队，分别是八一(8次)、上海(1次)以及广东宏远(4次)。
　　7 从95-96赛季开始，在CBA中连续征战14年的只有7支球队：八一、广东宏远、辽宁、江苏、山东、浙江和北京。
　　8 从95-96赛季开始，八一队一共夺得了8次总冠军，是夺冠次数最多的球队。
　　13 在00-01赛季中，当时还效力于上海队的姚明曾在与吉林的比赛单场送出了13次的盖帽。
　　14 99-00赛季，北京球员张敬东在与浙江万马的比赛中一人投进了14个三分球。
　　30 从95-96赛季开始，先后共有过30支球队征战过CBA赛场。
　　38 01-02赛季中陕西外援盖茨在与深圳的比赛中抢到了惊人的38个篮板球。
　　45 45分是目前CBA球队单场最低得分记录，95-96赛季浙江万马在客场以45-71不敌山东队。
　　69 99-00赛季八一在主场以163-94击败南京军区，69分的分差是目前联赛历史上的最大分差记录。
　　70 吉林虎王孙军曾在00-01赛季与济南部队的比赛中一人独得70分，这个记录至今无人能破。
　　71 98-99赛季和99-00赛季，浙江万马及江苏队分别在比赛中抢到了创记录的71个篮板。
　　163 在这3000场比赛中，球队单场得分记录由八一队保持，在99-00赛季与南京军区的比赛中，他们以163-94击败了对手。
　　413 在CBA14个赛季中，八一老将李楠一共参加了413场比赛，是整个联赛中参赛场次最多的球员。
　　481 从95-96赛季开始，八一队共参加了481场比赛，是参赛场次最多的球队。
　　3000 2009年2月4日浙江万马与山西中宇的比赛是CBA14年来的第3000场比赛。
　　(音乐的猫）

