上海交大高尔夫校友理事会换届 苏国桢接任理事长
　　新浪体育讯　2011年11月4日，上海交大海外高尔夫管理分院迎来了第三届校友日活动，《高尔夫总经理EMBA课程班》06-10级五届校友和学员、高尔夫主力媒体以及业内邀请的嘉宾齐聚旭宝练习场，庆祝交大高尔夫第二届校友会的诞生，见证交大高尔夫人的荣誉和骄傲。
　　在首届校友会理事的积极推动下，经过交大高尔夫EMBA全体校友的投票，选举出第二届校友会共计15位理事，覆盖全国七大区域；第二届校友会理事一致选举上海天马乡村俱乐部执行副总裁、EMBA06级校友苏国桢先生担任理事长。换届仪式上新理事为首届理事穿上了象征传承、感恩、尊重和信任的红夹克，首届理事向新当选的理事献上鲜花表达祝福。
　　为了表达对上届校友会做出的卓越贡献，第二届校友会集体讨论产生了“荣誉理事长”称号，并将该荣誉授予了广东佛山南海桃园高尔夫俱乐部总经理、EMBA06级校友李维景先生，感谢李维景理事长带领的首届校友会为校友提供的服务和活动。
　　高尔夫媒体联盟副理事长、高尔夫杂志出版人王志刚(微博)先生也为校友会的换届送上了真诚的祝福。
　　本次活动得到了旭宝高尔夫董事长、EMBA06级校友宋矿满先生的大力支持，大家共同期待相聚在2012交大海外高尔夫校友日！
　　新一届校友会理事成员名单
　　(06级)上海天马乡村总经理  苏国桢(理事长)
　　(08级)广东金海湾总经理  龚杰盛(副理事长)
　　(07级)常州金沙湾总经理  李德韬(副理事长)
　　(06级)北京国际高尔夫基金  方宏(微博)(副理事长)
　　(09级)海宁尖山董事长  顾红英(副理事长)
　　(09级)广西北海海门董事长  许广清(秘书长)
　　(07级)中联正道 董事  胡剑(秘书长)
　　(08级)(东北区)大连金石滩副总经理  李会清
　　(10级)(华北区)河北曹妃甸湿地总经理  姜恒
　　(07级)(华东区)宁波利友精化总经理  高军涛
　　(08级)(华南区)雅居乐长江总经理  邓京宏
　　(08级)(华南区)晓鸽投资 合伙人  侯志宇
　　(09级)(华中区)万钜投资 总裁  洪远平
　　(08级)(海南区)三亚龙泉谷 总经理 刘庆怀(微博)
　　(09级)(西部区)重庆保利 总经理  李国山

